sample,ME_antiquewhite4,ME_indianred4,ME_steelblue,ME_navajowhite2,ME_white,ME_lightsteelblue,ME_maroon,ME_brown4,ME_darkturquoise,ME_thistle1,ME_turquoise,ME_plum2,ME_orange,ME_orangered4,ME_bisque4,ME_lavenderblush3,ME_saddlebrown,ME_yellowgreen,ME_skyblue2,ME_lightpink4,ME_darkorange2,ME_mediumpurple2,ME_darkolivegreen,ME_greenyellow,ME_plum,ME_palevioletred3,ME_skyblue1,ME_lightcoral,ME_ivory,ME_skyblue,ME_coral1,ME_lightgreen,ME_darkred,ME_darkseagreen4,ME_mediumorchid,ME_darkslateblue,ME_thistle2,ME_royalblue,ME_lightcyan1,ME_skyblue3,ME_honeydew1,ME_magenta,ME_coral2,ME_darkorange,ME_lightcyan,ME_darkmagenta,ME_lightyellow,ME_mediumpurple3,ME_sienna3,ME_pink,ME_salmon4,ME_paleturquoise,ME_purple,ME_brown,ME_darkgreen,ME_black,ME_yellow,ME_blue,ME_green,ME_floralwhite,ME_cyan,ME_darkgrey,ME_yellow4,ME_violet,ME_midnightblue,ME_tan,ME_lightsteelblue1,ME_orangered3,ME_plum1,ME_grey
H181Fg01,-0.0181263856390335,-0.012320390670549821,-0.00525906250921762,-0.002843169805554435,-0.009251464171830513,0.02063103607018144,-0.003148324173818967,-0.005054122537138994,-0.010529830765137634,-0.009614058624391686,0.0141755882300203,-0.015519164898345483,0.011084754054321405,0.08447369815240918,-0.011236299683778483,0.006962339008384585,-0.0043481961762669415,-0.011856406979796279,0.0019777908770042514,-0.01935549268438103,-0.020980320567410282,-0.016020298312743847,-0.02249513725065866,-0.02335894713958117,-0.01519491843144382,-0.017015510000146783,-0.020220414491566054,-0.0015953891118412533,-0.01625537676111799,-0.014746509112095647,-0.004148779597790296,-0.018613998086272166,-0.01989157481782682,-0.015411503680418841,-0.019608911685798366,-0.0069702111422376145,-0.021006538031556943,-0.01767887130872675,-0.015400476478025671,-0.016757571863382337,-0.006081617750364732,-0.016855384653148335,-0.01346601174912945,-0.017915036209225656,-0.01915275623988766,-0.013241335307712543,-0.01513054443276035,-0.013560055307518804,-0.014277778078156,-0.015153173477363955,-0.01163172292001513,-2.6145107450830415e-4,-0.018093202382603223,-0.018593786082084417,-0.018163615251077344,-0.016371051368655645,-0.018196980409650027,0.001498188999191961,-0.006800232584539956,-0.028455955741993322,-0.01920418984138994,-0.014267981365401444,-0.016170118110748793,-0.02080252320801257,-0.018711626379166794,-0.02037536811636523,-0.018373670262580633,0.008541118388229973,-0.0018771454436486978,-0.010548167669985552
H181Fg02,-0.01812638563903535,-0.016622344025355205,4.331903585275132e-5,-0.006287775343115656,-0.011950971251339815,-0.00784459291820916,-0.014519369175803147,-0.015665940794532207,-0.019712127502695576,-0.00921771279472089,0.009030332356722792,-0.009532468957595602,-0.0195122958211863,-0.015047560711420549,-0.01621013140923991,0.9921940605674019,-0.0074799079556553405,0.02217211852018497,-0.014729152957532802,-0.006606115106089746,-0.020697064927398284,-0.016020298312744576,-0.021569396595706974,-0.021678682280094952,-0.01496257039355842,-0.007312124567136841,-0.008943760042145033,-0.018900834833255543,-0.019550636213451322,-0.02191711708993871,-0.013764675547640859,-0.01458155204482614,-0.006231355116029569,-0.016113772194784045,-0.0015703725697544138,-0.021332835646447862,-0.024131398135562226,-0.019234862809190734,-0.01363609719909642,-0.012996054840940893,-0.018973900712715614,-0.012754463559868867,-0.014818212345568606,-0.02337861721444834,-0.0162524621130824,-0.008183465310697413,-0.016423451931997235,-0.017140702780638672,-0.014046297869960034,-0.02050590062390356,-0.008726490376640167,-0.0200186295084954,-0.016656131966477528,-0.022354692490074712,-0.019825539354354826,-0.01980714204918399,-0.01632580709384779,-0.02105794191280924,-0.019342189182564695,-0.021821425153866092,-0.0230380895848723,-0.022008269009018755,-0.021253574740554337,-0.019722397053619334,-0.02274674703820445,-0.019338860219983545,-0.018833649843047612,-0.015788402357568874,-0.019619749066999315,-0.010548167669984539
H181Fg07,-0.018126385639035243,-0.016622344025355024,-0.01896770943804149,-7.418221896551393e-4,-0.014142987633418258,-0.01800328589531452,-0.018170386189751416,-0.015448094230447991,-0.025504352261685403,-0.0181385246420556,-0.02686076297306267,-0.01767629179774642,-0.025938860426370947,-0.02650442028181424,-0.01621013140923992,-0.015045815006084396,-0.020846321339745066,-0.015262175975948589,-0.014725804878523282,-0.022749594320888345,-0.024166674544653818,-0.016032178829340025,-0.026740734189428073,-0.025905001534618305,-0.0018257176778767887,-0.02440275177786303,-0.020220414491566713,-0.018900834833256924,-0.023449750357178407,-0.0229390387130487,-0.017930601518620956,-0.020656634135239826,-0.02064224945438553,-0.018176893230420273,-0.023243627422430652,-0.017511213069124443,-0.024623667239965903,-0.021874085172264426,-0.020735895727965012,-0.015744185156075126,-0.019711664704967664,-0.016698687778054347,-0.02094714994919379,-0.02497122871794083,-0.021111844344979987,-0.02074806335035213,-0.02162935030249913,-0.020309320375260904,-0.023191441440298506,-0.024472803992543257,-0.026093955288693148,-0.018830750711532618,-0.018169983067495454,-0.026281109349597806,-0.022503949164459497,-0.02583370808151164,-0.023858732242344277,-0.026239747630803723,-0.023764679088338625,-0.021096619142571105,-0.026470481007577998,-0.014565749272747786,-0.024305942683491608,-0.020901763576631066,-0.026713888997196428,-0.024562362308562166,-0.01576434390384342,-0.016035661906557218,-0.01600429677939891,-0.055762307265844954
H181Fg08,-0.018126385639035333,-0.010657934451574308,-0.02067866477827437,-0.01622554006186735,-0.017618774282528237,-0.017224834526727826,-0.01649657553645116,-0.019562490543137412,-0.025041510578868872,-0.022917539197156063,-0.026620901653225407,-0.020589954328025746,-0.02867102667227507,-0.023161017724660442,-0.01621013140923992,-0.014782133946522344,-0.020280144899115844,-0.019568091780307703,-0.014725804878523407,-0.022749594320888352,-0.02411407354636154,-0.01602623857104229,-0.028408889347220335,-0.027286919427988585,-0.016003744562523743,-0.01927904179973299,-0.020220414491566738,-0.018900834833256965,-0.023599797650713013,-0.02235586146704369,-0.01937321385757852,-0.021698442273325805,-0.021486240232294757,-0.018176893230420207,-0.023243627422430725,-0.021269986819900815,-0.023366412393241116,-0.022291954576211723,-0.016898926808384205,-0.01973731643957771,-0.019662711406435527,-0.018562259702926538,-0.020947149949194017,-0.025959065386604616,-0.020358939806153997,-0.017135217935350108,-0.02298206451254826,-0.02489203568840915,-0.02295334502582603,-0.024326985972816434,-0.025118809415462493,-0.023545125462377414,-0.023246710772016985,-0.024891140654234863,-0.02298628028158085,-0.02558643933469666,-0.024996648808595204,-0.028254063492242465,-0.025222210221369078,-0.023428445918038533,-0.024801167246722825,-0.021678952448164993,-0.024597202244533455,-0.023106808335754382,-0.027674141552282337,-0.02434708544655621,-0.017878596258285404,-0.01603566190655739,-0.02235482087350787,-0.013728653216141518
H181Fg09,-0.01812638563903527,0.0035214076683844297,-0.0018825549601564323,0.0037862071533423833,-0.017810296717527953,-0.01512858237936648,-0.018198625407674588,-0.01331741312194052,-0.02214504833775082,-0.006545312994770152,0.007613394198344979,-0.01097603422593199,-0.03024036750350182,-0.009361440058569238,-0.0026114455836156237,0.003249096597845705,0.01115464007706479,-0.0033169921618436994,0.003276993142776174,-0.01705612421846724,-0.019837584124290222,-0.015954955471469797,-0.027272298443115704,-0.021176823955203213,-0.016003744562523712,-0.022083060084057554,-0.01960994779109918,-0.018900834833256903,-0.015845928916185255,-0.0054046699429253185,-0.017467685441803632,-0.01779981668722151,-0.011576085743610593,-0.005190520064758225,-0.023243627422430756,-0.02274823833077249,-0.022602074885988047,-0.018183883586146553,-0.007971987428547458,-0.0036706162598821148,-0.016101389060930445,-0.013736348941992639,-0.009068364049870414,-0.022603896662563877,-0.016251836451164115,-0.015075336302186068,-0.015885836040376234,-0.01870568934163929,-0.01781242880333547,-0.013748940760263425,-0.022722901454248646,-0.019976315462463368,-0.016759184830390295,-0.004181562515029505,-0.001104851992380453,-0.019039770280175356,-0.016233619619226806,-0.02299248087544262,-0.01422802643567223,-0.019908033198906067,-0.021318681858643992,-0.014446853471225532,-0.01943684849573238,-0.007167026028527518,-0.023803812843216133,-0.018627147901365902,-0.014071264904334772,-0.003057245660496097,-0.01667772303079573,-0.0198470765517155
H181Fg14,-0.018126385639035285,-0.01662234402535496,-0.017134841014523977,-0.012964999910503873,-0.019960085495160346,-0.018450546508491417,-0.021702897421390824,-0.019954286712981037,-0.029323049468384797,-0.023077508390748517,-0.02598243036722458,-0.01754351827918634,-0.036244066597869024,-0.037611860255527964,-0.016210131409239915,-0.009975489937271367,-0.017130757071309656,-0.011412568343345267,-0.014725804878523228,-0.020781182076277896,-0.02405120974874404,-0.01590743340508811,-0.02818784177196951,-0.026300138969970834,-0.016003744562523712,-0.024402751777863035,-0.020220414491566717,-0.018900834833256903,-0.023599797650713013,-0.022685055983539742,-0.019373213857578526,-0.02252506290810755,-0.0224884698731752,-0.01817689323042026,-0.021518284356223848,-0.023738336750420395,-0.022825101214493222,-0.0227335102815953,-0.019118761692521104,-0.019609884240942344,-0.019711664704967595,-0.017737913877590838,-0.020947149949193836,-0.024971020633645504,-0.02053581817869574,-0.02083054222023216,-0.025164605573536985,-0.025351508038455137,-0.0235673549452633,-0.02298419329682244,-0.025277634646629264,-0.023401421965131432,-0.020522213802007312,-0.025481880784605306,-0.02279614229254126,-0.026683875101704134,-0.024364330059625017,-0.027441195115232967,-0.0246522608273443,-0.023285884127909353,-0.02511203880785445,-0.022099096996843835,-0.025911257964103932,-0.022563300488889684,-0.023939653828566,-0.02447105173691882,-0.01853828767340755,-0.01603566190655727,-0.022012107417327068,-0.010548167669985242
H181Fg28,-0.01812638563903536,-0.016622344025355423,0.0063727703243861,-0.009516244662779753,-0.0027639482167288124,-0.017616187563257557,-0.01730796695431353,-0.009823790166870431,-0.022861205099595525,-0.014661711050427049,0.009073710677287405,-0.016248890815272074,-0.029554831863473997,-0.018979676281611013,0.9925989450371872,-0.0018101251163165585,0.012054731809756365,-0.0024127400021018404,-0.001965430146514168,-0.007662663819370472,-0.017346113148936335,-0.015521316615737007,-0.02272081264050126,-0.021109817822685947,-0.01519491843144487,-0.01567065471804087,-0.011940885247685521,-0.007820763552926938,-0.007942608010542437,-0.010141072397937868,-0.015577746257906347,-0.016008947725193252,-0.004948184193695397,-0.013187601235768228,-0.01302709413071438,-0.02229384877061919,-0.01990361769151241,-0.01849754871365092,-0.007376600568424281,0.009694765732895131,-0.011530083581442207,-0.007031831776394817,-0.020947149949193757,-0.01411892064954776,-0.007661465533670686,-0.010405942750409668,-0.02025834771394955,-0.009567152952245707,-8.015238302105939e-4,-0.007406423970120913,-0.021414410570499722,-0.014561015921333385,-0.015796348180817234,-0.01309174888288534,-0.006203679131941013,-0.004252808672461167,-0.022544737229396164,-0.0172122457482512,-0.009916140343494828,-0.011979416284764604,-0.013285139826446354,-0.010099043455855022,-0.022875908583730568,-0.01731984557581059,-0.019755663155244393,-0.01868024043099883,-0.016979640228368422,-0.0141661947587007,-0.009176027379700375,-0.01054816766998531
H181Fg30,-0.01043385031441323,-0.008792154267521779,-3.2909314465092054e-5,-0.016294093577423126,-0.01916643742251284,-0.017234697704869413,-0.018192029655088277,-0.01944600294772092,-0.02840189859189948,-0.023330705178877476,-0.013904824813706761,-0.020549264766642282,-0.03351695462427153,-0.03429791492847451,-0.007445100548008628,-0.007990630123011603,-0.009509601583785596,-0.014549433367583115,-0.011433064015919113,-0.01846162985463518,-0.022951730411300397,-0.015598539973607283,-0.0280383401881295,-0.024767806286483226,-0.016003744562523722,-0.021108460512313933,-0.020220414491566717,-0.018900834833256927,-0.023599797650713017,-0.017849117709501833,-0.01937321385757869,-0.01985540080100015,-0.021795189740852036,-0.015667891209676786,-0.020988345035996257,-0.019121072943318225,-0.02536932531977417,-0.021834481120844778,-0.01971437619458588,-0.0058269672298874855,-0.013939982665315926,-0.019181995745227356,-0.008850772984878736,-0.026721792796541983,-0.01835518399949234,-0.021189723238915527,-0.02351573529585754,-0.023649727702732777,0.0012177346785358146,-0.023600892629565134,-0.024140115723865003,-0.01597666121068281,-0.020279425607829978,-0.024982366572102406,-0.0191933668828752,-0.024603768278311778,-0.020357370911940554,-0.02640062800142492,-0.023088343978467266,-0.022914101374357877,-0.026136841300857836,-0.01430003372782298,-0.023504910506538017,-0.02206136614148462,-0.026055947421595907,-0.022161104168512497,-0.01661336163610071,-0.014166194758700833,-0.012499540356481034,-0.010548167669985514
H181Fg37,-0.018126385639035274,-0.016622344025355004,0.0300355169815916,-0.010765272216423824,-0.006348277801017539,-0.017388302552196488,-0.01144584431403659,-0.012051554712455535,-0.01600547906450918,-5.376171631036357e-4,0.045851149397821506,-0.009534980153579132,-0.02518579978074932,-0.00759309626789591,0.020306937687195544,0.0022219046110689036,0.9876774237893265,0.024925683842600677,-0.014725804878523265,-0.003762496961634578,-0.003290477092831803,-0.006503714041538491,-0.008834734047745053,-0.011936185595617581,-0.006138090253404355,-6.525806041239112e-4,-0.01713657102875945,-0.018900834833256882,-0.01927555265844624,-0.01715932534697706,0.002196241678012052,0.012676205179243458,-0.008889319561212755,-4.6030323603045024e-4,0.008974136673989047,-0.018037043454689483,-0.01300943959396554,-0.006171350693308993,0.003543899611840826,0.002792462138025141,0.03400429228667639,-0.012218650019070782,9.481162556451816e-4,-0.011555352422055975,-0.00808160338070649,-0.011913291909711231,-0.009666057393806281,-0.014658960195675808,-0.011330415605772115,-0.004503653021560682,-0.0019193970676575835,-0.0025474756344189813,-0.002664281402973829,-0.005201396222596094,-0.010075182643799424,-0.00752172329291649,-0.005302935822319196,-0.010189264175597573,-0.011272736694243711,-8.925331497621297e-5,-0.01395171299713674,-0.016229322228372464,-0.015392503821342303,-0.012316888888646729,-0.014192794742253973,-0.018179447299936688,-0.0033134991127365333,0.010024196817386815,-0.01090448737737452,-0.010991418618152296
H181Fg40,-0.01812638563903529,-0.016622344025354993,-0.004411000782696449,0.00509743929238109,-0.016591172503128217,-0.01833873135519707,-0.021702897421390772,-0.017230013653518308,-0.02660722417888769,-0.020523790261148037,-0.017624398632684547,-0.020256349963633694,-0.029125795515020286,-0.016973433233926655,-0.016210131409239915,-0.009631289091138577,-0.019228074954498943,-0.019246985839181517,-0.01472580487852329,-0.01989669099935315,-0.024197844255055997,-0.016002477537851445,-0.027476557275091358,-0.02596703994160764,-0.01600374456252375,-0.023773439446685498,-0.02022041449156672,-0.018900834833256865,-0.02221568238153514,-0.022513169090659375,-0.01937321385757856,-0.020274398488858876,-0.01702020320384531,-0.017489186218541557,-0.021985904896232943,-0.019632052592307093,-0.01784435944082411,-0.019067245451393933,-0.014628591629434473,-0.014329423845466482,-0.01964639364025809,-0.01771364208007062,-0.020947149949193906,-0.02676436645694036,-0.020328499745923986,-0.018492916601163114,-0.02435113151692475,-0.025247664313222177,-0.019591633778207437,-0.023817283174958705,-0.02448214144423199,-0.022325394927484365,-0.020674598889018746,-0.026379370219418947,-0.023760000622865905,-0.025731137031445132,-0.02444468025873103,-0.027747976348013913,-0.02342051273616201,-0.02339607912529395,-0.026666541246377278,-0.022099096996843835,-0.024368817519572993,-0.017757801325595138,-0.02559483190419724,-0.024203657815089874,-0.01889389394483283,-0.016035661906557214,-0.021059004353569142,-0.012621106719380142
H181Fg42,-0.01812638563903526,-0.01662234402535497,-0.010531451096299313,-0.009439689294611158,-0.012096659639593693,-0.009691293129505462,-0.015433730270725298,-0.012960240794982385,-0.019694316576930396,-0.0045314229729481095,0.003999675751520331,-0.01583820044747863,-0.019183047694566222,-1.7653787570835896e-4,-0.014517024597341366,-0.009877624871660644,-0.011100267800076898,0.058441127843729464,-0.014725804878523274,-0.016328487873096594,-0.016822694179067232,-0.011837477611371085,-0.025566777768486603,-0.02512475466324278,-0.016003744562523736,-0.02326885131864308,-0.02022041449156681,-0.018900834833256892,-0.020500521284210066,-0.02148747923834266,3.0023877713221506e-4,-0.011418671973489216,-0.015241526085918503,-0.013300002164054829,-0.022198318384446875,-0.007032978716566553,-0.01891268511821963,-0.016405896031523162,-0.012111793735898177,-0.011778405618403145,-0.019679029172612873,-0.011723770743678258,-0.01639759564828692,-0.02315505906673366,-0.019282414081606546,-0.012513014335857994,-0.017693900894290064,-0.022914130571768877,-0.01806383373085507,-0.021667554035098666,-0.019895949070876842,-0.019898392138107478,-0.016911843170025618,-0.02329643917082829,-0.019005604140797223,-0.0213624375941438,-0.018246251677548318,-0.0216025997519759,-0.02167923681940392,-0.014151634893078068,-0.02013580519750317,-0.015569339771851163,-0.022118711238147612,-0.020094756426783555,-0.024176655464801952,-0.011618241652775143,0.028602562516454624,-0.015788402357569054,-0.012853998887281497,-0.011285023807255977
