sample,MEtan,MEpurple,MEblue,MEskyblue,MEorange,MEsteelblue,MEdarkorange,MEdarkgreen,MEmagenta,MEsaddlebrown,MEdarkturquoise,MElightcyan,MEblack,MEgreen,MEdarkgrey,MEsalmon,MEwhite,MEdarkred,MEgrey60,MEcyan,MElightgreen,MElightyellow,MEturquoise,MEbrown,MEred,MEpink,MEgreenyellow,MEmidnightblue,MEroyalblue,MEgrey,RGR.change,growth.change
H183Fg01,-0.129744826,0.001961095,-0.063746615,-0.014050382,0.039014551,0.176638576,5.10E-04,-0.034843889,0.003865506,0.061302065,0.025125048,0.081348867,0.047529573,0.119568734,0.057745743,0.099511939,-0.086457439,0.038714653,-0.031507976,0.069659392,0.031367883,0.191215783,0.068046683,0.059300638,0.056867008,0.011576521,0.072225291,0.028491348,0.023635121,0.05387983,0.00522835,0.057880023
H183Fg07,-0.167018125,-0.056213573,-0.074378557,-0.047180905,0.045750834,0.030795254,-0.028900392,-0.015339083,0.003081293,0.074095743,0.046692788,0.043499172,0.123682644,0.136218265,-0.007951167,0.092069835,-0.00259287,-0.031536057,0.040561438,0.046839471,0.031018199,0.024772044,0.039330973,0.02396911,0.015807629,-0.014904311,0.016514884,-0.018560863,-0.031963742,0.035406752,0.00063523,0.008085469
H183Fg08,-0.094705538,-0.14406782,-0.181654788,-0.098491183,0.042134387,0.074918116,-0.050873901,0.015109201,0.050488363,0.103754326,0.075617525,0.076805303,0.19656182,0.157607481,-0.010199554,0.194747266,0.00460759,0.078145535,0.26307691,0.079670824,0.097396748,0.300996012,0.053421298,0.05510442,0.084602753,-0.034881045,0.035124879,-0.022988926,-0.059081372,0.0285411,0.005299499,0.173517817
H183Fg09,0.077452024,0.03300308,-0.139100889,-0.11919119,0.043898442,0.096056967,-0.114950422,-0.100522236,0.033873525,-0.054001718,0.041057205,-0.035924476,0.05819071,0.048749815,-0.063812903,-0.019365955,-0.626876446,-0.13822856,-0.095248657,0.041115442,0.001916493,-0.002776509,0.031691683,0.01606477,0.024985372,-0.027069698,-0.006840383,-0.048406923,-0.052421458,0.015822056,0.014899257,0.093252397
H183Fg14,-9.10E-04,0.007987718,-0.264828088,-0.174383684,0.008336676,-0.06956501,-0.023267381,-0.051749209,-0.048781602,-0.082918347,-0.05721008,0.11704195,0.061523631,0.208851057,-0.137591993,0.086442101,0.021506558,-0.175783567,-0.057313713,-0.001371713,4.93E-04,-0.043232694,0.019188867,-0.02619917,0.00713748,-0.082934168,-0.041587422,-0.086105459,-0.140026101,-0.465142169,0.003308448,0.070748795
H183Fg25,-0.006175156,-0.137245746,-0.299279338,-0.152665613,0.212147376,0.309569172,0.950901149,-0.036002577,0.565636398,-0.021307017,0.040628603,0.034497263,0.167828452,0.152882163,0.028908114,0.144522886,0.064404451,-0.172802331,-0.112810346,0.052454093,0.008803831,-0.04969556,0.047923727,4.35E-04,0.070909744,-0.056320414,-0.008669791,-0.00690612,-0.114297711,-0.146888499,0.00026222,0.012769563
H183Fg28,-0.041400926,-0.19762113,-0.142489271,-0.106688883,0.037486262,-0.006323115,-0.040153144,-0.106278857,-0.030509773,-0.030374947,0.056822413,-0.018897385,0.227085908,0.134385243,-0.065356011,-0.004759309,0.032931169,-0.07493997,-0.020531829,0.043177747,0.006399294,0.198625361,0.03591221,-0.006390187,0.032767601,-0.093509011,-0.03232348,-0.0843915,-0.080796172,-0.171035384,0.008715511,0.065038156
H183Fg29,-0.288540586,-0.297212023,-0.134866535,-0.135594169,-0.897234266,0.049893972,0.05109115,0.024784812,-0.002058729,0.056097608,0.179200548,0.137724561,0.31252658,0.155649785,0.895913787,0.554525301,-0.002194115,0.126442663,0.440596078,0.085973851,0.147632997,0.085493918,0.067912295,0.089724919,0.141977583,-0.029575403,0.052375908,-0.017844305,-0.075075337,0.021471641,0.001329454,0.03316494
H183Fg30,-0.110722144,-0.297377131,-0.223867968,-0.202039244,-0.0479679,-0.067571379,-0.054623343,-0.15717258,-0.103618062,-0.146150691,-0.00266102,0.061264883,0.203594012,0.113146058,-0.061164117,0.128672817,-0.020500389,-0.153408552,-0.112480119,0.017443278,-0.031296792,-0.237182235,0.016376489,-0.049464639,-0.005206357,-0.096498984,-0.063389909,-0.116378615,-0.119942998,-0.02771834,0.001949472,0.079633171
H183Fg32,-0.07829186,-0.041426316,-0.022908565,0.064375599,0.046253383,0.063461118,0.010368439,-0.049016786,-0.031639319,-0.210336623,0.024328058,0.003927064,0.125899135,0.138307801,-0.067679222,0.04377181,0.040083899,-0.065641488,0.042774779,0.024469494,0.013981642,0.005706248,0.019230842,0.007898047,0.011169095,-0.049779594,-0.027104006,-0.037818239,-0.084358873,0.277394547,0.000464312,0.017853345
H183Fg36,-0.039749429,-0.062948546,-0.188380171,-0.118635937,-0.02279192,-0.017163132,-0.132239066,-0.066238914,-0.07849742,0.882102815,0.036512608,-0.052312738,0.117994293,0.199679092,-0.111430749,-0.040166806,-0.080780227,-0.208828063,-0.161982897,0.014053927,-0.006849723,0.112898127,0.009582896,-0.023993542,-0.005551097,-0.074987665,-0.030743449,-0.095510821,-0.09600962,-0.074776453,0.001022942,0.01907253
H183Fg37,-0.118489336,0.082664134,-0.048555188,0.094243381,0.252587218,0.121761177,0.059303442,0.954976803,0.730342565,0.135910097,0.083321453,0.167237811,0.092155152,0.10631166,0.116855,-0.03010313,0.121144176,-0.125622195,-0.285326828,0.134907556,0.047756337,0.279280448,0.117715273,0.127181444,0.163675774,0.023312012,0.136960836,0.093416013,-0.037413538,0.203380903,0.000683451,0.020407174
H183Fg42,-0.135536631,-0.143487535,-0.226755139,-0.127125765,0.124945478,0.017427209,0.013857862,0.024023417,-0.067925498,0.024951336,0.084107086,0.077890816,0.13802712,0.310041554,0.022427121,0.242892895,-0.215947193,-0.100439035,0.042711964,0.05928141,0.05202877,0.040602658,0.073322296,0.049147086,0.081704577,-0.046767966,0.033274613,-0.020664303,-0.095819005,0.286571383,0.000694277,0.043417845
H183Fg43,0.093093427,-0.102056536,-0.167870743,-0.009262267,0.084639577,-0.045658848,-0.034375785,-0.058430733,-0.052947879,-0.077206081,0.005307569,-0.025190561,0.106136767,0.307511497,-0.05235145,-0.034620411,0.053040293,-0.204180597,-0.277095142,0.014477133,-0.011153384,0.007913526,0.053731473,-0.023665644,0.022135183,-0.086072511,-0.025517037,-0.097080509,-0.086039054,0.084770969,0.003270811,0.050722367
H183Fg45,-0.271220179,-0.007128876,-0.181065485,-0.178110844,0.033033424,0.009407252,0.00632679,-0.038284193,0.001544714,0.007574415,0.040569652,0.04870016,0.0223334,0.094797022,-0.029672202,0.155280382,-0.004794146,-0.021795949,0.091457073,0.059357352,0.049214057,-0.206144749,0.035621864,0.043032422,0.018034416,-0.019769846,0.013266039,-0.008483351,-0.007037738,0.070396345,-0.001145573,-0.012776326
H183Fg46,-0.16564283,-0.056853149,-0.217090484,-0.161906633,0.019963492,0.048933728,-0.015829268,-0.028598412,-0.024154052,-0.088973319,0.003635986,0.017301297,0.054722186,0.214379257,0.006700509,0.050444518,0.028332472,-0.136080731,4.25E-04,7.42E-05,-0.005451662,-0.13925985,-0.002112771,-0.028135061,9.94E-04,-0.073297366,-0.027902238,-0.071721443,-0.10608317,-0.133533436,-0.00325384,-0.024157866
S183Fg02,0.168457386,0.03579782,0.225549461,0.185104277,0.038627803,0.067600852,0.001637713,0.001251617,0.026822566,-0.013142796,0.019521018,0.028429476,-0.028415189,-0.160099245,0.0683045,-0.080319686,0.038810114,0.076622926,-0.002071065,0.008667956,0.009334343,-0.141024987,0.070464453,0.030929881,0.035468573,0.030011738,0.00247135,0.064554303,0.030288839,-0.034563757,0.000126371,0.00278093
S183Fg03,0.182917249,-0.013254985,0.114567125,0.151271472,0.068709716,-0.89161411,0.009743846,-0.04513812,-0.021224185,0.011181236,0.030187275,-0.009712029,-0.056334781,-0.06747386,0.004403659,-0.120124799,0.060717904,0.078257154,-0.053490526,0.03524537,-0.019270903,0.1994739,0.033198744,-3.72E-04,0.00369811,-0.025148001,0.007062095,-0.047206565,0.01912392,-0.014323571,-0.026756073,-0.258608106
S183Fg05,-0.166646408,0.338296052,0.235573925,-0.066418424,0.043607187,0.053226235,0.005750986,0.023984493,0.044126946,0.024916696,-0.05834753,0.02929944,-0.060066147,-0.090188126,-0.015219526,-0.033696076,0.046340144,0.248643578,0.08852598,8.92E-04,0.590656658,0.095206125,-0.001877333,0.683811289,0.405077724,0.956391732,0.276421403,0.006606454,0.628442253,-0.033420424,-0.000974156,-0.02295016
S183Fg07,-0.105658087,0.211739529,0.260263621,0.25229987,0.059390494,0.065771452,0.012749137,-0.014662438,0.045525036,0.007998867,0.044672644,0.145772861,-0.229602843,-0.187750651,-0.001030603,-0.063357336,0.043972329,0.343615513,0.06054076,0.112888149,-0.003999288,0.136603314,0.042183154,-0.043640074,0.157614919,-0.001342369,0.667024382,0.942381762,0.652578742,-0.07026909,-0.001233259,-0.01689413
S183Fg10,0.411502167,0.28356258,0.297238198,0.167254985,-0.150354064,-0.057320347,-0.130411309,-0.047519092,-0.074562595,-0.212776071,-0.087922097,-0.930400578,-0.266183345,-0.26549831,-0.116231211,-0.356667515,-0.1106191,-0.155982127,-0.13812571,-0.085087877,-0.123570912,-0.260101663,-0.05397806,-0.076927233,-0.154602298,-0.075953691,-0.091814877,-0.072933629,-0.026103634,0.043203619,-0.000938263,-0.08170795
