sample,SITE,YEAR,TREE_ID,RGR,growth,RGR.2017,growth.2017,RGR.change,growth.change
H181Fg01,HF,2018,30156,0.01768953,0.188287123,0.01246118,0.1304071,0.00522835,0.057880023
H181Fg02,HF,2018,10481,0.012780835,0.248220654,0.009235177,0.177208877,0.003545658,0.071011777
H181Fg07,HF,2018,81099,0.021665351,0.152604713,0.021030121,0.144519244,0.00063523,0.008085469
H181Fg08,HF,2018,81091,0.020390159,0.634232306,0.01509066,0.460714489,0.005299499,0.173517817
H181Fg09,HF,2018,60850,0.034797181,0.209816186,0.019897924,0.116563789,0.014899257,0.093252397
H181Fg14,HF,2018,150496,0.01239828,0.256107849,0.009089832,0.185359054,0.003308448,0.070748795
H181Fg28,HF,2018,260845,0.014533972,0.107637779,0.005818461,0.042599623,0.008715511,0.065038156
H181Fg30,HF,2018,281050,0.00478918,0.194231083,0.002839708,0.114597912,0.001949472,0.079633171
H181Fg37,HF,2018,220932,0.001014794,0.030282839,0.000331343,0.009875665,0.000683451,0.020407174
H181Fg42,HF,2018,331632,0.001475846,0.092051239,0.000781569,0.048633394,0.000694277,0.043417845
H181Fg45,HF,2018,351005,0.007490891,0.089577616,0.008636464,0.102353942,-0.001145573,-0.012776326
H181Fg46,HF,2018,341026,0.011525128,0.091973919,0.014778968,0.116131785,-0.00325384,-0.024157866
S181Fg02,SERC,2018,130632,0.000225571,0.00496399,9.92E-05,0.00218306,0.000126371,0.00278093
S181Fg03,SERC,2018,140981,0.026852035,0.253352489,0.053608108,0.511960595,-0.026756073,-0.258608106
S181Fg05,SERC,2018,150147,0.011099398,0.30712148,0.012073554,0.33007164,-0.000974156,-0.02295016
S181Fg06,SERC,2018,160234,0.05258339,0.394748297,0.031730028,0.228079299,0.020853362,0.166668998
S181Fg07,SERC,2018,43245,0.0203423,0.44507626,0.021575559,0.46197039,-0.001233259,-0.01689413
S181Fg10,SERC,2018,43420,0.00082209,0.07193787,0.001760353,0.15364582,-0.000938263,-0.08170795
S181Fg18,SERC,2018,80469,0.006729374,0.037964211,0.007559258,0.04228561,-0.000829884,-0.004321399
S181Fg20,SERC,2018,40756,0.001332255,0.10112488,0.00108798,0.08246182,0.000244275,0.01866306
S181Fg23,SERC,2018,41628,0.003797322,0.14149114,0.004363547,0.16186371,-0.000566225,-0.02037257
S181Fg25,SERC,2018,41489,0.001927662,0.09098222,0.002227916,0.1049022,-0.000300254,-0.01391998
S181Fg27,SERC,2018,30900,0.002654465,0.08160344,0.003406097,0.10431888,-0.000751632,-0.02271544
S181Fg28,SERC,2018,31048,0.004991984,0.09763422,0.004112243,0.08001773,0.000879741,0.01761649
S181Fg29,SERC,2018,30971,0.002564914,0.1375886,0.001985306,0.10621848,0.000579608,0.03137012
S181Fg36,SERC,2018,20948,0.010631794,0.15574312,0.016896425,0.24406925,-0.006264631,-0.08832613
S181Fg39,SERC,2018,50913,0.007153144,0.18249369,0.010167921,0.25712059,-0.003014777,-0.0746269
S181Fg42,SERC,2018,70361,0.001749698,0.11300855,0.001706904,0.11000587,4.28E-05,0.00300268
S181Fg44,SERC,2018,71429,0.002858542,0.18687598,0.002905544,0.18931849,-0.000047002,-0.00244251
S181Fg45,SERC,2018,111002,0.018411789,0.53850531,0.022916986,0.65629826,-0.004505197,-0.11779295
H171Fg01,HF,2017,30156,0.01246118,0.1304071,,,,
H171Fg02,HF,2017,10481,0.009235177,0.177208877,,,,
H171Fg07,HF,2017,81099,0.021030121,0.144519244,,,,
H171Fg08,HF,2017,81091,0.01509066,0.460714489,,,,
H171Fg09,HF,2017,60850,0.019897924,0.116563789,,,,
H171Fg14,HF,2017,150496,0.009089832,0.185359054,,,,
H171Fg28,HF,2017,260845,0.005818461,0.042599623,,,,
H171Fg30,HF,2017,281050,0.002839708,0.114597912,,,,
H171Fg37,HF,2017,220932,0.000331343,0.009875665,,,,
H171Fg42,HF,2017,331632,0.000781569,0.048633394,,,,
H171Fg45,HF,2017,351005,0.008636464,0.102353942,,,,
H171Fg46,HF,2017,341026,0.014778968,0.116131785,,,,
S171Fg02,SERC,2017,130632,9.92E-05,0.00218306,,,,
S171Fg03,SERC,2017,140981,0.053608108,0.511960595,,,,
S171Fg05,SERC,2017,150147,0.012073554,0.33007164,,,,
S171Fg06,SERC,2017,160234,0.031730028,0.228079299,,,,
S171Fg07,SERC,2017,43245,0.021575559,0.46197039,,,,
S171Fg10,SERC,2017,43420,0.001760353,0.15364582,,,,
S171Fg18,SERC,2017,80469,0.007559258,0.04228561,,,,
S171Fg20,SERC,2017,40756,0.00108798,0.08246182,,,,
S171Fg23,SERC,2017,41628,0.004363547,0.16186371,,,,
S171Fg25,SERC,2017,41489,0.002227916,0.1049022,,,,
S171Fg27,SERC,2017,30900,0.003406097,0.10431888,,,,
S171Fg28,SERC,2017,31048,0.004112243,0.08001773,,,,
S171Fg29,SERC,2017,30971,0.001985306,0.10621848,,,,
S171Fg36,SERC,2017,20948,0.016896425,0.24406925,,,,
S171Fg39,SERC,2017,50913,0.010167921,0.25712059,,,,
S171Fg42,SERC,2017,70361,0.001706904,0.11000587,,,,
S171Fg44,SERC,2017,71429,0.002905544,0.18931849,,,,
S171Fg45,SERC,2017,111002,0.022916986,0.65629826,,,,
