"","logFC","logCPM","LR","PValue","FDR"
"FAGR_UCONN_15835",2.95613777733384,5.42609808034315,299.011569671462,5.40901533262076e-67,1.17061909828578e-62
"FAGR_UCONN_22761",3.20951370794079,5.97801697638767,291.110868780682,2.84780095820318e-65,2.54762194693148e-61
"FAGR_UCONN_23755",6.20956831648876,7.30870959816282,290.681983647265,3.53149701543039e-65,2.54762194693148e-61
"FAGR_UCONN_09610",3.61335064234869,6.67988103351085,278.077053976221,1.97080866113076e-62,1.0663060261048e-58
"FAGR_UCONN_11694",4.53786073116485,9.02087181976124,259.835971547833,1.86324716498819e-58,8.0648790289349e-55
"FAGR_UCONN_14392",6.19234771905298,7.44698829773298,249.669927577505,3.06477523983938e-56,1.10546442901006e-52
"FAGR_UCONN_11002",3.34626463169728,4.53006901505138,245.627076768287,2.33243450662136e-55,7.21122108461422e-52
"FAGR_UCONN_08571",3.93012110318849,4.93240803085665,242.674368509676,1.02703912858265e-54,2.77839760259821e-51
"FAGR_UCONN_10467",10.2645835759743,5.20255281645982,242.257863594495,1.26590140063642e-54,3.04407090139705e-51
"FAGR_UCONN_09960",3.41511612595928,5.85250151133566,240.002750632959,3.92740568471011e-54,8.49969138284962e-51
"FAGR_UCONN_15016",5.02432351879568,8.53070918939758,237.958263936754,1.09623305096328e-53,2.15678869899522e-50
"FAGR_UCONN_22382",2.37800279677772,7.64325829034262,237.18509892619,1.61619741582559e-53,2.91481203944145e-50
"FAGR_UCONN_19231",3.270661092095,5.8144442276121,232.321842672712,1.85779686808118e-52,3.09280306300099e-49
"FAGR_UCONN_16852",4.82202588661131,6.54969462281227,231.926739993046,2.2654797008409e-52,3.50210797754277e-49
"FAGR_UCONN_24370",3.23487815894433,8.89353452513239,230.884702062773,3.82300965615744e-52,5.21159239656503e-49
"FAGR_UCONN_15332",3.96063862520278,7.1574350703198,230.869168130522,3.85294697093801e-52,5.21159239656503e-49
"FAGR_UCONN_30733",3.78270789120431,7.33828882995129,228.191124449821,1.47854590294478e-51,1.88227590773712e-48
"FAGR_UCONN_26190",5.02615403311868,7.0036635175554,226.697928497759,3.12961938269517e-51,3.76284570446049e-48
"FAGR_UCONN_10522",1.82889024730046,6.04778150722466,226.007033701886,4.42766229064687e-51,5.04334038390418e-48
"FAGR_UCONN_27656",6.01815947200056,9.91959033968676,223.826772467214,1.32342351438237e-50,1.43207658491316e-47
"FAGR_UCONN_20604",3.94387281872395,6.32688079243554,223.471821487244,1.58167441422425e-50,1.63002846060197e-47
"FAGR_UCONN_22245",3.18789470566181,6.10513079884424,221.223250413217,4.89288232390184e-50,4.81326178426743e-47
"FAGR_UCONN_16583",2.38444598473105,6.72101444601227,219.939626338811,9.32293452301636e-50,8.77247604117913e-47
"FAGR_UCONN_26736",5.24789926304914,6.35882880951446,217.376023736258,3.3787418825495e-49,3.04678049258902e-46
"FAGR_UCONN_29311",2.65999525285405,5.63528412000961,212.598059946038,3.72442257418383e-48,3.22415813401945e-45
"FAGR_UCONN_15279",10.013807884397,7.73739376684124,210.022718309022,1.35802984963226e-47,1.13040315406698e-44
"FAGR_UCONN_19061",3.40663551410137,7.93911549290522,208.866445790145,2.42760665313123e-47,1.94586159952096e-44
"FAGR_UCONN_07201",4.81043307307418,5.99919350327232,208.209550649998,3.3767498792805e-47,2.60998646026387e-44
"FAGR_UCONN_24255",2.60824535979685,5.45217568513022,206.483105262307,8.03864358741368e-47,5.9990456730623e-44
"FAGR_UCONN_11931",5.24048689841852,5.8416749166717,203.151505721537,4.28675813179348e-46,3.09246731627581e-43
"FAGR_UCONN_21958",4.88333691472761,4.85081621521811,200.24370364719,1.84778086487863e-45,1.28249847291315e-42
"FAGR_UCONN_12735",5.74122222246997,5.04303764224985,200.192109321121,1.89631046729603e-45,1.28249847291315e-42
"FAGR_UCONN_21199",-2.53486313946704,4.89610981898638,199.028734521719,3.40240715392251e-45,2.23136047349064e-42
"FAGR_UCONN_29961",4.25376829882202,5.65088994515761,197.124274132597,8.85935023400029e-45,5.63923699306571e-42
"FAGR_UCONN_05033",4.74397764826187,10.3501553279858,196.777033123067,1.05483214211769e-44,6.52247920563172e-42
"FAGR_UCONN_14285",3.96902318281284,7.21174333340195,196.525781096645,1.19678662039736e-44,7.19468223295546e-42
"FAGR_UCONN_14312",4.12176162451081,6.71281434693946,196.315602824966,1.33010646947985e-44,7.78004438175215e-42
"FAGR_UCONN_09588",7.52082073047641,7.28108040171656,195.478783823172,2.0254321567643e-44,1.1535369141235e-41
"FAGR_UCONN_12210",8.52093457693047,3.31883644924804,195.116174433246,2.43028093734619e-44,1.34861897553964e-41
"FAGR_UCONN_20389",4.89200762223579,5.72168343199723,194.215335413177,3.82178275216669e-44,2.06777555805979e-41
"FAGR_UCONN_15724",8.68113415636333,6.38293675358783,190.772742948333,2.15605436042746e-43,1.13808118215539e-40
"FAGR_UCONN_27821",2.83100184654875,7.08028713997886,190.31623086879,2.71209545148953e-43,1.39750404193182e-40
"FAGR_UCONN_31698",-2.07490895243071,5.68772723820837,188.856180050216,5.64944905743058e-43,2.84338084885843e-40
"FAGR_UCONN_31978",-3.30123696727405,8.41070935192391,188.760591858971,5.92750063733685e-43,2.91552201802828e-40
"FAGR_UCONN_18329",1.93514805806532,5.81920237444651,188.043874080617,8.49811145088927e-43,4.0635010885327e-40
"FAGR_UCONN_09001",5.37774247607801,2.60210848157379,188.011630769222,8.63695823271898e-43,4.0635010885327e-40
"FAGR_UCONN_05928",3.15188616139395,7.5823469593965,187.699740206867,1.01028470233515e-42,4.64708856133271e-40
"FAGR_UCONN_18848",3.88821950909258,5.32984892796813,187.659972339196,1.03068224260221e-42,4.64708856133271e-40
"FAGR_UCONN_27699",7.61522878908196,8.19147115149074,186.79653523758,1.59077505227651e-42,7.02603136354453e-40
"FAGR_UCONN_29821",2.0688627748721,4.44393775244707,186.602468913412,1.75377186316124e-42,7.59102613250712e-40
"FAGR_UCONN_10335",3.51452200185018,6.29168746728418,186.353469480008,1.98760261735594e-42,8.43445016565043e-40
"FAGR_UCONN_09109",-3.1863090141884,4.46407473577842,186.031682071827,2.33655584708216e-42,9.72456570049079e-40
"FAGR_UCONN_03984",5.34536716264543,6.77308637909494,184.798491012377,4.34299444171004e-42,1.77341671146205e-39
"FAGR_UCONN_05478",-2.58155273926852,4.48737513609763,184.248730849332,5.7254325734751e-42,2.29462614361385e-39
"FAGR_UCONN_18581",3.56362645229207,8.44009093133223,183.964379038472,6.60520575414037e-42,2.5990884169292e-39
"FAGR_UCONN_20490",2.46780389251555,6.16700265937193,183.907309576518,6.79744163442708e-42,2.62696842593341e-39
"FAGR_UCONN_18115",3.43899834733509,4.27676470761546,183.73071189096,7.42847376029051e-42,2.82047419509135e-39
"FAGR_UCONN_04541",5.51335747588821,9.27037236800818,182.756061657591,1.21250883280039e-41,4.52433037232173e-39
"FAGR_UCONN_31739",3.08311046174982,5.39260697157673,182.410588997799,1.44248011895867e-41,5.29121266686502e-39
"FAGR_UCONN_28495",2.33612803965773,7.50336898515543,182.145532541936,1.64808080772983e-41,5.94022452097791e-39
"FAGR_UCONN_17650",9.11248957432636,4.83562388481673,182.114126403067,1.67430780787197e-41,5.94022452097791e-39
"FAGR_UCONN_08712",6.41606362304935,9.84746947837941,181.856069172917,1.90623456901863e-41,6.65398847462923e-39
"FAGR_UCONN_23859",1.90179263697329,5.81678493071128,180.915686523051,3.05838068407653e-41,1.050626583568e-38
"FAGR_UCONN_25604",2.6556948199591,5.74400210731659,180.505741612922,3.7583501871157e-41,1.27090960546184e-38
"FAGR_UCONN_03338",8.19790360367327,4.78925257924329,179.657434489914,5.75727070932875e-41,1.91690542601989e-38
"FAGR_UCONN_25787",4.2201348242679,5.58881772787448,179.35309829558,6.70913573858845e-41,2.19998660082623e-38
"FAGR_UCONN_21439",4.45240580120269,6.64232600501221,178.896551595534,8.4401832919266e-41,2.72630517617725e-38
"FAGR_UCONN_29475",3.28574938462668,5.07395041228073,178.259612548023,1.16259245348111e-40,3.70012145268208e-38
"FAGR_UCONN_12990",4.57468339853746,8.36513049793345,177.428186177528,1.76593008934087e-40,5.53887811500219e-38
"FAGR_UCONN_18843",1.72023264909549,5.60324494707675,174.93226707917,6.1943797184099e-40,1.91512522665467e-37
"FAGR_UCONN_16014",2.38813574061943,6.2956608976757,174.820130757173,6.55368570910535e-40,1.99767417065434e-37
"FAGR_UCONN_29677",5.7136597360453,5.0923099793216,174.617784742849,7.25559733564467e-40,2.18091163247253e-37
