"","logFC","logCPM","LR","PValue","FDR"
"FAGR_UCONN_05563",-6.89213859478083,4.6201715178466,288.983410110119,8.28062978833281e-65,1.79209389879099e-60
"FAGR_UCONN_07559",-7.95796333230029,2.60271051048867,283.967980963354,1.02547634710402e-63,1.10966795520126e-59
"FAGR_UCONN_23446",-2.24483684640013,3.68217833723268,275.399354600766,7.55415155572279e-62,5.44956493229842e-58
"FAGR_UCONN_20049",-1.53674327677939,5.93497066882103,159.094860271977,1.78407812312456e-36,9.65275468516543e-33
"FAGR_UCONN_26620",-1.52149111781846,6.63384137587534,157.11215802525,4.83773372456902e-36,2.09396466534246e-32
"FAGR_UCONN_12080",-1.72218950684466,7.17011044718234,134.117794878456,5.14882146414569e-31,1.85717990211735e-27
"FAGR_UCONN_26818",-1.1631045779634,7.00123223132229,128.506280894957,8.69715757187316e-30,2.68891263100684e-26
"FAGR_UCONN_17009",-1.42914172807019,6.89386690866726,125.163614822429,4.68666910434243e-29,1.26786115945224e-25
"FAGR_UCONN_21648",-1.46312553128737,6.74779352152412,114.716319737258,9.08005509675629e-27,2.18345058226666e-23
"FAGR_UCONN_30021",-1.19553794732225,6.37368104656736,112.105490521686,3.38795389143207e-26,7.33220981183729e-23
"FAGR_UCONN_07597",-0.848725979291586,5.61945907791846,110.793794201283,6.56569220417627e-26,1.29177009711621e-22
"FAGR_UCONN_25262",-1.16559765841685,7.3802191083523,108.87090134377,1.73207594373172e-25,3.12379896452015e-22
"FAGR_UCONN_00064",-1.45555927811269,4.34405713217957,107.89429673436,2.83501946650113e-25,4.71965317646289e-22
"FAGR_UCONN_02708",-1.1027895694044,7.65887284097694,106.715281420455,5.13948229970902e-25,7.94490542359305e-22
"FAGR_UCONN_09087",-1.01851530472396,5.84248044493265,105.820544994677,8.07243090794954e-25,1.16469033139896e-21
"FAGR_UCONN_09200",-1.19749814089981,6.75031856315136,105.692316919448,8.61206379471235e-25,1.16488927903228e-21
"FAGR_UCONN_07416",-1.4207571457043,4.34058117643753,104.342850641567,1.70168708184171e-24,2.16634775442461e-21
"FAGR_UCONN_32637",-1.18126926781369,7.28775691678613,101.608630582184,6.76499021617722e-24,8.13377323658374e-21
"FAGR_UCONN_25699",-2.56226352603266,1.57725843300935,98.4158324495222,3.39136937593852e-23,3.86294821231902e-20
"FAGR_UCONN_15588",-1.09785452420051,8.06358938393601,97.6948229043455,4.8809686277331e-23,5.28169615206999e-20
"FAGR_UCONN_23783",-2.29879130605202,12.0714648664572,94.8893064232264,2.0133451471766e-22,2.07489598453314e-19
"FAGR_UCONN_07246",-2.08211863940832,6.19892181832975,93.6136130262247,3.8354062263621e-22,3.77299370686039e-19
"FAGR_UCONN_17737",-1.5820978355175,10.1596284317642,92.9706415047994,5.30758504872129e-22,4.9942067662794e-19
"FAGR_UCONN_13905",-1.78897482867028,1.96219533254668,91.9137810063745,9.05363293655111e-22,8.16411350053497e-19
"FAGR_UCONN_09169",-1.35245998192048,4.50000265666082,90.2798738814328,2.06744985434689e-21,1.78974998991102e-18
"FAGR_UCONN_18260",-0.959197447352045,4.42317026493605,89.6218328834085,2.88324686805438e-21,2.39997033532434e-18
"FAGR_UCONN_14671",-1.20939994698255,5.19856116821329,88.901396307418,4.14990379062107e-21,3.32165103366986e-18
"FAGR_UCONN_01937",-1.05769702091667,6.68670449908728,88.8322667187529,4.29748770643915e-21,3.32165103366986e-18
"FAGR_UCONN_30746",3.25937152969526,2.8721676198661,88.2299140074145,5.82719674962933e-21,4.28499072164326e-18
"FAGR_UCONN_18210",2.24970112734882,2.7958795153783,88.1920463798904,5.93982633995462e-21,4.28499072164326e-18
"FAGR_UCONN_31047",-1.54723702293505,4.16056592389603,86.975157296999,1.09892913564295e-20,7.67194333986604e-18
"FAGR_UCONN_30073",-1.03562706483351,6.39813675491301,86.4826751231039,1.40966840290015e-20,9.53376361736409e-18
"FAGR_UCONN_25784",-1.19610442513147,8.10073869002141,85.5437609537797,2.26630215437031e-20,1.48628215832977e-17
"FAGR_UCONN_26595",-1.18905192505928,6.16473319866149,84.7847037103464,3.32688218959943e-20,2.1176583631562e-17
"FAGR_UCONN_27941",-0.96866695046898,7.30223415500255,84.1340369690027,4.62341997370078e-20,2.85885871630949e-17
"FAGR_UCONN_01383",2.50079293902065,2.49237282130945,83.7940368904131,5.49101884837008e-20,3.30101749767848e-17
"FAGR_UCONN_25326",-0.939307628095887,6.76758181466197,83.0477016761117,8.00970103768709e-20,4.68502567182768e-17
"FAGR_UCONN_31111",-0.84707179049161,7.13705220116261,82.4099154974872,1.10597591049558e-19,6.29882385656456e-17
"FAGR_UCONN_27713",-0.906670807915447,7.33950437169367,80.6657394378925,2.67316848702602e-19,1.48340288195428e-16
"FAGR_UCONN_30691",1.88190983242628,3.4245053121794,80.5629071063496,2.81596079339293e-19,1.52357558726525e-16
"FAGR_UCONN_18217",-1.68942606336358,6.84307356071305,80.2669980020894,3.27086608883726e-19,1.726538631576e-16
"FAGR_UCONN_29127",-1.40228998141426,3.17417198558044,79.7430123051793,4.26415997482472e-19,2.17542038704489e-16
"FAGR_UCONN_11550",-1.10244972358923,7.17021833599542,79.7162579983702,4.3222935330806e-19,2.17542038704489e-16
"FAGR_UCONN_13636",-0.753615779569333,7.01551316918382,79.3387988252512,5.23220427473378e-19,2.57353102076792e-16
"FAGR_UCONN_24974",-1.06804597919159,7.34237024097914,79.0390386219282,6.08946613212637e-19,2.92862724514397e-16
"FAGR_UCONN_31309",-1.1150872593769,8.15274191473692,78.5488787322238,7.80431197564547e-19,3.6717591255852e-16
"FAGR_UCONN_21419",-0.944784797283754,6.70740702711175,78.4369358980192,8.25933257602899e-19,3.80315905554084e-16
"FAGR_UCONN_17517",-0.801518371315312,6.72621620714166,76.631941817401,2.0598097629123e-18,9.28716726853085e-16
"FAGR_UCONN_11793",1.05780896438132,8.04741405703592,76.3758396830077,2.34502799612474e-18,1.03573665085983e-15
"FAGR_UCONN_29520",-0.872440527620248,7.94720276239621,75.9360665871656,2.92999271298209e-18,1.26821804588717e-15
"FAGR_UCONN_06683",-1.1112105357707,7.5611888897242,75.6719307509563,3.34935197339658e-18,1.42130736094605e-15
"FAGR_UCONN_30322",-0.957827673157238,6.58969599157892,74.9294623608328,4.87835529781132e-18,2.03033394913909e-15
"FAGR_UCONN_26407",-0.589972590937255,7.21419659612388,74.8750538853214,5.01466420376224e-18,2.04768608863816e-15
"FAGR_UCONN_17207",-1.02254384786028,3.81211945308828,74.7455575062021,5.35461293797046e-18,2.14600987413994e-15
"FAGR_UCONN_02594",-0.957205614117469,5.22435482257264,73.8691056329172,8.3472563465382e-18,3.28456948821418e-15
"FAGR_UCONN_17218",-1.01722061090004,7.70675657342176,73.2934991078417,1.11735325231833e-17,4.31817126547736e-15
"FAGR_UCONN_26316",0.993021928115328,6.11485056852475,73.2072535054087,1.16726003455348e-17,4.43190204698358e-15
"FAGR_UCONN_14253",2.27593037135133,3.39932721600545,72.4519546831422,1.71148341193199e-17,6.3861937932814e-15
"FAGR_UCONN_20531",3.04310435274569,-0.252382316573224,71.320704375434,3.03632847333022e-17,1.1137664545731e-14
"FAGR_UCONN_17362",-1.25745468519701,4.7447186545613,71.2874087732879,3.08800172901712e-17,1.11384222365647e-14
"FAGR_UCONN_11321",-1.66389091772795,2.31129493756815,70.8570324046869,3.84072198208166e-17,1.36263778911822e-14
"FAGR_UCONN_25321",-1.46129116904694,2.86496740179606,70.8235175284769,3.90652450377557e-17,1.36362908565663e-14
"FAGR_UCONN_31059",-1.05418492663964,5.57890651332798,70.741974081489,4.07137430156451e-17,1.39861401007078e-14
"FAGR_UCONN_30615",-0.756034313351345,5.87917032019855,70.5876288259043,4.40269303327097e-17,1.48879816603203e-14
"FAGR_UCONN_14688",-0.766465837968133,8.88805883872445,69.7598663838985,6.69819714179219e-17,2.22733117865284e-14
"FAGR_UCONN_14871",-0.656678247080395,6.66446417623359,69.7322821708955,6.79252646664299e-17,2.22733117865284e-14
"FAGR_UCONN_26047",-0.715731136420427,5.05275459813617,69.3938891472399,8.06381181120902e-17,2.60473157042068e-14
"FAGR_UCONN_17419",1.71221301475731,6.85400771883576,68.5664699097701,1.22672252936381e-16,3.90422485007228e-14
"FAGR_UCONN_25587",-0.90857184756457,5.9242718950112,68.0909975135487,1.56121820336366e-16,4.89679483437629e-14
"FAGR_UCONN_09154",-0.80347245773422,9.97381017250975,67.9336901198619,1.69087277221874e-16,5.227695505194e-14
"FAGR_UCONN_26930",-1.13894275623502,4.64914805763043,67.7791950006811,1.82868927657816e-16,5.57415398925417e-14
"FAGR_UCONN_15456",-0.9034644469334,5.53587039420667,67.6358636513179,1.96657691310204e-16,5.91120243796589e-14
"FAGR_UCONN_29108",-0.747171866696651,6.36176230881613,67.3099030287289,2.3201304866224e-16,6.87839232760028e-14
"FAGR_UCONN_12011",-0.731365982030016,5.84522592700263,67.1489268691258,2.51752304823245e-16,7.36273429862794e-14
"FAGR_UCONN_20448",-1.51634079069488,6.22242815592896,67.0587149713544,2.63539992690028e-16,7.60471002906345e-14
"FAGR_UCONN_11921",-0.840404247218286,6.32435699576466,66.9470137856119,2.78903564522938e-16,7.94214597816502e-14
"FAGR_UCONN_03886",3.58826872592617,-0.449105450788152,66.5293323569445,3.44725558608775e-16,9.6820670675224e-14
