TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative		Category
GO:0000712	resolution of meiotic recombination intermediates	-2.124332346	3.31196566	0.00681867	0.694686682	0	null		BP
GO:0000819	sister chromatid segregation	819	-1.439521673	4.351313059	0.074686062	0.800015386	0.78134384	712	BP
GO:0051455	monopolar spindle attachment to meiosis I kinetochore	51455	-1.441222212	2.380211242	0.000794957	0.835223391	0.72714154	712	BP
GO:0006065	UDP-glucuronate biosynthetic process	-1.440125562	4.084933575	0.040443031	0.753034837	0.40340564	null		BP
GO:0006221	pyrimidine nucleotide biosynthetic process	-1.439544702	5.248735679	0.589765102	0.770620224	0.45674862	null		BP
GO:0006312	mitotic recombination	-1.747890521	3.236285277	0.005727683	0.813950034	0.41653016	null		BP
GO:0006612	protein targeting to membrane	-1.748707813	4.71092087	0.170945732	0.911574963	0.00612296	null		BP
GO:0007096	regulation of exit from mitosis	-1.439807741	3.446381812	0.009293349	0.967659774	0.14779698	null		BP
GO:0007166	cell surface receptor signaling pathway	-1.360658303	5.554889955	1.193533426	0.915732921	0.26278807	null		BP
GO:0009662	etioplast organization	-1.439776497	1.982271233	0.000315987	0.892457548	0.28948174	null		BP
GO:0010212	response to ionizing radiation	-1.441225436	3.988915521	0.032420283	0.967912485	0	null		BP
GO:0015074	DNA integration	-1.747258429	5.408253537	0.851525546	0.796090479	0.37348904	null		BP
GO:0019509	L-methionine salvage from methylthioadenosine	-1.440150118	4.303217664	0.066856232	0.771357971	0.38276417	null		BP
GO:0019284	L-methionine salvage from S-adenosylmethionine	19284	-1.440150118	4.038341934	0.036328546	0.776930395	0.95718332	19509	BP
GO:0030418	nicotianamine biosynthetic process	-1.439608943	3.074450719	0.00394485	0.80576348	0.27466702	null		BP
GO:0032259	methylation	-1.316788399	5.973409592	3.128635516	0.973227743	0.02256779	null		BP
GO:0033194	response to hydroperoxide	-1.440334562	2.790285164	0.002048927	0.971389404	0.17392521	null		BP
GO:0033539	fatty acid beta-oxidation using acyl-CoA dehydrogenase	-1.439586043	3.373463722	0.007856439	0.861093487	0.2081604	null		BP
GO:0042176	regulation of protein catabolic process	-1.442056094	4.652352725	0.149378776	0.964398569	0	null		BP
GO:0042218	1-aminocyclopropane-1-carboxylate biosynthetic process	-1.440632084	2.238046103	0.000572103	0.84068854	0.03384915	null		BP
GO:0042793	plastid transcription	-1.439776497	2.893206753	0.002597747	0.855255572	0.13306052	null		BP
GO:0045036	protein targeting to chloroplast	-1.441222212	3.305995883	0.006725537	0.919067262	0.64957503	null		BP
GO:0046084	adenine biosynthetic process	-1.439535495	3.972711841	0.031232837	0.804710206	0.18639287	null		BP
GO:0050482	arachidonic acid secretion	-1.439704498	4.095761959	0.041464169	0.940680515	0.44821026	null		BP
GO:0071140	resolution of mitotic recombination intermediates	-1.44030422	2.178976947	0.000498927	0.798082248	0.36990094	null		BP
GO:0000722	telomere maintenance via recombination	722	-1.44030422	2.984527313	0.003206438	0.69465445	0.86602777	71140	BP
GO:0090656	t-circle formation	-1.44030422	2.40654018	0.00084485	0.760591223	0.30286344	null		BP
GO:1900057	positive regulation of leaf senescence	-1.440334562	2.117271296	0.000432403	0.972728983	0.12375404	null		BP
GO:0000427	plastid-encoded plastid RNA polymerase complex	-1.439776497	2.986771734	0.003689851	0.551618001	0.52002343	null		CC
GO:0005689	U12-type spliceosomal complex	-1.440170417	3.63738965	0.016518654	0.633053244	0.43758829	null		CC
GO:0030119	AP-type membrane coat adaptor complex	-1.441364939	4.475540445	0.113818018	0.679881281	0.12507427	null		CC
GO:0030891	VCB complex	-1.440422896	3.001733713	0.00381932	0.659419331	0.1907002	null		CC
GO:0034515	proteasome storage granule	-1.442056094	3.167317335	0.0055938	0.762518179	0	null		CC
GO:0042644	chloroplast nucleoid	-1.439776497	3.082426301	0.004599939	0.630025133	0.21932055	null		CC
GO:0043240	Fanconi anaemia nuclear complex	-1.440847392	3.811172695	0.024648512	0.628245185	0.21427009	null		CC
GO:0000981	"DNA-binding transcription factor activity, RNA polymerase II-specific"	-1.563618375	5.530878153	0.92496003	0.982377945	0	null		MF
GO:0003979	UDP-glucose 6-dehydrogenase activity	-1.440125562	4.116408481	0.035614049	0.941742311	0.0275115	null		MF
GO:0004623	phospholipase A2 activity	-1.439704498	4.256597493	0.049183511	0.921196099	0.02823716	null		MF
GO:0004637	phosphoribosylamine-glycine ligase activity	-1.439535495	4.059070913	0.031208946	0.900419604	0.54362638	null		MF
GO:0004641	phosphoribosylformylglycinamidine cyclo-ligase activity	-1.439535495	4.039533088	0.029835926	0.900505675	0.02712917	null		MF
GO:0008757	S-adenosylmethionine-dependent methyltransferase activity	-1.500393159	5.557706859	0.983901785	0.940846456	0	null		MF
GO:0016740	transferase activity	-1.484214645	6.89143046	21.21663454	0.949233982	0.05599483	null		MF
GO:0016847	1-aminocyclopropane-1-carboxylate synthase activity	-1.440632084	2.238046103	0.00046857	0.957850491	0.12585592	null		MF
GO:0019237	centromeric DNA binding	-1.441222212	3.256236533	0.004911813	0.992403346	0.03441622	null		MF
GO:0030410	nicotianamine synthase activity	-1.439608943	3.074450719	0.003230954	0.953332385	0.16327793	null		MF
GO:0030941	chloroplast targeting sequence binding	-1.441222212	2.45484486	0.000773685	0.992927079	0.03047374	null		MF
GO:0045174	glutathione dehydrogenase (ascorbate) activity	-1.439952567	3.443419462	0.007559779	0.943669009	0.21714345	null		MF
GO:0046423	allene-oxide cyclase activity	-1.440109076	2.854913022	0.001947835	0.902029936	0.56289108	null		MF
GO:0046523	S-methyl-5-thioribose-1-phosphate isomerase activity	-1.440150118	3.67596155	0.012915643	0.899094953	0.02545602	null		MF
GO:0046983	protein dimerization activity	-1.988733972	5.669160618	1.27176181	0.99136672	0	null		MF
GO:0047617	acyl-CoA hydrolase activity	-1.43965913	4.266772464	0.050349488	0.921147906	0.37462553	null		MF
