TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative	Category
GO:0006351	DNA-templated transcription	-1.617797505	6.329375706	7.101029945	0.904482002	0.24451971	null	BP
GO:0006950	response to stress	-1.996320389	6.168838539	4.906638764	0.863244024	0.26686362	null	BP
GO:0006970	response to osmotic stress	-1.430242178	4.140130778	0.045924577	0.894726933	0.30605732	null	BP
GO:0007043	cell-cell junction assembly	-1.430465399	3.721315881	0.017505689	0.970300421	0.00587473	null	BP
GO:0009058	biosynthetic process	-4.494256573	6.928894185	28.23839283	0.975983501	0.03184597	null	BP
GO:0009187	cyclic nucleotide metabolic process	-1.430913044	4.714212367	0.172246268	0.927346085	0.22307642	null	BP
GO:0009734	auxin-activated signaling pathway	-1.996826961	4.454783902	0.094779519	0.810611664	0.54995645	null	BP
GO:0009751	response to salicylic acid	-2.38467274	3.457730548	0.009539486	0.855267461	0	null	BP
GO:0010068	protoderm histogenesis	-1.422845234	1.278753601	5.98713E-05	0.925647755	0.48425705	null	BP
GO:0010289	homogalacturonan biosynthetic process	-1.426401034	1.740362689	0.000179614	0.93648076	0.26430969	null	BP
GO:0032211	negative regulation of telomere maintenance via telomerase	-1.431687798	2.984527313	0.003206438	0.975558781	0	null	BP
GO:0033353	S-adenosylmethionine cycle	-1.43138165	4.0493731	0.037263203	0.971210288	0.04531266	null	BP
GO:0042853	L-alanine catabolic process	-3.710565351	4.008515008	0.033917065	0.946669876	0	null	BP
GO:0043953	protein transport by the Tat complex	-1.430685153	4.347661709	0.07406074	0.972213603	0.00643231	null	BP
GO:0046741	"transport of virus in host, tissue to tissue"	-1.431403667	1.633468456	0.0001397	0.962609408	0.39634137	null	BP
GO:0071586	CAAX-box protein processing	-1.43017092	4.47633882	0.099602481	0.942052851	0.11314858	null	BP
GO:0090558	plant epidermis development	-1.422845234	3.912859475	0.027211484	0.916143093	0.41551648	null	BP
GO:0090617	mitochondrial mRNA 5'-end processing	-1.42736848	1.414973348	8.31545E-05	0.937710342	0.20141793	null	BP
GO:0098586	cellular response to virus	-1.431403667	3.408579125	0.008518349	0.868653387	0.17580712	null	BP
GO:1905393	plant organ formation	-1.422845234	3.083144143	0.004024679	0.931957109	0	null	BP
GO:1990961	xenobiotic detoxification by transmembrane export across the plasma membrane	-1.482945419	4.384890797	0.080689818	0.82893447	0.39314318	null	BP
GO:2000012	regulation of auxin polar transport	-1.431600768	2.927370363	0.002810623	0.976721932	0.1120513	null	BP
GO:0000120	RNA polymerase I transcription regulator complex	-1.431326497	3.643057684	0.016735704	1	0	null	CC
GO:0000776	kinetochore	-1.378222887	4.673619839	0.179595617	1	0.28884475	null	CC
GO:0003677	DNA binding	-1.569600399	6.637648108	11.82753113	0.949665403	0.16618748	null	MF
GO:0003899	DNA-directed 5'-3' RNA polymerase activity	-1.472799046	5.050847444	0.306259573	0.833047033	0.15183639	null	MF
GO:0004021	L-alanine:2-oxoglutarate aminotransferase activity	-3.710565351	3.091666958	0.003361718	0.82452225	0	null	MF
GO:0004113	"2',3'-cyclic-nucleotide 3'-phosphodiesterase activity"	-1.430913044	3.749736316	0.01530753	0.916446959	0.16268547	null	MF
GO:0004160	dihydroxy-acid dehydratase activity	-1.431059444	4.086929024	0.033276647	0.969883848	0.02440665	null	MF
GO:0004185	serine-type carboxypeptidase activity	-2.61990294	4.893190092	0.213025027	0.903199235	0.02100585	null	MF
GO:0008483	transaminase activity	-1.956089151	5.398486875	0.681916552	0.797056401	0.64553529	null	MF
GO:0015293	symporter activity	-1.329954391	5.151035649	0.385725787	0.997156314	0	null	MF
GO:0016887	ATP hydrolysis activity	-1.30590987	6.082174775	3.291701973	0.891000832	0.25403182	null	MF
GO:0030170	pyridoxal phosphate binding	-2.788022283	5.587845609	1.054606828	0.934882639	0	null	MF
GO:0032549	ribonucleoside binding	-1.88983113	4.266866441	0.050360385	0.944039542	0.1979863	null	MF
GO:0070037	rRNA (pseudouridine) methyltransferase activity	-1.429523902	3.944877306	0.023992422	0.847433031	0.45774517	null	MF
