TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative		Category
GO:0005978	glycogen biosynthetic process	-1.698611019	4.486529654	0.101967396	0.922255438	0	null		BP
GO:0006617	"SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition"	-1.540256408	2.149219113	0.000465665	0.67686712	0.52657068	null		BP
GO:0006913	nucleocytoplasmic transport	-1.301224337	5.035469763	0.360920543	0.72410121	0.42086365	null		BP
GO:0009231	riboflavin biosynthetic process	-1.338689943	4.820602061	0.220060116	0.882966702	0.19450613	null		BP
GO:0009668	plastid membrane organization	-1.563362456	3.280350693	0.0063397	0.936140785	0.00590491	null		BP
GO:0010093	specification of floral organ identity	-1.549664025	2.247973266	0.000585408	0.990596009	0.00516206	null		BP
GO:0015074	DNA integration	-1.446488689	5.408253537	0.851525546	0.860677921	0.372783	null		BP
GO:0015739	sialic acid transport	-1.536014697	2.201397124	0.000525537	0.844600907	0.24418089	null		BP
GO:0016075	rRNA catabolic process	-1.554076282	3.939718882	0.028947751	0.849026134	0.58866334	null		BP
GO:0033075	isoquinoline alkaloid biosynthetic process	-1.607297805	2.810904281	0.002148713	0.937560404	0.10804255	null		BP
GO:0034067	protein localization to Golgi apparatus	-1.551214422	3.394626764	0.008248928	0.75937382	0.36000842	null		BP
GO:0043001	Golgi to plasma membrane protein transport	-1.551214422	3.394101302	0.00823895	0.64465035	0.00599989	null		BP
GO:0006895	Golgi to endosome transport	6895	-1.551214422	3.671358003	0.015603114	0.678424332	0.82103382	43001	BP
GO:0071028	nuclear mRNA surveillance	-1.554076282	3.032618761	0.003582297	0.858460868	0.13503166	null		BP
GO:0072318	clathrin coat disassembly	-1.348354727	2.751279104	0.00187264	0.770759414	0.39952424	null		BP
GO:0090481	pyrimidine nucleotide-sugar transmembrane transport	-1.536014697	3.984347258	0.032081013	0.810160368	0.3320193	null		BP
GO:1990426	mitotic recombination-dependent replication fork processing	-1.567432696	3.300160537	0.006635731	0.885748332	0.07158622	null		BP
GO:0000139	Golgi membrane	-1.95026392	5.313498124	0.783756429	0.841204627	0	null		CC
GO:0005786	"signal recognition particle, endoplasmic reticulum targeting"	-1.540256408	4.091948191	0.047054173	0.66104458	0.2082512	null		CC
GO:0009349	riboflavin synthase complex	-1.698611019	4.005395032	0.038551141	0.80259094	0	null		CC
GO:0000906	"6,7-dimethyl-8-ribityllumazine synthase activity"	-1.698611019	3.994493123	0.026896467	0.940071883	0.14784045	null		MF
GO:0003676	nucleic acid binding	-2.00798408	6.866269376	20.02236659	0.946171935	0.15789053	null		MF
GO:0004536	DNA nuclease activity	-1.554076282	5.12007684	0.359186196	0.918855223	0.24427956	null		MF
GO:0004644	phosphoribosylglycinamide formyltransferase activity	-1.561616059	4.084469031	0.033088674	0.939532984	0.15047372	null		MF
GO:0008236	serine-type peptidase activity	-2.381929214	5.689442058	1.3325615	0.916684147	0	null		MF
GO:0008270	zinc ion binding	-2.031543337	6.141802083	3.776138037	0.957026994	0	null		MF
GO:0008312	7S RNA binding	-1.540256408	4.354338977	0.061597894	0.963732615	0.04608517	null		MF
GO:0008878	glucose-1-phosphate adenylyltransferase activity	-1.698611019	3.958898195	0.024779728	0.940284544	0.02738206	null		MF
GO:0010181	FMN binding	-1.38189601	5.206623518	0.438396331	0.943405264	0.15737527	null		MF
GO:0015136	sialic acid transmembrane transporter activity	-1.536014697	2.195899652	0.000424982	0.892777726	0.62579303	null		MF
GO:0015165	pyrimidine nucleotide-sugar transmembrane transporter activity	-1.536014697	3.977906428	0.025888496	0.887539901	0.17786142	null		MF
GO:0016628	"oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor"	-1.998359216	5.067524637	0.318248973	0.971468619	0.03432485	null		MF
GO:0016874	ligase activity	-1.766108694	6.090132792	3.352575217	0.966076826	0.04480296	null		MF
GO:0016985	"mannan endo-1,4-beta-mannosidase activity"	-2.19426982	3.871864702	0.020279276	0.933032459	0.18951808	null		MF
GO:0017056	structural constituent of nuclear pore	-1.605886967	4.415557582	0.070922983	0.953962701	0	null		MF
