TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative		Category
GO:0000707	meiotic DNA recombinase assembly	-1.80865521	2.049218023	0.000369206	0.572285786	0.61254308	null		BP
GO:0001682	tRNA 5'-leader removal	-2.196220718	4.298831252	0.066184344	0.901495993	0	null		BP
GO:0006572	tyrosine catabolic process	-1.33437606	3.952114085	0.029785948	0.768652162	0.5213203	null		BP
GO:0006887	exocytosis	-1.34053056	4.725740166	0.176879638	0.937310244	0.1459797	null		BP
GO:0007141	male meiosis I	-1.80865521	3.029383778	0.003555687	0.64835489	0.28383495	null		BP
GO:0007143	female meiotic nuclear division	7143	-1.340488079	3.377670439	0.007932941	0.641792562	0.7112745	7141	BP
GO:0009860	pollen tube growth	-1.341624884	3.149527014	0.004689915	0.794002408	0.49704376	null		BP
GO:0009902	chloroplast relocation	-1.849572561	2.071882007	0.000389163	0.784863214	0.00494267	null		BP
GO:0010498	proteasomal protein catabolic process	-1.802462754	5.0271987	0.354111851	0.769132912	0.0911614	null		BP
GO:0006511	ubiquitin-dependent protein catabolic process	6511	-1.57226255	5.375253812	0.789219529	0.762710277	0.87693608	10498	BP
GO:0016444	somatic cell DNA recombination	-1.80865521	3.366796383	0.007736696	0.877686223	0.15972512	null		BP
GO:0019632	shikimate metabolic process	-1.53578363	3.753046562	0.018832835	0.930068902	0.0452731	null		BP
GO:0042254	ribosome biogenesis	-1.481216517	5.696511029	1.653697223	0.754829782	0.53858451	null		BP
GO:0051258	protein polymerization	-1.51817127	4.596278129	0.131284353	0.752725644	0.24664293	null		BP
GO:0051640	organelle localization	-1.308034575	4.776737495	0.198918911	0.937292762	0.21621866	null		BP
GO:0005576	extracellular region	-1.487767831	5.896555427	3.000820221	0.999919776	0.00004317	null		CC
GO:0005657	replication fork	-1.326899454	4.701852816	0.191659032	0.859711012	0.07957238	null		CC
GO:0005689	U12-type spliceosomal complex	-1.492822787	3.63738965	0.016518654	0.664368996	0.364879	null		CC
GO:0019773	"proteasome core complex, alpha-subunit complex"	-1.802462754	4.27448114	0.071637951	0.795432251	0	null		CC
GO:0033065	Rad51C-XRCC3 complex	-1.507598723	2.340444115	0.000830121	0.56299542	0.17067176	null		CC
GO:0033063	Rad51B-Rad51C-Rad51D-XRCC2 complex	33063	-1.330338242	3.39375064	0.009424543	0.540445768	0.85601318	33065	CC
GO:0048046	apoplast	-1.505328581	4.483401844	0.115897129	0.999933991	0.00004519	null		CC
GO:0000400	four-way junction DNA binding	-1.507598723	4.261691003	0.049763775	0.987230104	0	null		MF
GO:0003855	3-dehydroquinate dehydratase activity	-1.53578363	4.113274692	0.03535797	0.905185038	0.39052903	null		MF
GO:0004526	ribonuclease P activity	-2.463310619	4.179436883	0.041176956	0.76968576	0	null		MF
GO:0004764	shikimate 3-dehydrogenase (NADP+) activity	-1.53578363	4.167051359	0.040019153	0.940918943	0.02212668	null		MF
GO:0004838	L-tyrosine:2-oxoglutarate aminotransferase activity	-1.33437606	3.099335278	0.003421651	0.974252143	0.01911666	null		MF
GO:0008821	crossover junction DNA endonuclease activity	-1.80865521	4.054498147	0.030882036	0.771928983	0.54373381	null		MF
GO:0008967	phosphoglycolate phosphatase activity	-1.772647819	3.661055085	0.012479764	0.808877527	0.33952509	null		MF
GO:0016151	nickel cation binding	-1.505771169	4.631575661	0.116630358	0.986792117	0.03424005	null		MF
GO:0034007	S-linalool synthase activity	-1.835877977	1.414973348	6.81061E-05	0.911977983	0.01571236	null		MF
GO:0043022	ribosome binding	-1.499244204	4.97248055	0.25569487	0.986434536	0.03864477	null		MF
GO:0047617	acyl-CoA hydrolase activity	-1.780728177	4.266772464	0.050349488	0.797854877	0.37030014	null		MF
GO:0051777	ent-kaurenoate oxidase activity	-1.53350901	2.146128036	0.00037867	0.946450605	0.18637711	null		MF
