TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative		Category
GO:0000244	spliceosomal tri-snRNP complex assembly	-1.893329948	3.476251796	0.009955259	0.796708664	0.30404605	null		BP
GO:0005975	carbohydrate metabolic process	-2.156500461	6.220115152	5.521546466	0.93417858	0.05590792	null		BP
GO:0006004	fucose metabolic process	-1.977691006	4.346763599	0.073907735	0.899380359	0.03802055	null		BP
GO:0006231	dTMP biosynthetic process	-1.89779869	4.121264305	0.043972109	0.740561928	0.24481672	null		BP
GO:0006508	proteolysis	-2.506164109	6.206468853	5.350747087	0.852448227	0.1796972	null		BP
GO:0006564	L-serine biosynthetic process	-1.848173023	4.402295781	0.083989389	0.84085181	0.24235898	null		BP
GO:0007015	actin filament organization	-2.398278813	4.753797472	0.188684253	0.754866975	0	null		BP
GO:0030048	actin filament-based movement	30048	-1.367830599	3.799547307	0.020961591	0.860893949	0.7681478	7015	BP
GO:0007064	mitotic sister chromatid cohesion	-1.464222215	4.175917507	0.049869427	0.837607772	0.58273482	null		BP
GO:0007094	mitotic spindle assembly checkpoint signaling	-2.051493669	3.946255707	0.029386807	0.891854069	0.00678587	null		BP
GO:0009435	NAD biosynthetic process	-1.868867481	4.856305866	0.238916235	0.765964252	0.49970158	null		BP
GO:0010964	regulation of small non-coding RNA-mediated heterochromatin formation	-1.85969789	1.851258349	0.000232833	0.955050223	0.45466579	null		BP
GO:0016139	glycoside catabolic process	-1.876233752	2.754348336	0.001885944	0.915757311	0.27624444	null		BP
GO:0030050	vesicle transport along actin filament	-1.544957846	3.057666104	0.003795172	0.854414297	0.68835618	null		BP
GO:0030203	glycosaminoglycan metabolic process	-1.403249673	5.450546237	0.938621588	0.820143023	0.4146127	null		BP
GO:0032776	DNA methylation on cytosine	-1.85969789	4.174030718	0.049653226	0.851572577	0.35145946	null		BP
GO:0035825	homologous recombination	-2.180246896	4.155153778	0.047541101	0.851914743	0.00702031	null		BP
GO:0046654	tetrahydrofolate biosynthetic process	-1.89779869	4.674907047	0.157341653	0.819739959	0.13900077	null		BP
GO:0048527	lateral root development	-1.587703578	3.172310969	0.004942705	1	0	null		BP
GO:0070897	transcription preinitiation complex assembly	-1.37058519	4.192149125	0.051768677	0.741741963	0.49389936	null		BP
GO:1903830	magnesium ion transmembrane transport	-1.392044465	4.507693993	0.107059779	0.975719432	0.00745494	null		BP
GO:0000776	kinetochore	-2.141261425	4.673619839	0.179595617	0.766379418	0.34420467	null		CC
GO:0005682	U5 snRNP	-1.388825372	3.880813592	0.028936203	0.7034161	0.22405201	null		CC
GO:0005764	lysosome	-1.876233752	4.882370829	0.290435859	0.76844152	0.15761455	null		CC
GO:0009524	phragmoplast	-1.57051778	2.796574333	0.002379935	0.913487337	0.0634595	null		CC
GO:0016459	myosin complex	-2.698850971	4.691938621	0.187333262	0.653826664	0	null		CC
GO:0031982	vesicle	-1.370792109	5.567142869	1.405486874	0.78610165	0.24371741	null		CC
GO:0097550	transcription preinitiation complex	-1.54659349	3.036229544	0.004135375	0.856664811	0.19742974	null		CC
GO:1990298	bub1-bub3 complex	-1.86189075	2.217483944	0.000624495	0.866497383	0.1769948	null		CC
GO:0000146	microfilament motor activity	-1.544957846	3.505421328	0.008720307	1	0	null		MF
GO:0003924	GTPase activity	-2.034898695	5.676545467	1.293572112	0.896246698	0	null		MF
GO:0004146	dihydrofolate reductase activity	-1.89779869	4.008855564	0.027800916	0.908709772	0.02756848	null		MF
GO:0004190	aspartic-type endopeptidase activity	-1.581544291	5.019290804	0.28479525	0.905582307	0.23801601	null		MF
GO:0004557	alpha-galactosidase activity	-1.405346786	4.183867477	0.041599214	0.830033401	0.52179604	null		MF
GO:0004560	alpha-L-fucosidase activity	-1.598061337	4.126098923	0.036417701	0.831134971	0.19810521	null		MF
GO:0004563	beta-N-acetylhexosaminidase activity	-1.403249673	4.281056105	0.052033071	0.82816256	0.53186872	null		MF
GO:0004648	O-phospho-L-serine:2-oxoglutarate aminotransferase activity	-1.848173023	3.991669007	0.026722115	0.965149535	0.14811585	null		MF
GO:0004799	thymidylate synthase activity	-1.89779869	3.975063996	0.025719593	0.965207275	0.02739841	null		MF
GO:0005516	calmodulin binding	-2.166797875	4.758533422	0.156232701	0.948590275	0	null		MF
GO:0005525	GTP binding	-1.778718055	5.85453558	1.948861898	0.952150745	0.07502128	null		MF
GO:0008447	L-ascorbate oxidase activity	-1.437104005	2.802773725	0.001727171	0.91988714	0.19759893	null		MF
GO:0008734	L-aspartate oxidase activity	-1.868867481	3.901621764	0.021717678	0.873524366	0.68262653	null		MF
GO:0015095	magnesium ion transmembrane transporter activity	-1.392044465	4.507045872	0.087554496	1	0	null		MF
GO:0016709	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen"	-1.40697075	4.774896351	0.162231488	0.900516708	0.25902898	null		MF
GO:0017025	TBP-class protein binding	-1.847858804	4.135355309	0.037202284	0.950279186	0.39417752	null		MF
GO:0030623	U5 snRNA binding	-1.893329948	3.410608543	0.007009481	0.747802088	0.27406324	null		MF
GO:0017070	U6 snRNA binding	17070	-1.893329948	3.49248101	0.008464228	0.746039178	0.85887475	30623	MF
GO:0030619	U1 snRNA binding	30619	-1.893329948	3.571825249	0.010161432	0.744321965	0.8502409	30623	MF
GO:0030620	U2 snRNA binding	30620	-1.57197092	3.498448403	0.00858137	0.745910314	0.85951088	30623	MF
GO:0044318	L-aspartate:fumarate oxidoreductase activity	-1.868867481	3.812244697	0.017677623	0.874398395	0.2249085	null		MF
GO:0097157	pre-mRNA intronic binding	-1.893329948	2.84260924	0.00189335	0.833817654	0.02836106	null		MF
