sample,ME_skyblue,ME_yellowgreen,ME_darkorange,ME_sienna3,ME_orange,ME_steelblue,ME_darkolivegreen,ME_darkturquoise,ME_lightgreen,ME_darkgrey,ME_grey60,ME_green,ME_red,ME_turquoise,ME_greenyellow,ME_lightcyan,ME_royalblue,ME_darkgreen,ME_black,ME_lightyellow,ME_salmon,ME_cyan,ME_blue,ME_brown,ME_pink,ME_yellow,ME_magenta,ME_midnightblue,ME_purple,ME_tan,ME_paleturquoise,ME_darkmagenta,ME_darkred,ME_saddlebrown,ME_white
H172Fg01,-0.011581979631898446,-0.007045014972218893,-0.02527384134997662,-0.029220292650245887,-0.02667854097991134,-0.006742867277369373,-0.02026429079541242,-0.027662589315674762,-0.006977314390798218,-0.022821231212221824,-0.008366270857818147,-0.032571124806681735,-0.012906725260879773,-0.006976517804412426,-0.01000141153248907,-0.013582745450121498,-0.016264114696565773,-0.010295608792297883,-0.0084795899169207,-0.010024989192318408,0.004180537812291036,-0.005017212270752879,0.003328727904753306,0.006894314114702498,-0.0038566579442225442,0.0024349978147436306,-0.011518802781423901,-0.026984582490920946,0.9824427593861336,-0.005497825709183493,-0.027101147228266818,-0.022711444174148013,-0.02465493807302232,-0.0202094156254509,-0.022575280274055743
H172Fg02,-0.041272910812545804,-0.035759175058589214,-0.03864765481302723,-0.030155712115452316,-0.038495559797671164,0.983716610195004,-0.03755382576863975,-0.040634591845726153,-0.04301939869886273,-0.0485233651835133,-0.03955572315314404,-0.060180052324746325,-0.06293461184845595,-0.05622623057418652,-0.052001763327655715,-0.03796900121995883,-0.05636651085741362,-0.04723639124271384,-0.052031993061701476,-0.047434701211134134,-0.03723010271466509,-0.04433803829121408,-0.044565919391525655,-0.051135611326866726,-0.04785002725938048,-0.052508157104868725,-0.04965214818603314,-0.05200216913478961,-0.03352620998139566,-0.024457614486708024,-0.026489754455360837,-0.029206537633870155,-0.03507638013508951,-0.031514055326306356,-0.03671487124707051
H172Fg07,-0.008799741826140295,-0.030781285318827626,-0.024384678589020325,-0.0283189455716025,-0.031653560348615634,-0.031214001892222787,-0.03659258505520574,-0.02358309853062851,-0.029940141564179568,-0.030860458107608457,-0.030004456599853957,-0.019287152221588333,-0.0406097984655715,-0.032779580204850056,-0.020801066556834558,-0.02686794499134243,-0.02944413916480343,-0.025789741030663338,-0.019081203335145958,-0.02254302998011215,-0.033644838926912723,-0.01838418556609389,-0.009105972191033374,-0.022412042878761307,0.0021891007648866534,0.014805052599103807,-0.002247144374620924,3.1828876004982853e-4,0.002795746031710894,0.980690239014973,-0.022294635166871163,-0.03185250679137974,-0.026765794711467505,-0.017019624238716724,-0.005192668927759048
H172Fg09,-8.508420021646391e-4,-0.023396054948401936,-0.021072240750770157,-0.003235708730321367,0.00249117659500467,-0.01442446466065277,-0.039080477584487815,-0.026729960747576494,-0.018735613416311827,-0.011067912485871531,-0.008568081316530638,0.007818207765887632,-0.006510733640093094,-0.00864547440379018,-0.013169665041434383,-0.014689681583422314,0.002733428564814628,0.028550343425788438,0.013350506028013001,0.016067093378308635,-0.00451194323059417,0.0037757367098887043,0.04067937555215836,0.004054980753799061,0.06405751172566579,0.9710133304744399,0.04385738352336926,0.04141261617179777,0.0024966975646227418,0.010647054232557693,-0.006373035106598448,-0.03525134245651609,-0.028563355635272947,-0.010088614541521362,-0.010134567417519632
H172Fg14,-0.021686055271471667,-0.04883310430476467,-0.019052202095885835,-0.03811802044504745,-0.02984820577446742,-0.01896243561550673,-0.026974213771270003,-0.02936064605132594,-0.02301687078318633,-0.03198943497928571,-0.032110628295470345,-0.0398765532611489,-0.0344256807703192,-0.03484918365662434,-0.030388606456788682,-0.04267533508191904,-0.028869137613174636,0.00486824891160302,-0.027985818999526794,-0.0100252116003225,-0.016432658909877215,-0.012905736820001965,-0.016909014765878895,-0.019397912898628803,-0.012647057552518019,0.009986576181250649,0.031951564386202516,0.9731347706974812,-0.030037247196657648,-0.006833153348533913,-0.04555843679377195,-0.03524369838959635,-0.029703305275693873,-0.03350475240137297,-0.029204053750818807
H172Fg24,-0.0178634435120809,-0.049333770905388735,-0.03121263074154866,-0.003007998772887475,-0.027517352998962807,-0.017028598338079383,-0.04868449790537035,-0.04308780028256471,-0.040877519936724865,-0.02651189017963638,-0.03240263238660255,-0.04630802787861694,-0.04723795067932711,-0.04155863547264951,-0.04296253031853776,-0.042329507786749265,-0.051726351072912374,-0.017121076587479273,0.9723441593081232,-0.02977124142648828,-0.04075583724897506,-0.03251960246329548,-0.042283626710991264,-0.03841322871478234,-0.028412819668273446,-0.036950013932267815,-0.03947336792591336,-0.03307146176463411,-0.036631974783168146,-0.036937037064541864,-0.03594643576422961,-0.03753782508231034,-0.02301920897856446,-0.04344446798720606,-0.026300795467739887
H172Fg25,-0.013936386868731724,-0.01766167582091954,-0.014593767386964648,-0.02778304656482492,-0.0225858396975013,-0.01333166184732765,-0.011452732188524585,-0.02844235984458118,-0.02842071820960198,-0.025025195034567595,-0.032274053762142235,-0.014399109000162016,-0.029328708090715135,-0.019179910844052597,-0.0181468836440203,-0.032370737471132546,-0.018272499304124626,0.05221808602377619,0.017160781807416713,-0.02047574045142911,-0.01750615539673043,0.028744559773005,-0.004025171098523037,0.007703182259458657,0.9721957114589785,0.042317709343984655,0.010574402464207145,0.0048259207704110674,-0.008319294198221815,0.002364378174213741,-0.02785943315512471,-0.03233713230846586,-0.019303745506556273,-0.036645959550635904,-0.012155790238294032
H172Fg28,-0.01064308588934985,0.037637536906740966,-0.017929301330409306,-0.021840974244469423,-0.003875117659432067,-0.010432748808066244,-0.012796925846149424,-0.00969480340234636,0.0015887166612223126,-0.019607012552466767,-0.026616829664938977,-0.013496805737109353,-0.003642724725282801,0.0028623530263925316,-0.013356288526491835,0.006581519419470556,-0.018261560866208077,0.023331256199432254,0.044429662608545396,0.011491892462543833,0.001190538734205343,6.883354672558306e-5,0.973538506507017,0.060654881665080776,0.012121411598071166,0.028714701826901938,0.020764766140877876,0.021352281307950745,-0.00644258290186906,0.008012528819386276,-0.022146739971158104,-0.009832957266851823,-0.024281643751606213,-0.017570846420511023,-0.01793638831914315
H172Fg29,-0.045706147093811635,-0.049333770905388735,-0.04236367032545445,-0.034203906667316306,-0.04514436187117071,-0.03392778339066964,-0.03148354547941301,-0.01993917421958826,-0.03708997946947592,-0.04243106763191072,-0.05473653610516506,-0.044642719512181274,-0.05271587883972045,-0.045066618053338225,-0.0403253360059167,-0.04350973092409059,-0.04940454424084457,-0.04327034706812523,-0.03900081849193807,-0.03821407720201259,-0.03398793866073955,-0.04571158584925656,-0.04324378392858333,-0.04588972247368125,-0.035969281969560424,-0.03818623833390523,-0.043071022816073945,-0.0392374480646621,-0.02898186395068892,-0.039418020159788805,-0.023833771009321162,-0.026539691961190347,-0.04410533178392577,-0.022838520134339863,0.9842755804068485
H172Fg30,-0.006054987911000142,-0.025450945388257637,-0.026768016709457755,-0.03142261040409563,-0.02693322224514106,-0.019619271590705232,-0.023686996629432983,-0.02215568015652816,-0.012754116698229326,-0.03365570000612098,-0.03783134557108755,-0.024749340646221845,-0.01968244961588987,-0.02150092397865865,-0.016630249469426886,-0.03780813882454521,-0.006061064036913497,0.01715533213873367,-0.008492554823978643,-0.0031531461384907027,0.9793205519028928,-0.005038168704313687,0.012092062102424432,0.012976994203558356,-0.0011448439248489802,0.010403797820827128,-0.004240691884727592,-0.01611558077147462,-0.00871859272987882,-0.003826489952207484,-0.02306115022784624,-0.022039011390626813,-0.02401095970790722,-0.030848187426198687,-0.01650144045580144
