sample,ME_cyan,ME_lightyellow,ME_midnightblue,ME_darkred,ME_greenyellow,ME_pink,ME_magenta,ME_blue,ME_royalblue,ME_black,ME_orange,ME_darkturquoise,ME_darkgrey,ME_lightcyan,ME_red,ME_green,ME_steelblue,ME_darkgreen,ME_lightgreen,ME_yellow,ME_salmon,ME_turquoise,ME_darkorange,ME_brown,ME_skyblue,ME_grey60,ME_tan,ME_violet,ME_paleturquoise,ME_saddlebrown
S192Fg02,-0.082431676906743,-0.07230376482944806,-0.07572030827453277,-0.06169087343823696,-0.07321776919770955,-0.08776062194955984,-0.0871014771787437,-0.11625114855354554,-0.1409115548069014,-0.10037940966030964,-0.12227997045317189,-0.10300230467149057,-0.10203313348828409,-0.12612030537230423,-0.09500190894677756,-0.0724352124722653,-0.10730596481875791,-0.129031957579463,-0.1297819315121665,-0.09653687403276877,-0.1255647369462664,-0.1029700230843084,-0.12237875765898784,-0.09112921132546535,-0.12051061624388935,-0.07273749474323331,-0.07878158917707401,-0.06474288125698718,-0.07237563364714211,0.9719843544030534
S192Fg03,-0.0560927441295231,-0.04980104671405728,-0.05946938934193113,-0.058058691082714636,-0.0461126317390421,-0.049813653572732784,-0.042311877845012544,-0.025842165463291888,-0.07633416524654539,-0.003074496098765738,-0.06414811235522398,-0.055574771866315716,-0.08192843201534558,-0.04660398984437563,-0.04532153302856463,0.9568739685522397,0.664856860051723,0.004993947495736358,-0.008157057078255144,-0.03500255933622814,-0.06312642423152548,-0.01914154791842743,-0.06008870258817871,-0.037263865215371526,-0.06202930709051432,-0.05076464995222136,-0.04454153328274086,-0.06474288125698696,-0.07000711676721592,-0.03145413709757995
S192Fg04,-0.08100979483557114,-0.08530394786829568,-0.08393048152158585,-0.0719411690080871,-0.07914367289319883,-0.0955413734367429,-0.09582740997000744,-0.13754685738698152,-0.13925081474397016,-0.11635477895090433,-0.13915620503730425,-0.12107615289826694,-0.1191051350124807,-0.12964444991901952,-0.10465608551848377,-0.11800585207658648,-0.13642808081337807,-0.14742154735552604,-0.13759823136181842,-0.1079251098933209,-0.11838754756885268,-0.10721375783899989,-0.12849339924203537,-0.09889004522166914,-0.1221058844119145,-0.07231323622948867,-0.08133138962759268,0.97220425202333,-0.05845740860070058,-0.06714936116543593
S192Fg05,-0.0346672275784082,-0.01704042069075958,-0.031200969824762673,-0.04482722210878651,-0.036640574110561853,-0.021144748370969517,-0.021876837607740687,0.10836072241861598,-0.04113198083747326,-0.013636304780408713,-0.02279988356716087,-0.07317363604543038,-0.024413563904113502,0.6439826102217684,-0.014225861244386163,-0.026223281286827223,-0.08000392755064904,-0.03176523097377345,0.6531513295831035,0.013519460661129754,0.669038907468265,0.9623229455889841,-0.057858129345818764,-0.006887403629371707,-0.030459563026455,-0.039847439706362696,-0.020337152786145594,-0.059754248475886694,-0.04765071674095826,-0.04136637024801574
S192Fg06,-0.06681548300493227,-0.0862222473358959,-0.07197756031696975,-0.060698748351739294,-0.059954645790429036,-0.06762447610508222,-0.05710174896475607,-0.06364341182893263,-0.080322071505285,-0.08368233526879634,-0.10642944116412882,-0.09967024882082123,-0.09653614707097413,-0.08473259386117979,-0.060233838599159595,-0.07739047040171086,-0.12237497430654098,-0.1128208666760176,-0.08703280478813841,-0.07801134338263407,-0.10310389185370843,-0.061947178787478116,-0.0864968167616556,-0.06350441688745694,-0.06129682764959841,-0.06772792267708318,0.9705513567029577,-0.06474288125698716,-0.07313277966760368,-0.06142410195742878
S192Fg07,-0.06434531839262118,-0.05390236838950558,-0.057541302306419205,-0.023375343181730554,-0.037344462665273095,0.9682083664304544,-0.047967568388891074,-0.04434068494878692,-0.06639614668640263,-0.03249622651908817,-0.027340600352104633,-0.05139301351537754,-0.07359920736351513,-0.03456595443900025,-0.04444602240060722,-0.03977181787735217,-0.05040085268104008,-0.03240876714361611,-0.02613012218797018,-0.033592413476750044,-0.047301832805875084,-0.026013292344308516,-0.07017653562687894,-0.039509675556734,-0.05964381847339689,-0.06290079127705428,-0.05524829757638903,-0.056615953506350694,-0.0591876574812773,-0.0714703392219941
S192Fg08,-0.06221711027873046,-0.06908112272467198,-0.07681113153524409,-0.06851432083639537,0.9714855719471711,0.005316348754100121,-0.046289192820748636,-0.07100595724488391,-0.09556536990386957,-0.0710137877001087,-0.08798907360280832,-0.09059130858972342,-0.094442647611582,-0.08026054776756225,-0.06234660686471873,-0.05560093228970475,-0.07128076333131084,-0.0971766481010188,-0.10157951585017701,-0.06893248117789905,-0.050812988022764016,-0.05580035784008254,-0.09608713363041158,-0.0441101539587949,-0.05181975523646745,-0.06510456975211533,-0.058086692057248646,-0.06474288125698716,-0.04771053120783946,-0.06714936116543593
S192Fg10,-0.04701013875838603,-0.048750545151271064,-0.05454159986248944,-0.06170151952328123,-0.0619340687166742,-0.05769606194301702,0.9688147817014379,-0.03623217937256566,-0.07332750025784623,-0.06915500090090951,-0.09569389497146732,-0.07775708432024517,-0.06187895163305687,-0.0805020219774671,-0.044261796291071534,-0.07251060546242977,-0.11549843430746225,-0.08790857336429485,-0.06665237390193453,-0.07762216303919126,-0.0768951153187342,-0.049688831556648626,-0.08429135850445423,-0.05892034445248866,-0.051566027688076575,-0.052840554234090065,-0.07053997962135666,-0.028791926018405318,-0.07278371169618009,-0.06613578299910931
S192Fg18,-0.02532603956088256,-0.028812050594957485,-0.03548794919264635,-0.049109522206077644,-0.05439246430466613,-0.03524154267784453,-0.04127751888110741,0.018832957544299797,0.6700284783500274,0.0018790402277581019,0.6613033892509584,0.669208410009305,0.668782046356267,0.6768916602920533,0.9670542506223004,0.0032977009306055733,-0.04336546310897781,0.0020789249853142263,0.01003375335693154,0.0025638698409719755,-0.0770329164547253,-0.0021126548890536222,-0.06422386670068124,-0.03230720499830641,-0.05741372279188357,-0.03662721869928948,-0.03937085818184905,-0.04869579940585402,-0.01023667228929618,-0.05848785259333151
S192Fg20,-0.0331372443236549,-0.031502483114723465,-0.0236254533973417,-0.03854169056432006,-0.02841753235044324,-0.0378586272276072,-0.004053270632488119,0.9426210339901119,0.6507415001630379,0.02544055155190558,0.026616487807327414,-0.06666517499590405,-0.06574060479164232,-0.023316114369155417,-0.010436281427191232,0.05558706617509394,0.019238201413753757,0.6397675955950263,-0.029221594447624198,0.0032723071379917967,-0.07208831147750228,-0.001049794185621691,-0.0371866818679808,-0.02547277017593981,0.6632212503525171,-0.03272303374458888,-0.014000162276885686,-0.059754248475886694,-0.05149107903755128,-0.03588299755325094
S192Fg23,-0.04351542760143231,-0.031178330238868658,0.9702263302322408,-0.07677155709161652,-0.041045641161767336,-0.05538496764690719,-0.06054683098138754,-0.07774769384970752,-0.05532663576730763,-0.05828452435557544,-0.08871870860201804,-0.07575887727622835,-0.09708824495545915,-0.08071086934750281,-0.04494655601703551,-0.0640447526874708,-0.10354830932695726,-0.13307793097345066,-0.11074550912717335,-0.08795261918403537,-0.09160563560493568,-0.06510771995827334,-0.07625412437598912,-0.061884349269113195,-0.10541176056882956,-0.05773147029323904,-0.054066784401773295,-0.059754248475886694,-0.04795564528666035,-0.048335201406534536
S192Fg27,-0.06493783702305456,-0.08070977259540985,-0.08588062362587834,0.9710192551657868,-0.0658624407355689,-0.06690067472486183,-0.07539015891255581,-0.10129662208188536,-0.07229113893120061,-0.07153648865609558,-0.0757536196392915,-0.0982194213359618,-0.03487678121260789,-0.10993691234139175,-0.07627990117413472,-0.08288196004846132,-0.11865711952367171,-0.11286025769427409,-0.09050163049883987,-0.05504278294546025,-0.060185686279105644,-0.08112574447069654,-0.031065838843690564,-0.057935423266596786,-0.10288460861094627,-0.05843354798274198,-0.0538044311193506,-0.059754248475886694,-0.05050587332217511,-0.06401008507690754
S192Fg28,-0.05284171289647003,-0.06622225614038445,-0.044181066132852775,-0.027784071143527572,-0.04154385497763208,-0.04902069893624956,-0.040638972741617596,-0.01472529403216891,-0.06232200282073072,-0.02163531713788441,-0.0016414251555986192,-0.02803821734541305,0.6566425557346751,-0.04313324677709492,-0.021462710141727702,-0.023497045392664367,0.6373320170609666,0.6553092954535773,0.6609942886330872,0.9593881280537867,-0.004364588643358927,-0.008553429500131358,0.6676360215132636,-0.02776477009555825,-0.09238516330695046,-0.026729508348900515,-0.05606663736258126,-0.04369949679867407,-0.05817220122061577,-0.05000263610548917
S192Fg29,-0.06509234840398895,-0.0730479789971411,-0.054790856961227846,-0.07879135376620175,-0.0769628262943807,-0.09207641843814379,-0.08742295006965461,-0.11030966048606602,-0.1257511131044713,-0.10151859023234845,-0.1319677162275308,-0.10773914180232724,-0.11323760699198382,-0.12071854736060555,-0.08934890511184776,-0.09483015395889921,-0.11845242763752252,-0.1211734052369433,-0.13542435437219627,-0.09894755603127736,-0.12008098600481432,-0.10614669950326008,-0.13305821282944658,-0.09184495922489086,-0.10282146444271147,-0.06938402835509803,-0.07604671042867339,-0.06474288125698716,0.9715342148340603,-0.03455151372696917
S192Fg36,-0.06012953772590175,-0.07430867694478223,-0.044552932814775424,-0.06480469298926565,-0.058339013088338734,-0.05076072190367128,-0.06914734755971755,-0.09348040548461431,-0.08620556437252248,-0.07763802743266676,-0.11743472164043041,-0.09302823453406892,-0.07477827083607241,-0.10718600816130042,-0.06542378469205279,-0.09291203325633401,-0.0893548988875244,-0.05707910969455475,-0.10908165732009448,-0.05408799447912419,-0.08903696107833298,-0.0782904387917261,-0.08794889952949508,-0.07671575420866876,-0.09712935587805016,0.9714755778780911,-0.04582305954338275,-0.053676762360874986,-0.056879196516109114,-0.06566995450997627
