sample,ME_coral2,ME_darkturquoise,ME_antiquewhite2,ME_antiquewhite4,ME_skyblue2,ME_lavenderblush3,ME_skyblue4,ME_darkolivegreen,ME_yellow3,ME_lightcyan1,ME_blue,ME_blue2,ME_plum,ME_brown,ME_darkgreen,ME_lightpink4,ME_coral1,ME_thistle,ME_darkseagreen4,ME_darkmagenta,ME_indianred4,ME_pink4,ME_yellow4,ME_darkseagreen3,ME_lightsteelblue,ME_mediumpurple4,ME_darkviolet,ME_lightpink3,ME_skyblue1,ME_brown2,ME_darkorange2,ME_mediumpurple3,ME_darkgrey,ME_darkred,ME_white,ME_lavenderblush2,ME_yellowgreen,ME_mediumorchid,ME_maroon,ME_orange,ME_lightyellow,ME_violet,ME_navajowhite1,ME_orangered3,ME_firebrick4,ME_plum2,ME_palevioletred2,ME_thistle2,ME_lightcoral,ME_royalblue,ME_plum3,ME_skyblue,ME_darkolivegreen4,ME_honeydew1,ME_palevioletred3,ME_sienna4,ME_mediumpurple2,ME_tan,ME_coral3,ME_cyan,ME_darkorange,ME_skyblue3,ME_brown4,ME_darkslateblue,ME_ivory,ME_thistle3,ME_coral,ME_turquoise,ME_salmon2,ME_navajowhite2,ME_purple,ME_greenyellow,ME_red,ME_salmon4,ME_green,ME_salmon,ME_midnightblue,ME_orangered4,ME_floralwhite,ME_black,ME_magenta,ME_sienna3,ME_lightcyan,ME_paleturquoise,ME_steelblue,ME_lightgreen,ME_bisque4,ME_saddlebrown,ME_plum1,ME_lightsteelblue1,ME_pink,ME_honeydew,ME_magenta4,ME_thistle1,ME_grey
H171Fg01,-0.004948717268319997,-0.009849978371117177,-0.006090281926294229,0.0038758629450112315,-0.010619787002793226,-0.00521621838067154,-0.010420420496168342,0.0013224024997801499,-0.010783189620049892,-0.007917586836494966,-0.00525887671819996,-0.003389178270109591,-0.0074391932626465184,-0.006326652867640977,-0.01236791180051512,-0.008366178347321958,0.005732712017410995,-0.008689711116126065,0.0032329993040082342,-0.00877895334352011,-0.0067341441308866636,-0.01102049505971838,-0.006706915190787592,0.023594804117178753,-0.007976363335800518,0.006326210646505144,-0.005535305265517684,-0.006805716308049397,-0.005881258814201962,-0.008624710749685372,-0.009509102624786643,-0.010795526718377529,-0.007533923414881367,0.0015620614397807988,-0.011599391123022013,0.0243569303157603,-8.341755913149333e-4,0.006000022947341208,-4.739402743272178e-4,-0.007487328939767406,-5.883891706026442e-4,-0.00898092393844482,-0.005875226581709725,-0.007106910462691514,-0.005046323753272156,-0.007264716586742653,-0.005284379485604404,-0.010493628964336652,0.010202254306962496,-0.010654607945856782,-0.006432477248804601,-3.174608250997601e-4,-0.002272031983071787,-0.006985994390755399,-0.0035600255819862856,-0.010557540919025155,-0.009973927228457984,0.0028193539251063493,-0.007785672724122135,-0.002474813168852119,-0.004063005146076141,-0.010370252607920705,-0.0022387989383734304,-0.011085955851767648,-0.009409474972489097,-0.003917202323116775,-0.0018547891141626354,-0.007521704881940158,-0.010599881117386419,-0.007626111075882306,-0.004538300192551414,0.008129553251834398,0.010006445652890087,-0.00895964587409923,-0.005639411345189173,0.00138350568035972,-0.003737717738440227,0.0018571820947824026,0.008039018151884165,0.006473273233655889,-0.008269780570844265,-0.005647367031552297,-0.013224849674935864,-0.010971154004698645,-0.001852617713614105,-0.0033128995296282603,-0.009226884313448654,-0.009028777264191193,0.009918082844091396,-0.006897505724004772,-0.007380710681705094,0.01655518403716697,-0.009782217775650703,-0.0016014075185660122,-0.00345090657275254
H171Fg02,-0.010139271879177828,-0.005320862960327265,-0.007995291874884479,-1.574112067142099e-4,-0.012147055056014005,-0.012409472657712282,-0.01222738100423766,-0.010037824120604019,-0.01078318962005841,-0.008522457135579243,-0.011793207945743234,-0.005978369626979376,-0.0074391932626556075,-0.009048112921561602,-0.016414645748773382,-0.00661539604454191,-0.011945068318530904,-0.009667629575471088,-0.0070039803369363095,-0.010162743212325723,-0.009369068351504065,-0.011020495059718792,-0.0046558103749357186,0.0041424874349878195,-0.007976363335801354,-0.006732075584755853,-0.007241063378708248,-0.006805716308050084,-0.005881258814204116,-0.00862471074969746,-0.009509102624789961,-0.012884110806534604,-0.011828269580119176,-0.011047680399731682,-0.009657235929878567,-0.011994023267476664,-0.011834200685732104,0.007734783710175815,0.013796603048252084,-0.007897694879859125,-0.004737905497476629,-0.007520194803950674,-0.01138796927601335,-0.002015330493570045,-0.011503749515775636,-0.011323172213884108,-0.0067186068535691375,-0.011310372085411026,-0.012434638096619504,-0.010196003078489902,-0.01164235181782328,-0.009806578089206987,-0.00870505290416045,-0.006469247222151261,-0.012687058259449428,-0.010557540919040207,-0.008401817422737804,-0.007941611825403733,-0.007812388591413709,-0.013482448853229023,-0.007360897470898557,-0.012027693296654441,-0.004763071479322955,-0.012229422692213157,-0.013375787185494127,-0.008312283518413894,-0.007552743183811919,-0.012529143411526555,-0.009656566256326491,-0.010779945807425872,-0.013178470636749123,-0.00864205466696133,-0.011623240227478293,-0.008393691551164902,-0.009862230777027192,-0.009910128532266582,-0.011601408795201107,-0.013273461013515633,-0.004223030600331637,-0.012141086655431232,-0.009916757850756797,-0.013148759925855805,-0.014180743442420301,-7.93288443602828e-4,-0.004940631900662859,-0.009745276792663703,-0.010257657869325544,-0.013965921280042764,-0.010489848369684151,-0.011271687616503606,-0.00879870855523307,-0.012173093408105662,-0.009782217775650814,-0.003965553880520279,-0.0034509065727531796
H171Fg07,-0.006086191400133712,-0.008898813187224793,-0.0045395799773283035,-0.00986918014646468,-0.006283017181694203,-0.009594629389196826,-0.007520627991736832,0.005336515361601076,-0.00881970658943878,-0.009878323221183167,-0.0016856237775760285,-0.009445126881576752,-0.007439193262655603,-0.007441188855943359,-0.012193494239011615,0.01754614286938639,-0.001324505405093182,-0.004314111930185701,-0.010813279624723802,-0.010245280028520433,0.019003968657988955,-0.011020495059719053,-0.010311803627049114,-0.008171444556153958,2.5843286363771613e-5,-0.007182637614747772,-0.0015068095310459744,-0.006805716308049688,-0.005881258814204089,-0.00862471074969743,0.0011190656633707843,-0.0027076034373335516,-0.008358797470118738,8.40823059694498e-4,-0.011599391123024133,-0.011994023267476452,-0.0063476659200343375,-0.002226770202002087,-0.009910403964273801,-0.007512223180006558,-0.005429131522100947,-0.006192132469308151,-0.004325094470665927,-0.006393630188190168,-0.002975629659617287,-0.005471165799711423,3.65078297817136e-4,-0.008085579398466682,0.006024695559330598,-0.01057149271742823,-0.005076125354504923,-0.006256474163163721,-0.007981861133482008,0.008621027734144665,-0.010044056186642631,0.0016966370452204727,0.014094428230430325,-0.007919480613102346,-0.007812388591413653,-0.009678290579218582,8.578549156433269e-4,0.004066159836879119,0.0035797295623977822,-0.0062612693191713914,-0.011933275451895885,-0.00874857463223391,0.007495657115418017,-0.0045414470287667985,-0.010658067652159967,-0.009579962116741463,-0.006382805590139629,-0.0075053090684468055,-0.002127771883744578,-0.008903522004129506,-0.004189373048065881,0.0015069796457041424,0.11525174261649775,0.04263432859075464,0.003842090617921602,0.002837366139905928,0.008277802450511244,-0.002321869924331871,-0.011911449656515036,-0.003737394989895945,-0.006365726075822367,-0.011201170728226448,-0.012727627766672222,-0.005956640082360127,6.133393271401399e-5,0.0065476401628465734,-0.007518609556214036,-0.012173093408113223,-0.009782217775651279,0.004881294613048471,-0.0034509065727454263
H171Fg08,-0.009797919863072477,-0.012208565407735886,-0.007160818371108766,-0.0098382427257605,-0.011690881075613776,-0.013068729885546424,-0.012971869475450301,-0.010410146575185733,-0.010783189620058416,-0.010118252460379031,-0.012270047083150753,-0.009445126881576666,-0.007439193262655635,-0.011253021734121009,-0.01662011432180074,-0.009885836511887222,-0.011954429546300651,-0.009763073256586487,-0.011053655759908292,-0.011422084879367946,-0.009351374286961363,-0.011020495059718758,-0.011138629188887854,-0.008171444556153982,-0.00797636333580117,-0.007182637614747745,-0.01089482862406087,-0.006805716308048083,-0.005881258814204118,-0.008624710749697456,-0.009509102624789984,-0.010856382437210434,-0.011466227078172037,-0.007617909535670977,-0.009648804141400402,-0.011994023267476337,-0.01183420068573238,0.004580319920136114,-0.009910403964273748,-0.010959928464665378,-0.008094953296886361,0.0023283777701563545,-0.011387969276013815,-0.007106910462691753,-0.011503749515775648,-0.011816039459145809,-0.006718606853569102,-0.010934866990634657,-0.01108524943592852,-0.01006457393465875,-0.01164235181782326,-0.011332905266481938,-0.008718894917094898,-0.01015069078708539,-0.008069078467372188,-0.010557540919040329,-0.00875837419395229,-0.013117752365152942,-0.007812388591410728,-0.011499649189558599,-0.011241957114311191,-0.01495502133880911,-0.011201937663137197,-0.013385692585021494,-0.013817507735204387,-0.008748574632233892,-0.007552743183811561,-0.014171108817227045,-0.012208810537745652,-0.00385764803869201,-0.013584302093146752,-0.00924660518388548,-0.014061650197447026,-0.01336022400088254,-0.011926671307345989,-0.013008456569079674,-0.006691594220950718,-0.013015319118013744,-0.0103481396044577,-0.013304025237763304,-0.010989023179478058,-0.014556937004926431,-0.014361273588280595,-0.011078124745549858,-0.00889550060495044,-0.010941231267602528,-0.012148714710486862,-0.014650977598733784,-0.008737363491218043,-0.011271687616512031,-0.01418139383474859,-0.012173093408113626,-0.009782217775650855,-0.0019944375198149016,-0.0034509065727531354
H171Fg09,-0.0077223697972984735,-0.010521647009247239,-0.006732162950186618,-0.0029656513288857226,-0.009847848929286324,4.4926789951634725e-4,0.005754428458695844,-7.863957280867265e-4,-0.004249930698361671,-0.0034345798970638027,-0.012391075713410088,-0.00885994383260271,-0.007439193262655586,-0.009893734159203048,-0.014992591426191896,-0.005295454409382727,-0.008763391625831408,-0.006573452142665331,-0.003269283491924629,-0.010817920436584416,-0.008828494524141932,-0.0012400321263414682,-0.0012337276373723428,-0.008171444556153902,-0.007976363335801248,-0.007182637614747746,-0.010894828624061067,-0.006805716308049673,-0.00540350497781997,-0.008624710749697569,-0.005829974612981706,-0.011734721013539992,-0.012264314164076121,-0.01029405000202405,-0.009965828318912538,-0.005475894770588017,-0.009473796190756844,-0.011915839582548058,-8.518189947786059e-4,-0.002849174313894815,-0.010700057938818898,-0.008783090393853978,-0.011387969276028038,-0.0071069104626917115,-0.009100356614828099,-0.0029575772799226227,-0.006718606853580232,0.0022334950357520826,-0.007882001405773914,-0.010137929650691883,-0.010429567444473825,-0.010695905319463546,-0.010805737817120093,-0.005295161874224714,-0.00401793830455869,-0.010212847158745597,-0.011699090587067059,-0.007860166426222007,-0.007812388591413557,-0.00462819616275826,-0.011097862002475244,-0.011117661909130945,-0.009002339484697981,-0.013186611076660597,-0.012685333260712302,-0.00874857463223394,-0.007552743183811861,-0.011238228326049107,-0.007063823971151696,-0.010674850838495254,-0.012097760202865697,-0.008307685310341175,-0.012470076751983708,0.006673979789915171,-0.0012434634680645353,0.0026817019659611187,-0.012502627908923007,-0.007866324069443683,-0.007087064684755832,-0.006034036673356807,-0.009791049471102656,-0.014539473310870611,-0.012859964625558482,-0.009598182434565491,-0.008895500604950405,-0.011600647420552076,-0.004961085383196098,-0.01460696267016849,-0.0035936891579284634,-0.008792253762227566,-0.012385039644265919,-0.01217309340811326,-0.009782217775650874,-0.00803639088246122,-0.0034509065727531614
H171Fg14,-0.0010878855769324782,8.787169171729141e-4,-0.0013860251816795019,-0.004032742692710443,-0.011552206156642264,-0.005895671014702079,-0.012971869475450334,6.818441436558706e-4,-0.010080499995913367,5.861729948241514e-4,-0.0016023068412045047,-0.004692657744285988,-0.007439193262655616,-0.0012891357998597098,-0.010268415457783234,-0.00988583651188728,-4.4602826048202105e-4,-0.0024889060203202302,-0.0013431969568358183,-0.0017553919440832148,0.00998276250559834,-0.0018426994159272997,0.0035921304842731747,-0.005738882958127201,0.0034459975154520635,-0.007157498266648833,-0.010894828624061033,-0.006805716308049695,-0.005881258814204103,0.010377055536419367,-0.00950910262479002,-3.561434079658254e-5,-5.1814307612744e-4,0.0020434065229979763,0.016339017647885715,-0.011119783708794916,-0.0014738411386706273,0.010724826758954972,-0.005579434022001594,-0.002992649413670078,-0.004572121266327004,0.0013026198475956522,-0.011387969276013698,-0.005113986040693793,-0.009344340215599139,0.004028461564142927,-0.005192338854328572,0.0013443677853406306,-0.00510923626138687,-0.007270481431849969,-0.006915421812375606,-0.005330728681997278,0.020207477081187218,0.0014097326614334197,0.014032443141853684,0.01509432669681162,-0.0022961388030884717,-0.0037860588733512764,2.6657375280618705e-4,6.803260384260065e-4,-0.0063968108313099915,-0.0034241095310826183,-0.01120193766313697,0.006614370905838602,0.007170940422271692,-0.008748574632233741,-0.007552743183811782,0.002542017241761109,6.916028873713454e-4,7.641404967181785e-4,0.004599521217032735,-0.003500232743630437,-0.0013598542319649876,-0.006672112128734102,0.0024876312609047164,-4.8310335845037813e-4,-0.004930019374974601,0.003759572951935609,0.0016296995059554976,0.0018887702297025113,0.003970846449927628,-0.010638011203328811,0.015422438079028059,-0.00812458875781083,-0.007111768354934172,0.002122076118885854,-0.008788613427960126,-0.006837798006826831,-0.0012519257475932877,-0.005732457512881604,-0.004519077950022262,0.01351719992803218,0.008573340760208112,0.9849994505322772,-0.0034509065727531753
H171Fg24,-0.004012184098602478,-0.009003946229575415,-0.008416334849783672,-0.00962168078083095,-0.01121463590216559,-0.01007546865395838,-0.010062142839043848,-0.010110943519470563,-0.00997191797636396,-0.007870722988599385,-0.009500845307890693,-0.007049451455172186,-0.007439193262655622,-0.009161282477920916,-0.01534890776765032,-0.00988583651188728,-0.0026591013200235355,-0.00654974031059682,-0.01098497686415059,-0.008168438998328989,0.010542271714454866,-0.011020495059718818,-0.007957280657358068,-0.0060315674517276855,-0.005575701349155945,-0.0071826376147477704,-0.004760220376467311,-0.006805716308049653,-0.0058812588142040986,-0.008624710749697697,-0.009509102624789949,-0.007044526198180718,-0.011903856467767438,-0.011256327571956624,-0.008477399836483284,-0.007713447555872297,-0.011834200685731702,-0.011915839582548379,-0.009910403964273659,-0.008075738332184959,-0.009689319910563243,-0.009430829874990514,-0.011387969276013902,-0.007106910462691739,-0.011503749515775635,-0.009028220085423115,-0.006873346528758771,-0.00919942903601251,0.001927343732524873,-0.0049502559925757635,-2.7628450250197586e-4,0.02238081319147309,-0.00699257984580872,-0.010150690787085819,-0.011216007820412538,-0.008821957023219326,-0.010141218479761358,-0.005001254265957189,-0.007758956856831789,-0.011144148636435876,-0.01124195711431109,-0.014955021338809465,-0.008111613719123511,-0.006136924501651772,-0.009914154299666769,-0.008748574632233691,-0.007552743183811794,-0.011379152761452169,-0.011479631444331973,-0.0066019165089595,-0.009329904925482092,-0.006388800661231749,-0.011103072500240679,-0.011294057347277418,-0.007519904175398761,-0.0094782114620135,-0.007309840479978547,-0.011848266957299087,-0.010348139604454392,-0.011228498161586772,-0.0072833735922656125,-0.010351003234860929,-0.013960315492904113,-0.013266003085579726,-0.00889550060495042,-0.009393857200981877,-0.006354209106669615,-0.012322858048691487,-0.01056340212489236,-0.00775689017860844,-0.012064429815854318,-0.012173093408113204,-0.00576771225668573,-0.007862144618549852,-0.0034509065727531675
H171Fg25,-0.01003154249995838,-0.012144821533621333,-0.00841633484978364,-0.009869180146464596,-0.011994997062547422,-0.01274893712462998,-0.0027660735583259423,-0.010457406138444467,-0.01078318962005827,-0.010118252460379023,-0.012486168496923095,-0.009445126881576742,-0.007439193262655665,-0.010874781357833417,-0.017129578591056138,-0.009885836511887276,-0.011241332483894282,-0.009786892035522438,-0.010153120640204266,-0.008948401719871676,-0.008748209543004702,-0.01102049505971817,-0.011138629188886955,-0.008171444556153902,-0.00797636333580126,-0.007182637614747778,-0.010894828624060927,-0.00680571630804967,-0.005881258814204098,-0.008624710749697421,-0.009509102624790001,-0.011243365707431396,-0.013111698462351138,-0.01054018331134256,-0.011599391123024121,-0.011994023267476183,-0.011834200685731707,-5.085779185402907e-4,-0.001952063099632496,-0.00221467576070056,-0.010876905222833789,-0.003601174544761907,-0.011387969276013873,-0.007106910462691734,-0.01150374951577567,-0.011391599689052262,-0.006718606853569144,-0.009230091675224993,-0.00835056782344856,-0.010341677040320789,-0.011294229329784345,-0.010053677479535915,0.0015460853745521827,-0.010150690787086147,-0.01271636149305538,-0.01055754091904018,-0.012210521879857241,-0.012901297090922359,-0.007812388591413598,-0.012993848619907577,-0.011241957114311075,-0.015018391151718808,-0.011201937663136846,-0.013799975263379272,-0.008312025108124479,-0.004873225088356895,-0.007552743183811798,-0.014430590650130838,-0.011677771333074747,-0.010779945807444971,-0.014422704021532352,-0.012695939810302774,-0.014133220121518042,-0.013360224000882897,-0.01079670706207305,-0.01190234308671572,-0.0091339645251885,-0.013429179890651137,-0.00842498851114877,-0.010522895847573988,-0.006784457163989096,-0.012720179233707227,-0.0129590338029024,-0.01326600308557871,-0.008895500604950425,-0.01209168112883085,-0.009991539707800024,-0.01413743766341462,-0.010563402124892013,-0.01127168761651222,-0.013956171019977615,-0.00780816980424104,-0.00978221777565821,-0.01129547969596954,-0.0034509065727531545
H171Fg28,-0.004600218648344586,-0.0080556401310519,0.001956091202527784,-0.009869180146466087,-0.005410076616141375,0.0018153183059114136,0.008498445420323127,-0.0031121440726413967,-0.010149461283995147,-0.00963544232917795,0.005952501954417162,0.0022619445504738793,3.758831668168421e-6,-2.0598873354770228e-4,-0.010942164559990971,-0.009885836511887264,3.2394765908783823e-4,-0.004698756827832907,0.0014490633165214887,-0.006594997938701219,-4.664979187080254e-4,-0.01102049505971914,-0.005260620465659606,-0.00817144455615931,-0.00797636333580128,-0.006955008409981256,-0.010894828624060838,-0.006805716308049673,-0.0058812588142042165,-0.008624710749697421,-0.009509102624790105,-0.012900362896621519,-0.01308779394587637,-0.011256327571956505,-0.007141060458254758,-0.01199402326747619,-0.006489197142208558,-0.011915839582550687,0.0015297017640449936,-9.177054062935777e-4,-0.010752954267325874,-0.007622305672623813,-0.01138796927601368,-0.0068093456252710525,-0.011503749515775421,-0.006201654448977269,-0.006718606853569156,-0.009665155894311954,0.05218857245044278,-0.001608265766369704,-0.005066102028289093,-0.004467823689622334,-4.7124490797750487e-4,-0.008765272232611284,-0.00821748646571239,-0.010509302199616821,0.006189154952800188,-0.010168849808810948,-0.007812388591413627,0.00862301659255464,-0.009346923126383066,-0.0018023230956961123,8.860251304477317e-4,-0.00967843660575281,-0.011537481591602025,-0.008748574632233911,-0.0075527431838118605,-0.01077763859737228,-0.009404340537098549,-0.010779945807444912,-0.007507362251145122,-0.008165793261650334,-0.00864996572221983,-0.01336022400088264,4.824472468511656e-5,-0.009161168084364853,-0.01019660345449201,-0.010429388829505344,0.001441988713016982,-0.011042222156460979,-0.010650708545828513,-0.011891209323801688,-0.012585712467048179,-0.009959519834875077,-0.008895500604950406,-0.005498812885648435,-0.01224274996797588,-0.006461508071200738,-0.006037347451735051,-0.001951938883056519,-0.010940208966332758,-4.3074488237907307e-4,-0.009782217775650838,0.009920604975873413,-0.0034509065727531684
H171Fg29,-0.010127301948153252,-0.008824023885397091,-0.006405440338200942,-0.009729961753295574,-0.011376958347022015,-0.012334048366810103,-0.010420420496169277,-0.005912749358522108,0.004958374564325423,-0.0029500253540934536,-0.008302524472860154,-0.005264247548669718,-0.0029134578478928275,-0.009936805168150042,-0.013587753111090308,-0.008288962242234918,-0.005205394040301451,-0.0018808880405476814,-0.010405191063617605,-0.006869352815795565,-0.0030395377165835288,-0.005445554936782744,-0.007472592317527657,0.012593396068255366,-0.00797636333580124,-0.007182637614747769,-0.004805260310021307,-0.0068057163080496785,0.014194223792507317,-0.008624710749697647,-0.004947682383873768,-0.009611120892528848,-0.013014406688382345,-0.005714985697301009,-0.0043608483336923225,-0.011994023267476358,-0.006137515569997507,0.0025508798140866998,-0.0058321407400348125,-0.010313684882220116,-0.010876905222834245,-0.009430829874990236,-0.011387969276013592,-0.007106910462691735,-0.01150374951577569,-0.0044367335803043185,-0.006718606853569163,-0.011334141700565103,0.00646264491352159,-0.010441084525005894,0.005658038883847751,-0.0023987766052347838,0.007329536526207477,-0.0037257644198937065,-0.012321323703143188,-0.010538921491470395,0.01107674544894114,0.0034739169804223376,-0.00781238859141363,-0.01152377245730775,-0.010230922592904765,-0.011781617219517673,-0.009270500563374582,-0.011541186948932589,-0.012847252748233057,-0.00874857463223399,0.005562015554167854,-0.01182655493739742,-0.00993937244189278,-0.001473882260138569,-0.011062790679472856,-0.007973366148205282,-0.007047453750694037,-0.007567748828496605,-0.009395288534282158,-0.01151219739858541,0.005953836250054458,-0.011310607347066761,-0.010348139604455063,-0.010273142112201485,-0.00990153398903172,-0.012308008266206982,-0.013336024438231115,-0.011303482318055487,-0.00608150333092048,-0.00999112374091735,-0.012872663969392488,-0.012664384480752388,-0.0057665677513275716,-0.011271687616512385,-0.013783752112918738,-0.006789498447950238,-0.009782217775650916,-0.011036288841611981,-0.003450906572753109
