sample,ME_indianred4,ME_salmon,ME_cyan,ME_darkred,ME_bisque4,ME_palevioletred2,ME_green,ME_skyblue2,ME_palevioletred3,ME_yellow4,ME_darkgreen,ME_honeydew1,ME_navajowhite1,ME_thistle2,ME_coral2,ME_maroon,ME_lightsteelblue,ME_red,ME_paleturquoise,ME_thistle1,ME_black,ME_plum3,ME_mediumpurple3,ME_navajowhite2,ME_magenta4,ME_brown4,ME_blue2,ME_orangered4,ME_darkolivegreen,ME_antiquewhite4,ME_white,ME_pink,ME_lightgreen,ME_ivory,ME_plum1,ME_violet,ME_yellow,ME_darkslateblue,ME_darkorange2,ME_skyblue,ME_darkolivegreen4,ME_thistle,ME_brown,ME_lightcyan,ME_lightpink4,ME_orangered3,ME_brown2,ME_greenyellow,ME_sienna3,ME_lavenderblush3,ME_royalblue,ME_thistle3,ME_mediumorchid,ME_midnightblue,ME_floralwhite,ME_darkviolet,ME_saddlebrown,ME_plum,ME_coral1,ME_magenta,ME_darkgrey,ME_steelblue,ME_darkseagreen4,ME_skyblue3,ME_grey60,ME_salmon4,ME_lightcoral,ME_lightcyan1,ME_darkmagenta,ME_darkturquoise,ME_lightsteelblue1,ME_purple,ME_skyblue1,ME_mediumpurple2,ME_lightyellow,ME_blue,ME_firebrick4,ME_yellowgreen,ME_orange,ME_salmon2,ME_darkorange,ME_plum2,SITE,YEAR,TREE_ID,BAND_NUM,UNIQUE_ID,SP,L,K,doyip,r,theta,a,b,r.squared,ts.sd,alt.a,WD,RGR,GR,Max.growth.day,Max.growth.rate,Size.a,Size.alt.a,Start.g,Stop.g,Median.g,DOY.05,DOY.95,DOY.10,DOY.90,GS_Length,GS.90,GS.80,GROWTH_SIGNAL,Size.mature,DOY.fastGR,WD.class,Site,Year,Season,growth.signal
S193Fg02,-0.204864285,0.152371267,-0.051075997,-0.059160424,-0.233171109,-0.012471542,-0.324757829,-0.154834377,0.033855155,-0.175761704,-0.011046238,-0.104647112,-0.219866824,-0.091891104,0.050116628,0.161295595,0.151557902,-0.108468385,0.010202104,0.430333579,0.143114173,0.034717216,-0.011970143,-0.104101964,0.081591965,1.81E-04,0.498326633,2.33E-04,0.055383359,-0.114532127,-0.064588351,-0.010162554,-0.167569268,0.14697092,-0.00885562,-0.182193488,0.039324452,0.056754399,0.023166142,0.028411122,0.825071656,0.314483685,-0.097005927,-0.059071385,-0.175130373,0.070302775,0.087313657,-0.018931884,-0.053577506,0.112195035,0.106378575,-0.151120563,-0.124873313,-0.084706316,-0.076053826,-0.131472163,0.020420692,-0.169909578,-0.199825571,-0.02139225,-0.081033949,-0.187071499,-0.06447036,-0.039310688,0.023795474,0.097258619,0.056018493,-0.289649823,-0.219020929,-0.125712488,-0.121156786,-0.031546157,-0.107032243,-0.283044368,-0.185809696,-0.118102938,-0.109826641,-0.107047108,-0.209330143,-0.207117531,-0.180493488,-0.163937122,SERC,2019,130632,1,SERC13063212019,FAGR,22.01152331,22.0142066,178.9793554,0.084556561,8.016860531,22.01155292,22.0142066,0.462667728,0.002599021,22.00897333,-0.329189064,1.21E-04,0.002653683,154,5.67E-05,22.01155292,22.00897333,101,Inf,155,122,189,130,180,Inf,67,50,1,0,0,1,SERC,2019,Fall,yes
S193Fg03,-0.099786674,0.325374132,0.027262481,-0.151180096,-0.022254262,-0.008213857,-0.085118794,-0.228117927,-0.371159391,-0.224842757,-0.057404522,-0.116806944,-0.009814567,-0.01609132,0.617521204,0.103512581,0.215547147,-0.012828728,0.270611611,0.469768007,0.901418603,0.631486491,0.172076896,-0.118607029,0.315573401,0.385817167,0.504789647,0.4853708,7.55E-04,-0.270594978,0.006630117,0.094509028,-0.036956856,0.088020367,-0.187601181,-0.075663576,0.063046535,0.11229747,-0.034650956,-0.117469482,0.15512843,0.228321667,-0.114338444,-0.107454679,-0.143710929,-0.118626137,0.311842254,0.025423357,-0.134535884,0.059428199,-0.137845483,-0.191096275,-0.184257687,-0.0619713,0.33486047,-0.04272949,0.350828921,-0.165846347,0.198094249,0.083238667,-0.359619363,-0.097090593,0.177911379,0.002885125,0.119938194,0.081568155,-0.079778003,-0.162952488,-0.113717991,-0.176757097,0.004616997,0.030985229,0.148687816,-0.274911174,-0.12559839,-0.057533789,-0.085513101,-0.201237402,-0.113154522,0.025166337,-0.061828573,-0.395976759,SERC,2019,140981,1,SERC14098112019,FAGR,10.06878841,10.37066562,186.2150343,0.064686043,4.461112499,10.07576232,10.37066562,0.99660658,0.121479629,10.06429586,-0.182458665,0.028848438,0.294903299,163,0.004881337,10.07576232,10.06429586,105,Inf,164,124,209,132,197,Inf,85,65,1,0,0,1,SERC,2019,Fall,yes
S193Fg04,-0.596328532,0.028532685,-0.152601349,-0.125533285,-0.133594093,-0.193489885,-0.180589114,-0.232580274,0.167556053,0.56365056,-0.086197487,-0.097330326,0.406810621,-0.133162104,-0.013799068,0.271347337,0.019436578,0.147606878,-0.23124191,-0.16681894,-0.120948348,-0.093233029,-0.1091094,-0.055417151,0.449364389,-0.042099045,-0.127268804,0.065141904,-0.004763004,-0.019091638,-0.229204356,0.035096235,0.235572722,0.107619419,-5.45E-04,0.090331224,-0.082336194,0.375622968,0.585907221,0.898490778,-0.027294105,-0.077622393,-0.098993189,-0.089365132,0.142915942,0.175945002,0.219536089,0.326580913,0.133585951,-0.186371964,-0.122069526,-0.122477605,-0.001521716,-0.077476595,-0.111887975,-0.105236413,-0.018991556,-0.117748556,-0.169785814,-0.090733891,-0.09249497,0.039302534,0.35829893,0.628468712,-0.039029992,0.055927998,0.00918405,0.183364181,-0.080174639,-0.102067851,-0.187307888,-0.009414701,-0.099768353,0.295419628,0.142083818,-0.019251753,0.031921185,0.345817882,-0.146488302,-0.271436224,0.015803579,0.30093409,SERC,2019,142546,2,SERC14254622019,FAGR,11.65454438,11.90032723,168.4936048,0.056518856,1.031440287,11.66514616,11.90032723,0.993202807,0.096766571,NA,-0.020034527,0.019960463,0.235181067,168,0.003472602,11.66514616,NA,113,Inf,169,127,221,136,208,Inf,94,72,1,0,0,1,SERC,2019,Spring,yes
S193Fg05,0.073297778,0.300928604,-0.05910158,0.014202302,-0.252720277,-0.079553479,0.184072575,-0.094169901,-0.343803563,-0.021552549,-0.136024516,0.161476516,-0.243718445,-0.263876393,0.18488824,0.313622112,0.425194466,0.911527718,0.073035115,-0.048994967,-0.031685518,0.241548542,0.021686274,-0.10185694,0.068163791,-0.024202297,-0.005619434,0.120499044,0.059612747,-0.166792099,0.121934804,-0.101681791,-0.210628226,0.4015828,0.443632158,0.369235729,-0.093894407,-0.026559706,-0.092936866,-0.124282084,-0.047124482,-0.349028182,-0.120310156,-0.028960793,-0.293625535,0.050501635,-0.133572903,0.137183217,0.117960187,-0.059472745,0.046811526,0.347516042,0.232657262,0.013950387,0.368520083,0.46337117,0.166271206,-0.040344598,0.274926101,0.166579179,-0.08607685,-0.121850606,0.191501415,-0.211656637,-0.046503089,-0.012001709,-0.019257282,0.101621047,0.530325184,-0.052017006,-0.096932938,0.032672881,-0.253748393,0.142025601,0.558113148,0.009251079,-0.070805118,-0.092991066,0.451907618,0.291247675,-0.057213026,0.021670111,SERC,2019,150147,1,SERC15014712019,FAGR,28.154126,28.54715394,169.5472147,0.067258065,2.004636415,28.162554,28.54715394,0.997763809,0.157989146,28.15388904,-0.734708632,0.013564021,0.384599948,159,0.006607632,28.162554,28.15388904,102,Inf,160,121,203,129,192,Inf,82,63,1,1,0,0,SERC,2019,Fall,yes
S193Fg07,-0.446805843,-0.046505973,-0.188013438,-0.232503202,-0.108190679,-0.520019962,-0.221353417,-0.238708541,-0.419996505,-0.441654647,-0.136836933,-0.347841676,-0.498016836,-0.226310363,-0.255499984,0.188235523,-0.359387247,-0.14853635,-0.251254751,-0.203567985,-0.107182867,0.065868634,0.350497822,0.492005145,0.394019089,0.355538276,0.516614729,0.539715609,0.198523866,0.364815495,-0.10429286,0.189242658,0.23183135,-0.284541835,-0.042496861,-0.165180467,-0.153349834,-0.332583653,0.077006342,-0.095956652,-0.185243741,-0.151230102,-0.160220427,-0.165566836,0.005511968,-0.030663477,0.194729061,-0.272671442,-0.099427435,0.420575221,-0.234945689,0.231561349,-0.317238882,-0.093521431,-0.10510279,-0.303059188,-0.447384495,0.348209714,-0.04441662,0.076683184,-0.332797144,-0.174592093,-0.387905854,-0.224692045,-0.225666724,-0.221825372,-0.207465262,0.117701487,-0.21738997,-0.143357773,-0.146897585,0.222482634,0.471701486,0.397940248,0.481422017,0.497225171,0.809968864,0.440719095,0.356564901,0.322163441,-0.091825838,0.036400074,SERC,2019,43245,1,SERC4324522019,FAGR,21.61752215,22.05331727,173.1521041,0.054978115,1.345147358,21.63523233,22.05331727,0.997753525,0.171265641,21.62327999,-1.262990337,0.019139922,0.418084943,168,0.005989159,21.63523233,21.62327999,110,Inf,169,125,222,134,209,Inf,97,75,1,0,0,0,SERC,2019,Fall,yes
S193Fg08,0.081108036,0.28626043,-0.013565275,0.004072762,0.042012836,0.138290968,0.044661664,0.186326573,-0.269273006,0.020608775,-0.088652552,0.081158749,-0.109017264,0.111052227,0.020855857,0.301216266,-0.051485107,0.078530343,0.315848113,-0.148002401,0.036812511,0.105892756,0.181403737,0.302916035,-0.178924598,0.084792456,0.030162778,0.324768155,0.042167308,-0.045490647,0.092061132,0.248811964,0.271599022,0.139995633,0.088323686,0.194924511,-0.041530668,-0.117338677,0.098705601,-0.049142069,0.024689937,-0.210805289,0.119616165,-0.012865585,0.131558679,-0.13419113,0.241411137,0.191641662,0.096978745,0.051467373,0.071126009,-0.090138373,0.18673379,-0.012032068,0.38001742,-0.066936846,0.056664762,0.227745541,0.141383172,0.192652367,-0.180705923,-0.179810408,0.178816762,-0.108971804,0.002005103,0.177569917,2.70E-04,0.16143297,0.049014364,-0.046592368,-0.073017898,0.081535679,0.094357173,0.20052907,0.444180063,0.501688677,0.382866283,0.169093523,0.32744655,0.107988515,0.924046668,0.245372929,SERC,2019,43247,1,SERC4324722019,FAGR,6.704252165,6.705524087,113.9018769,0.02465323,14.47083359,6.705290338,6.705524087,0.03441057,6.57E-04,6.716319764,0.592602719,3.49E-05,2.34E-04,6,4.70E-06,6.705290338,6.716319764,66,Inf,98,69,195,71,167,Inf,126,96,0,0,0,1,SERC,2019,Fall,no
S193Fg10,-0.210651611,-0.38537517,-0.109678489,-0.213767214,0.12440226,0.046887929,-0.353490385,-0.115234228,-0.113295728,-0.287084057,-0.22049286,-0.156562867,0.011816243,-0.174048101,0.200005407,0.174054892,0.228371391,0.002491752,-0.306332791,-0.124979457,-0.08476766,-0.088871533,-0.110986872,-0.232494975,-0.142336167,-0.153324521,-0.149050738,-0.080651152,-0.003443134,-0.075696502,0.114074115,-0.109872691,0.054407864,-0.224726594,0.388659179,-0.136614662,-0.157944813,-0.278270894,-0.044886709,-0.13991947,0.168368922,-0.079182045,0.897850365,-0.122400209,0.022262999,-0.120141886,0.231921018,0.253658566,0.241060733,-0.082704932,-0.139248135,0.32141724,0.445002304,-0.078944199,-0.246414575,-0.142740907,-0.178426532,-0.358633618,-0.357658564,0.059940928,0.124898632,-0.06168512,-0.206348274,0.008102941,-0.009278025,-0.065830234,-0.288091574,0.067701803,-0.108442256,-0.059194297,-0.084498378,-0.048287127,0.312289817,0.017346192,-0.083618329,0.477604753,-0.091907126,0.061297364,0.153238809,-0.175884676,-0.010580901,0.234080816,SERC,2019,43420,1,SERC4342012019,FAGR,86.98491627,87.1099816,163.9358529,0.081649297,1.111559995,86.98767164,87.1099816,0.979503232,0.051222605,86.94357228,-6.399952623,0.001405073,0.122309965,163,0.00255197,86.98767164,86.94357228,116,Inf,163,131,199,138,190,Inf,68,52,1,1,0,0,SERC,2019,Fall,yes
S193Fg23,0.177194501,0.066657953,0.014148931,-0.151246301,-0.108913556,-0.269619538,0.055989007,0.174616822,0.13366559,0.203452744,0.030219677,0.041248421,0.254089138,0.175048074,-0.32403115,-0.444557554,-0.188086498,-0.051492187,0.392605238,-0.002971289,0.021674359,-0.020485837,0.071066944,0.096715378,-0.144458225,-0.164077107,-0.176019746,0.079555782,0.161282097,-0.090128205,-0.046233568,0.060854379,0.064971967,0.018803112,-0.08212912,-0.068736193,-0.064054513,0.150726606,-0.116853628,0.038900856,-0.061548337,0.335111214,0.052801844,-0.085616988,-0.090417042,-0.097116996,0.084040636,0.109691031,0.32042015,0.485106785,0.715649506,-0.006413493,0.034645097,-0.023753626,0.22388269,0.402082444,0.178703633,0.118305436,0.005942103,-0.012092617,0.146705953,-0.036030138,0.195445184,-0.109988865,0.110020817,-0.010341396,0.30456713,0.127978415,-0.034189383,-0.103205269,-0.121730849,0.100073307,-0.023824043,-0.083567338,-0.0245307,-0.03588848,-0.049581266,0.095157925,-0.078611631,0.027566544,-0.075942046,-0.24533418,SERC,2019,41628,1,SERC4162812019,FAGR,37.62806146,37.79833131,163.3249847,0.096174174,4.022478925,37.63220056,37.79833131,0.991879398,0.068435486,37.62228787,-0.980444793,0.004404875,0.166130752,149,0.004092895,37.63220056,37.62228787,110,Inf,149,122,180,128,172,Inf,58,44,1,1,0,0,SERC,2019,Fall,yes
S193Fg25,-0.054303785,-0.400021648,-0.266620459,-0.142019151,0.456772219,0.383792805,0.557880646,0.589674323,0.334691397,0.262754862,0.886887293,0.592425526,0.363816033,0.344540045,-0.081520578,0.078722089,-0.250001887,-0.183837494,0.355030694,0.423171161,-0.184498546,0.429578367,0.19584773,0.227277384,-0.185735096,-0.333411867,-0.154002191,-0.263530574,0.239185841,0.573399566,0.342528664,0.195059835,0.594263628,0.456820202,0.512894378,-0.205504665,-0.129940142,0.448593194,-0.334782579,-0.161769829,-0.262408105,-0.299468047,-0.158062566,-0.222315528,-0.434750097,-0.231562594,-0.556024121,-0.502436115,-0.436648464,-0.340053203,-0.243712801,-0.360225959,-0.257863836,-0.140231879,-0.351908949,-0.335441941,-0.340448966,-0.470595609,-0.555888792,-0.914998768,-0.477342857,-0.220941761,-0.097865947,-0.329115748,-0.257865384,-0.266769375,-0.447298278,-0.45341157,-0.188494305,-0.181803881,-0.375339825,-0.380175909,-0.259276859,-0.298896595,-0.213203947,-0.249896766,-0.125244832,-0.279262063,-0.437814318,-0.253060977,-0.178934646,-0.183052539,SERC,2019,41489,1,SERC4148912019,FAGR,47.13087515,47.19942858,178.8383835,0.115385513,21.62904689,47.13161135,47.19942858,0.984478417,0.029063492,47.11475938,-3.313889273,0.001437856,0.067817232,152,0.001976715,47.13161135,47.11475938,113,Inf,152,128,178,134,171,Inf,50,37,1,1,0,0,SERC,2019,Fall,yes
S193Fg27,0.052114121,0.056606863,-0.060819308,0.108607335,-0.135877884,0.308845084,0.074626088,0.058562326,-0.141553301,-0.045534792,-0.090623966,-0.111925008,-0.022349979,0.155775716,-0.08239619,-0.026609388,0.447438348,-0.096293195,0.042376998,-0.142192807,0.012616092,-0.179355607,0.036521674,-0.202848929,-0.158255948,0.291324117,0.003714613,-0.079711667,-0.399097326,0.053069249,0.17428837,0.030659223,0.175848329,-0.11131424,-0.043959157,-0.082333734,-0.037437086,0.026400431,0.016981972,0.054078841,-0.084270613,-0.16698284,-0.009817997,0.636625094,0.310937497,-0.150798428,-0.061222429,0.12618643,0.061831855,0.06081711,-0.018372567,-0.102769781,0.235814451,0.060419159,0.168676365,0.111637522,0.052668684,0.240313901,0.085954304,0.114333351,-0.031619279,0.047697234,0.15096831,-0.003243497,-0.075021361,-0.016769083,0.102629,0.131426434,0.078078789,0.568263192,0.346849973,0.14822477,-0.159243311,0.422901808,-0.108998721,-0.050931376,0.109450018,0.079821716,0.133365607,0.224695205,0.0850872,0.202173782,SERC,2019,30900,1,SERC3090012019,FAGR,30.21620733,30.3793118,153.4931074,0.101714739,1.069043128,30.21891644,30.3793118,0.995559958,0.068301104,30.20972436,-1.447475526,0.005293744,0.160395365,153,0.004146353,30.21891644,30.20972436,113,Inf,153,127,182,133,175,Inf,55,42,1,1,0,0,SERC,2019,Fall,yes
