sample,ME_indianred4,ME_lightcoral,ME_maroon,ME_skyblue2,ME_sienna3,ME_mediumorchid,ME_tan,ME_darkslateblue,ME_turquoise,ME_brown4,ME_lightcyan1,ME_white,ME_lightcyan,ME_red,ME_thistle2,ME_midnightblue,ME_purple,ME_darkorange2,ME_antiquewhite4,ME_royalblue,ME_honeydew1,ME_skyblue1,ME_steelblue,ME_coral2,ME_green,ME_floralwhite,ME_plum1,ME_grey60,ME_black,ME_lightgreen,ME_orange,ME_brown,ME_lightyellow,ME_darkturquoise,ME_lightsteelblue,ME_bisque4,ME_darkorange,ME_greenyellow,ME_thistle1,ME_mediumpurple2,ME_yellow4,ME_coral1,ME_darkseagreen4,ME_ivory,ME_salmon4,ME_darkolivegreen,ME_darkred,ME_darkgreen,ME_mediumpurple3,ME_darkgrey,ME_plum2,ME_plum,ME_cyan,ME_lightsteelblue1,ME_lavenderblush3,ME_skyblue,ME_navajowhite2,ME_paleturquoise,ME_salmon,SITE,YEAR,TREE_ID,BAND_NUM,UNIQUE_ID,SP,L,K,doyip,r,theta,a,b,r.squared,ts.sd,alt.a,WD,RGR,GR,Max.growth.day,Max.growth.rate,Size.a,Size.alt.a,Start.g,Stop.g,Median.g,DOY.05,DOY.95,DOY.10,DOY.90,GS_Length,GS.90,GS.80,GROWTH_SIGNAL,Size.mature,DOY.fastGR,WD.class,Site,Year,Season,growth.signal
H171Fg01,-0.07600776454811516,0.041324901359082594,-0.033179998665987295,0.014489848843657218,0.06040054969947794,0.08983512564158717,0.065556514759719825,-0.025034931502679207,-0.014203628473877397,-0.04690741886291054,0.1096157478155744,0.03934674850027043,0.03651749383755508,0.07658740400165615,0.04242754953558853,0.07781901019453377,0.06477435836264386,-0.014666542124850909,0.05204731063467116,0.04558359916240789,0.13170437046792524,-0.12229343302616626,0.07719586646613624,0.02413464973238054,-0.036414993140336915,0.030980246469804035,0.04335169009242605,-2.2057533740207734e-4,0.042212971742171194,0.0756821969497556,0.07668811557917835,0.07219520663115427,0.08170640125176117,0.09969204866177354,-0.06302845995087773,-0.029149275953495597,0.007634608419971556,0.046978103744118926,0.3365260833138996,0.08369780383263953,0.1861902459479496,-0.03770202357880882,0.42766535820351403,0.16652848318949476,-0.013673458123943301,0.11612922259842454,-0.026349757365082466,0.15833518632355112,0.027869806258838368,0.14143579766294087,0.18915661375902776,-0.022953239339308845,0.05616264651643322,0.1830698563775479,-0.08109647907726956,-0.045746084523424727,-0.20288978843039057,0.08727866636276642,0.14311932859526805,HF,2017,30156,1,HF3015612018,FAGR,10.3968208000933,10.5304070997468,175.905754084758,0.0874601864470554,0.54498106892349,10.4,10.5304070997468,0.997618359726176,0.0546998118874504,-99,-0.0948771321374989,0.0124611801958574,0.130407099746799,183,0.0029202730839426,10.4,-99,140,Inf,183,154,217,160,208,Inf,63,48,1,0,1,1,HF,2017,Spring,yes
H171Fg02,-0.2599275723546461,0.24641194516656104,-0.3071004766548611,0.23811062171160682,-0.2825729845102988,-0.22851920321956887,0.22783359505832104,-0.3578059187755408,-0.12451883545757834,-0.35200466238566414,0.2574025809345668,0.24426527024678435,0.4923682200584546,-0.1929430849609815,-0.32199291636532185,-0.4284903288166274,0.18237781610704934,0.4589033347952933,-0.17193253122791777,-0.10779317279024055,-0.18881828415494523,-0.32247642221105943,0.5462940966586316,-0.2498496097588291,-0.12995472157066526,-0.20686507910847543,0.23715460567872207,-0.3462382213774999,-0.0933828779095992,0.36855411592043835,0.5601785632296831,0.31670466675905906,0.27393166412451614,0.6104296014039875,0.501657715549643,0.5542460328013691,0.6589250450027173,0.9002820212715158,-0.09359531611026382,-0.20418001983408715,-0.20951036943758625,-0.1897184526337555,-0.20669922318838316,-0.18051363161125952,-0.2705201621617595,-0.28603339413468054,-0.23896822765830625,-0.18796406302042665,-0.24195306540548012,-0.17108535175750242,-0.21720783304663904,-0.10772837976394956,-0.4076735715350386,-0.284398732656275,-0.1859945288536579,-0.20443948195633402,-0.19987073468887062,-0.23965767784581457,-0.22192935326782784,HF,2017,10481,1,HF1048112018,FAGR,19.0965606226705,19.2772073424914,184.259446971282,0.100648681817723,4.17821074423442,19.0999984657079,19.2772073424914,0.996171432439897,0.0696517060735025,-99,-0.770121414839388,0.00923517658670159,0.177208876783503,170,0.00454447247072309,19.0999984657079,-99,131,Inf,170,144,200,150,192,Inf,56,42,1,0,0,0,HF,2017,Spring,yes
H171Fg07,-0.16455602162954883,0.0013963552415554817,-0.054645790769024795,0.03789343871653133,-0.12416573477731029,0.0019131605185241892,0.06629516273456425,-0.0959212005338819,-0.027737987782445024,-0.06704471686668807,-0.081376391098767,-0.03489032715867313,0.006966228895556747,-0.008397389534713475,0.08066461855997532,0.08190573927786919,0.09972096552380597,-0.05161037391595925,-0.12632081889929683,0.025003736656923344,0.03543427216794745,-0.06355727467493784,-0.06341095183165893,-0.01591894146204821,-0.10096858226634488,-0.039687401403396744,-0.04301452705336787,0.050281525413745774,-0.03983038348687513,0.09391935654299546,0.06101450593654292,0.1212666460837076,0.04723505123459504,-7.729317159469576e-4,-0.09837235482143195,0.32768897112877116,0.034563639242761325,-0.07287888429520166,0.7893318637876006,0.0388017697395948,-0.09491055973691229,-0.03901194179613339,-0.0356879721381047,-0.006558120577580044,0.044775199473032996,0.3169313151074751,0.29172950489074667,0.1663576089761545,0.08461738343816028,0.157277477857558,-0.04566117432446064,-0.04740911182232892,0.09096338336770106,0.13811310293896706,-0.0402708390409963,0.059603475528990986,-0.056983243371993376,-0.07927391655074256,0.13379862646403487,HF,2017,81099,1,HF8109912018,FAGR,6.79268419540414,6.94452486143769,197.79022837328301,0.0646733859342486,3.14173783301225,6.8000056171154,6.94452486143769,0.994512276257237,0.056664486544282,-99,-0.213018924479355,0.0210301211580135,0.14451924432229,180,0.00245477811049799,6.8000056171154,-99,134,Inf,182,145,226,152,215,Inf,81,63,1,0,1,1,HF,2017,Spring,yes
H171Fg08,-0.22045268076277116,-0.21967061358704,0.019229491925763263,-0.3678656195772444,0.034436402654836586,0.28610899470346757,-0.1009039013116357,0.021254681000158166,-0.07217533785927792,-0.08158377210613037,0.2091306436433685,-0.4217387672041701,-0.006230674521876737,0.03266040875318064,-0.3161517972023544,0.0703512126376512,-0.08453248727454228,0.18219788484341723,-0.30311372185669844,-0.2053020293545228,0.58765967896964455,0.36961860404214947,-0.19812418434574203,-0.24442276544716965,-0.15574558173525888,0.03297820811768223,-0.44537318624062106,-0.041770011168645524,-0.061857407213973176,-0.02053643334082722,0.4830233528569658,-0.04174985324910643,0.0013170367819565364,-0.09088027483269756,-0.25400626461172343,-0.21851182603348152,-0.22020293799173937,-0.1748240888806182,-0.13977970680679236,-0.1694333183764708,-0.18990957271126177,-0.18297360137572607,-0.1720501712120133,-0.13836050077072004,-0.3347108420398769,-0.3063552481792756,-0.21548964652704836,-0.1839164889731392,-0.3085749497384225,0.8209729597813041,0.627172380275995,0.6182633377810773,0.24452419930409197,0.4134381013387542,-0.16420028064162928,0.5644347301010794,-0.23537584794793462,-0.1924576232505299,-0.22095827856451025,HF,2017,81091,1,HF8109112018,FAGR,30.2778857634342,30.7617864622098,201.649803191193,0.0500171716335562,2.27855807335439,30.3,30.7607144894916,0.996329391965357,0.171312801868904,-99,-0.823575496131308,0.0150906597291969,0.4607144894916,185,0.00605039179759004,30.3,-99,124,307,187,140,244,149,230,183,104,81,1,1,1,0,HF,2017,Spring,yes
H171Fg09,-0.17809312986759632,0.014670085868256787,-0.09913587798219728,-0.08783020883650118,-0.11395741187716042,-0.04836071948973263,-0.0378981688670489,-0.11121864317037447,-0.09547675800185101,-0.08750383259739536,0.04616596858679462,-0.10928736260285343,-0.11238561392934299,-0.06628279051462665,0.00769572534339146,0.0462761315958086,0.08845994432160843,-0.14953690566490394,-0.14016139428219393,-0.03837548117078466,0.027413969920015897,-0.18656525462981347,-0.08545021279295827,-0.08903505468485505,-0.11625067133344075,-0.11914924312044298,-0.013608927168319646,0.06001491846432821,-0.028592701101569473,-0.058545886358481604,-0.04602066331218092,0.039062309253289886,-0.034572655024845474,-0.030926823993881695,0.1693528517483776,-0.1860308662292266,0.02452788700835612,0.0016030662015442472,-0.06726570411550527,0.5081885254150746,-0.10996199863028465,-0.10006742135965471,-0.09073529366629707,0.747209785760406,0.04935210927350873,0.08806770578491278,-0.04291617470031268,-0.1024573439583837,0.19859106066643833,0.09647620927995618,-0.01696744652902594,-0.12171209142406487,0.049872184069529694,-0.11905826381211458,-0.06683603558514649,-0.0034553666572866,-0.19920185614976424,-0.10319359719532704,-0.06566236714829285,HF,2017,60850,1,HF6085012018,FAGR,5.79530276908103,5.9165630756645,189.151562916979,0.0712088004631142,2.24176352431585,5.79999928691695,5.9165630756645,0.998501323871195,0.0459058704364946,-99,-0.152526441079364,0.0198979241546353,0.116563788747549,178,0.00215837861644275,5.79999928691695,-99,133,Inf,179,145,220,152,209,Inf,75,57,1,0,1,1,HF,2017,Spring,yes
H171Fg14,-0.10997085078017776,0.07451363621194607,-0.04246835652648056,0.04453344135159831,-0.01955273318688375,0.04244491995756929,0.040825241282358996,0.02415305894548268,-0.006750508261603807,0.0043426375998945315,0.02298714041849697,0.0608785585680511,-0.006213715804460686,-0.007988877489356857,0.10883174097621902,0.10741270060346035,0.08560401809584375,-0.16205461090886458,0.0102171990805161,0.07166638650887906,0.09391748262502875,-0.03488834991144176,-0.007813050625112094,0.013981407063492593,0.023079870170278953,0.03359992478498239,0.0885798028156261,0.12173656090121263,-0.004249139133077152,0.06971293709974986,0.011397058793137875,0.1647847020817679,0.1041894591028539,-0.021910229806881423,0.029486189065488642,0.11806676059300142,0.057914846749382486,0.004083181544987556,-0.0039302641631675595,0.05999018748780487,-0.06196204569415755,0.10200513348705044,0.11676260229173652,0.3056167920210369,0.2762449308058693,0.1358721398923159,0.37101895693183007,0.0552005414513938,0.1529997014278918,0.03230077205526018,0.03748167810502422,0.002416301249796271,0.12452012665485195,0.06534988287840088,-0.0015070378466993416,0.057044705385626,0.0744918212333964,0.021138079522053405,0.14623743870037917,HF,2017,150496,1,HF15049612018,FAGR,20.2919723348152,20.4847308148489,216.400800831168,0.0820161554751828,23.1355971148136,20.2993717612741,20.4847308148489,0.99642216424046,0.0749756885905223,-99,-0.536685236808057,0.00908983246608042,0.1853590535748,178,0.00395170857758131,20.2993717612741,-99,139,Inf,179,149,215,155,205,Inf,66,50,1,0,1,0,HF,2017,Spring,yes
H171Fg24,0.09873624359772956,-0.0027941242893739547,0.13527564872025016,-0.0813923325564324,0.055730518358407456,0.14946328525352875,0.03240910979740895,0.10747423053900894,0.030896317324227898,-0.019096637160660658,-0.09436289929679195,-0.029925584256504,0.008575319185608,-0.046530977717277745,0.1535542402629202,0.06943176206497965,0.10445761614560381,-0.13023240172855777,0.037054335659732845,0.008139792036200763,-0.11347757671605356,0.12846963403622141,-0.036840281447508345,0.015017913528465144,-0.013811165676534414,-0.07440873314602764,-0.03563816593442577,0.1631301780610653,0.0036147172416337117,0.011921032345126733,0.05446683214148772,0.071978479111139207,-0.00929300905152641,-0.020467398830440266,0.1983642950423177,-0.007555480686118937,-0.14085979481725788,0.08834043445325163,-0.06168819442303015,0.09004110630120671,0.2351478125980786,-0.025530008212079968,-0.025520246399413297,-0.12068541729175737,-0.03016739903746277,-0.0253949568934105,0.09569502560485649,0.07927862745405763,0.3682665306487261,-0.1244552292798846,0.4200294932136081,0.050664634105809334,0.13039916672916527,0.12583022294648816,0.7245794151888028,-0.08161743292117175,-0.022865800816323497,0.0370452640449609,-0.01940343836809135,HF,2017,141939,1,HF14193912018,FAGR,38.4992468549169,38.5465877832328,203.820992065395,0.10222790942811,3.29851982702912,38.499875107315,38.5465877832328,0.991028107464782,0.0206866555599731,-99,-1.20186455885015,0.00121258471548202,0.0467126759178029,192,0.00120956003893014,38.499875107315,-99,150,Inf,192,166,221,172,214,Inf,55,42,1,1,1,0,HF,2017,Spring,yes
H171Fg25,0.45114601620097505,0.4289745336024077,0.4439589861111682,-0.396057939004071,-0.49025776788325154,-0.41402418339214886,-0.46115407942328945,-0.43405844704770247,-0.1948981619766115,-0.41078703234036157,-0.5353949991581246,-0.48294863366829094,-0.2725863243197082,-0.21937074668629006,-0.3477935070564559,-0.43588486967117057,-0.4939380969537982,0.22444371568425198,0.4531474458652602,0.5202104652975421,-0.198507252267999,-0.3071881980483673,-0.21147051150702387,-0.26466735158303084,-0.20513721726713255,0.5405476190527625,0.39473474746120957,0.45068751837279464,0.9152010351462195,0.4843687300476687,-0.31930591257547836,-0.4324472509141549,-0.4937233762989007,-0.219968015085767,-0.27704935727661667,-0.24448171085567844,-0.22131131886514266,-0.1635792984055588,-0.1646945415435396,-0.18609611099343937,-0.20385449200934658,-0.2128015148440039,-0.23784066754500238,-0.209326525835084,-0.31897221582036617,-0.2955357716874701,-0.21986485918825752,-0.21320293972658394,-0.29648884692281685,-0.19193949496940904,-0.2179673530809082,-0.17733528332619417,-0.41606122353181163,-0.3080372384366081,-0.20508028151679267,-0.23668405329286693,-0.2682177557344222,-0.2729913731263833,-0.20495147562135127,HF,2017,121716,1,HF12171612018,FAGR,48.1950783179117,48.2434976410355,199.608625099634,0.140139447090432,5.97006552721103,48.1953532835797,48.2434976410355,0.972919906598085,0.0220788339502536,-99,-1.77819518067757,9.98443282842043e-4,0.0481443574558043,187,0.00169550472419644,48.1953532835797,-99,150,Inf,187,167,208,172,203,Inf,41,31,1,1,1,0,HF,2017,Spring,yes
H171Fg28,-0.11190045150354763,-0.00826009770566886,-0.1383578860602669,-0.15945912283892064,0.014413467967177605,-0.01429196431248919,0.019608511010910573,0.07543515776386048,-0.05406609184171008,-0.057324265645031285,-0.12839326023636172,-0.03431031128625601,-0.09227127756115024,-0.05457835048043684,-0.05288233536841991,0.18037072443283939,0.041509198619621816,-0.2584384378160659,0.012909042211682773,-0.004837111864667615,0.0391048797278747,-0.033121727777788185,-0.1121499215053725,0.04503532882559068,-0.0608682373215246,-0.007631146540032061,0.02642088107648512,0.14210114465605067,-0.0724381099423382,-0.01804190000135375,-0.17829267200231297,0.19439650121990423,0.061726360446393604,-0.013231115753880304,-0.06046143195539744,-0.07524821312127185,-0.12704467956554705,-0.039647425470813076,-0.06016134798056094,-0.05993886197213593,-0.11204094042604168,-0.04729496515067938,0.14694013336384026,-0.06005538438072553,0.2354229630389395,0.23372099783020348,0.35815536986199514,-0.07960547247356783,0.10917301161080645,-0.04305936592073637,0.05082214868540801,0.026550317891721426,0.10472849078503253,0.044917526115761934,0.04855419499073546,-0.03664363924857319,0.09707807178826326,0.0015496646156542713,-0.01964384183038325,HF,2017,260845,1,HF26084512018,FAGR,7.2996179889426704,7.34277891170686,194.117047394895,0.106008471574226,3.68105985780247,7.30017928823468,7.34277891170686,0.996634195429589,0.0180787847041673,-99,-0.228889627818632,0.00581846141644671,0.0425996234721806,182,0.00114348833467215,7.30017928823468,-99,141,Inf,182,156,210,162,203,Inf,54,41,1,0,1,1,HF,2017,Spring,yes
H171Fg29,-0.1623567347786124,-0.10174486295656328,0.12364530146468262,0.08351390621534084,-0.048926914046070455,-0.13938562608985694,0.10203260883823975,0.05080829249902208,-0.028139965066277594,-0.04808310172484078,0.04387722018531104,0.09126509979699984,-0.021196523166147722,0.025443502019184574,0.09275486563579878,-0.011854948142764615,0.11460214205760498,0.2410233602984083,-0.1458313419875415,-0.0020257050972149345,-0.17909693888950154,-0.10806729047698596,-0.08391812187248397,-0.034999956248556695,-0.07343006279516867,0.05599299315718305,0.049254199425522546,0.15069639682658004,-0.04922999748952221,0.08276569934630132,0.13214409251502995,0.06944130854431475,0.06783310841867292,-0.021017587953604196,0.0018073930646928752,-9.383881578673549e-4,0.5237067081633607,-0.09551896654273194,-0.0648964873488838,-0.034553042479390554,-0.0819494502159293,-0.18769562180136407,-0.17016507094832983,0.14682504893950662,0.10514459318564484,0.20498043226611878,-0.16099917678638698,0.8207742881993145,0.3622032180181935,-0.12618081225725422,-0.1379414431948966,0.607904180532786,0.17179068702982445,0.2996473085948386,-0.17880745481967358,-0.16435549499323848,-0.10655412396176363,0.5040048833923253,-0.10294150647465167,HF,2017,271124,1,HF27112412018,FAGR,24.8993647603709,24.907145465432,159.001332444769,0.0563560428318014,0.982372552934762,24.8993647603709,24.907145465432,0.752173063751165,0.00240975751903799,-99,0.0375253645621339,3.12437273325195e-4,0.00778070506109785,159,NA,24.8993647603709,-99,-Inf,Inf,159,107,212,120,198,Inf,105,78,1,0,0,1,HF,2017,Spring,yes
