"","gene","color"
"1","FAGR_UCONN_32781","purple"
"2","FAGR_UCONN_22029","purple"
"3","FAGR_UCONN_28857","purple"
"4","FAGR_UCONN_09160","purple"
"5","FAGR_UCONN_25595","purple"
"6","FAGR_UCONN_16883","purple"
"7","FAGR_UCONN_04153","purple"
"8","FAGR_UCONN_04067","purple"
"9","FAGR_UCONN_22567","purple"
"10","FAGR_UCONN_11969","purple"
"11","FAGR_UCONN_14283","purple"
"12","FAGR_UCONN_14983","purple"
"13","FAGR_UCONN_00679","purple"
"14","FAGR_UCONN_04189","purple"
"15","FAGR_UCONN_13761","purple"
"16","FAGR_UCONN_20594","purple"
"17","FAGR_UCONN_14915","purple"
"18","FAGR_UCONN_21560","purple"
"19","FAGR_UCONN_10265","purple"
"20","FAGR_UCONN_16240","purple"
"21","FAGR_UCONN_05645","purple"
"22","FAGR_UCONN_31205","purple"
"23","FAGR_UCONN_24905","purple"
"24","FAGR_UCONN_12887","purple"
"25","FAGR_UCONN_04553","purple"
"26","FAGR_UCONN_02467","purple"
"27","FAGR_UCONN_21054","purple"
"28","FAGR_UCONN_05988","purple"
"29","FAGR_UCONN_18783","purple"
"30","FAGR_UCONN_27175","purple"
"31","FAGR_UCONN_16037","purple"
"32","FAGR_UCONN_00810","purple"
"33","FAGR_UCONN_14327","purple"
"34","FAGR_UCONN_28640","purple"
"35","FAGR_UCONN_30273","purple"
"36","FAGR_UCONN_19359","purple"
"37","FAGR_UCONN_24858","purple"
"38","FAGR_UCONN_24369","purple"
"39","FAGR_UCONN_28888","purple"
"40","FAGR_UCONN_30620","purple"
"41","FAGR_UCONN_14965","purple"
"42","FAGR_UCONN_16001","purple"
"43","FAGR_UCONN_30460","purple"
"44","FAGR_UCONN_02816","purple"
"45","FAGR_UCONN_21766","purple"
"46","FAGR_UCONN_09318","purple"
"47","FAGR_UCONN_08139","purple"
"48","FAGR_UCONN_25055","purple"
"49","FAGR_UCONN_24921","purple"
"50","FAGR_UCONN_19584","purple"
"51","FAGR_UCONN_11703","purple"
"52","FAGR_UCONN_16660","purple"
"53","FAGR_UCONN_14809","purple"
"54","FAGR_UCONN_00915","purple"
"55","FAGR_UCONN_01093","purple"
"56","FAGR_UCONN_15507","purple"
"57","FAGR_UCONN_10947","purple"
"58","FAGR_UCONN_15223","purple"
"59","FAGR_UCONN_12586","purple"
"60","FAGR_UCONN_32491","purple"
"61","FAGR_UCONN_09646","purple"
"62","FAGR_UCONN_08379","purple"
"63","FAGR_UCONN_01390","purple"
"64","FAGR_UCONN_12096","purple"
"65","FAGR_UCONN_12520","purple"
"66","FAGR_UCONN_26709","purple"
"67","FAGR_UCONN_17214","purple"
"68","FAGR_UCONN_22593","purple"
"69","FAGR_UCONN_11559","purple"
"70","FAGR_UCONN_01883","purple"
"71","FAGR_UCONN_11779","purple"
"72","FAGR_UCONN_13657","purple"
"73","FAGR_UCONN_17950","purple"
"74","FAGR_UCONN_30077","purple"
"75","FAGR_UCONN_09564","purple"
"76","FAGR_UCONN_22585","purple"
"77","FAGR_UCONN_20411","purple"
"78","FAGR_UCONN_10056","purple"
"79","FAGR_UCONN_26928","purple"
"80","FAGR_UCONN_16231","purple"
"81","FAGR_UCONN_27417","purple"
"82","FAGR_UCONN_10543","purple"
"83","FAGR_UCONN_24786","purple"
"84","FAGR_UCONN_15941","purple"
"85","FAGR_UCONN_27461","purple"
"86","FAGR_UCONN_25934","purple"
"87","FAGR_UCONN_20604","purple"
"88","FAGR_UCONN_03558","purple"
"89","FAGR_UCONN_09254","purple"
"90","FAGR_UCONN_18430","purple"
"91","FAGR_UCONN_11314","purple"
"92","FAGR_UCONN_30303","purple"
"93","FAGR_UCONN_28303","purple"
"94","FAGR_UCONN_29528","purple"
"95","FAGR_UCONN_30222","purple"
"96","FAGR_UCONN_32317","purple"
"97","FAGR_UCONN_06082","purple"
"98","FAGR_UCONN_30421","purple"
"99","FAGR_UCONN_06105","purple"
"100","FAGR_UCONN_11169","purple"
"101","FAGR_UCONN_21349","purple"
"102","FAGR_UCONN_24552","purple"
"103","FAGR_UCONN_25804","purple"
"104","FAGR_UCONN_20804","purple"
"105","FAGR_UCONN_04711","purple"
"106","FAGR_UCONN_22122","purple"
"107","FAGR_UCONN_21157","purple"
"108","FAGR_UCONN_11469","purple"
"109","FAGR_UCONN_09581","purple"
"110","FAGR_UCONN_11455","purple"
"111","FAGR_UCONN_00054","purple"
"112","FAGR_UCONN_28755","purple"
"113","FAGR_UCONN_07410","purple"
"114","FAGR_UCONN_01028","purple"
"115","FAGR_UCONN_17209","purple"
"116","FAGR_UCONN_00864","purple"
"117","FAGR_UCONN_10259","purple"
"118","FAGR_UCONN_15183","purple"
"119","FAGR_UCONN_19927","purple"
"120","FAGR_UCONN_03281","purple"
"121","FAGR_UCONN_18116","purple"
"122","FAGR_UCONN_32314","purple"
"123","FAGR_UCONN_29608","purple"
"124","FAGR_UCONN_01197","purple"
"125","FAGR_UCONN_27639","purple"
"126","FAGR_UCONN_09648","purple"
"127","FAGR_UCONN_10470","purple"
"128","FAGR_UCONN_27419","purple"
"129","FAGR_UCONN_03913","purple"
"130","FAGR_UCONN_20408","purple"
"131","FAGR_UCONN_28333","purple"
"132","FAGR_UCONN_08265","purple"
"133","FAGR_UCONN_02148","purple"
"134","FAGR_UCONN_13940","purple"
"135","FAGR_UCONN_21497","purple"
"136","FAGR_UCONN_07150","purple"
"137","FAGR_UCONN_25991","purple"
"138","FAGR_UCONN_13327","purple"
"139","FAGR_UCONN_03476","purple"
"140","FAGR_UCONN_13240","purple"
"141","FAGR_UCONN_12381","purple"
"142","FAGR_UCONN_19953","purple"
"143","FAGR_UCONN_18001","purple"
"144","FAGR_UCONN_10278","purple"
"145","FAGR_UCONN_13888","purple"
"146","FAGR_UCONN_01996","purple"
"147","FAGR_UCONN_21209","purple"
"148","FAGR_UCONN_03928","purple"
"149","FAGR_UCONN_12913","purple"
"150","FAGR_UCONN_21478","purple"
"151","FAGR_UCONN_01690","purple"
"152","FAGR_UCONN_05563","purple"
"153","FAGR_UCONN_31959","purple"
"154","FAGR_UCONN_28506","purple"
"155","FAGR_UCONN_12330","purple"
"156","FAGR_UCONN_31496","purple"
"157","FAGR_UCONN_31831","purple"
"158","FAGR_UCONN_11000","purple"
"159","FAGR_UCONN_23147","purple"
"160","FAGR_UCONN_12999","purple"
"161","FAGR_UCONN_30300","purple"
"162","FAGR_UCONN_18595","purple"
"163","FAGR_UCONN_21035","purple"
"164","FAGR_UCONN_23840","purple"
"165","FAGR_UCONN_28859","purple"
"166","FAGR_UCONN_29799","purple"
"167","FAGR_UCONN_15431","purple"
"168","FAGR_UCONN_20731","purple"
"169","FAGR_UCONN_23889","purple"
"170","FAGR_UCONN_16974","purple"
"171","FAGR_UCONN_01160","purple"
"172","FAGR_UCONN_28625","purple"
"173","FAGR_UCONN_26893","purple"
"174","FAGR_UCONN_03763","purple"
"175","FAGR_UCONN_11870","purple"
"176","FAGR_UCONN_07217","purple"
"177","FAGR_UCONN_05570","purple"
"178","FAGR_UCONN_24333","purple"
"179","FAGR_UCONN_17363","purple"
"180","FAGR_UCONN_16719","purple"
"181","FAGR_UCONN_18971","purple"
"182","FAGR_UCONN_04527","purple"
"183","FAGR_UCONN_02439","purple"
"184","FAGR_UCONN_32340","purple"
"185","FAGR_UCONN_19002","purple"
"186","FAGR_UCONN_22338","purple"
"187","FAGR_UCONN_30054","purple"
"188","FAGR_UCONN_20634","purple"
"189","FAGR_UCONN_23429","purple"
"190","FAGR_UCONN_18979","purple"
"191","FAGR_UCONN_07374","purple"
"192","FAGR_UCONN_11337","purple"
"193","FAGR_UCONN_08931","purple"
"194","FAGR_UCONN_08596","purple"
"195","FAGR_UCONN_11242","purple"
"196","FAGR_UCONN_23163","purple"
"197","FAGR_UCONN_25062","purple"
"198","FAGR_UCONN_19256","purple"
"199","FAGR_UCONN_28904","purple"
"200","FAGR_UCONN_07857","purple"
"201","FAGR_UCONN_27628","purple"
"202","FAGR_UCONN_30234","purple"
"203","FAGR_UCONN_13905","purple"
"204","FAGR_UCONN_27626","purple"
"205","FAGR_UCONN_25597","purple"
"206","FAGR_UCONN_07353","purple"
"207","FAGR_UCONN_24095","purple"
"208","FAGR_UCONN_14094","purple"
"209","FAGR_UCONN_13895","purple"
"210","FAGR_UCONN_08480","purple"
"211","FAGR_UCONN_05911","purple"
"212","FAGR_UCONN_16201","purple"
"213","FAGR_UCONN_25382","purple"
"214","FAGR_UCONN_30984","purple"
"215","FAGR_UCONN_09405","purple"
"216","FAGR_UCONN_06202","purple"
"217","FAGR_UCONN_00615","purple"
"218","FAGR_UCONN_13529","purple"
"219","FAGR_UCONN_10686","purple"
"220","FAGR_UCONN_00852","purple"
"221","FAGR_UCONN_20522","purple"
"222","FAGR_UCONN_09860","purple"
"223","FAGR_UCONN_19541","purple"
"224","FAGR_UCONN_01632","purple"
"225","FAGR_UCONN_00298","purple"
"226","FAGR_UCONN_26851","purple"
"227","FAGR_UCONN_05127","purple"
"228","FAGR_UCONN_14312","purple"
"229","FAGR_UCONN_19191","purple"
"230","FAGR_UCONN_17489","purple"
"231","FAGR_UCONN_20023","purple"
"232","FAGR_UCONN_29264","purple"
"233","FAGR_UCONN_02332","purple"
"234","FAGR_UCONN_15680","purple"
"235","FAGR_UCONN_24202","purple"
"236","FAGR_UCONN_19061","purple"
"237","FAGR_UCONN_04454","purple"
"238","FAGR_UCONN_26607","purple"
"239","FAGR_UCONN_05397","purple"
"240","FAGR_UCONN_21743","purple"
"241","FAGR_UCONN_15027","purple"
"242","FAGR_UCONN_07295","purple"
"243","FAGR_UCONN_19274","purple"
"244","FAGR_UCONN_28686","purple"
"245","FAGR_UCONN_21845","purple"
"246","FAGR_UCONN_10731","purple"
"247","FAGR_UCONN_14777","purple"
"248","FAGR_UCONN_09711","purple"
"249","FAGR_UCONN_23616","purple"
"250","FAGR_UCONN_20791","purple"
"251","FAGR_UCONN_07724","purple"
"252","FAGR_UCONN_14233","grey60"
"253","FAGR_UCONN_08718","grey60"
"254","FAGR_UCONN_21204","grey60"
"255","FAGR_UCONN_21064","grey60"
"256","FAGR_UCONN_21354","grey60"
"257","FAGR_UCONN_11922","grey60"
"258","FAGR_UCONN_09576","grey60"
"259","FAGR_UCONN_29440","grey60"
"260","FAGR_UCONN_15385","grey60"
"261","FAGR_UCONN_22674","grey60"
"262","FAGR_UCONN_20160","grey60"
"263","FAGR_UCONN_19226","grey60"
"264","FAGR_UCONN_18916","grey60"
"265","FAGR_UCONN_14161","grey60"
"266","FAGR_UCONN_16951","grey60"
"267","FAGR_UCONN_28610","grey60"
"268","FAGR_UCONN_23099","grey60"
"269","FAGR_UCONN_07632","grey60"
"270","FAGR_UCONN_30024","grey60"
"271","FAGR_UCONN_08186","grey60"
"272","FAGR_UCONN_10366","grey60"
"273","FAGR_UCONN_30087","grey60"
"274","FAGR_UCONN_05740","grey60"
"275","FAGR_UCONN_30034","grey60"
"276","FAGR_UCONN_13750","grey60"
"277","FAGR_UCONN_04697","grey60"
"278","FAGR_UCONN_29683","grey60"
"279","FAGR_UCONN_14910","grey60"
"280","FAGR_UCONN_02843","grey60"
"281","FAGR_UCONN_19285","grey60"
"282","FAGR_UCONN_20742","grey60"
"283","FAGR_UCONN_20798","grey60"
"284","FAGR_UCONN_04434","grey60"
"285","FAGR_UCONN_26293","grey60"
"286","FAGR_UCONN_30782","grey60"
"287","FAGR_UCONN_02947","grey60"
"288","FAGR_UCONN_13879","grey60"
"289","FAGR_UCONN_25257","grey60"
"290","FAGR_UCONN_21911","grey60"
"291","FAGR_UCONN_11569","grey60"
"292","FAGR_UCONN_07970","grey60"
"293","FAGR_UCONN_13276","grey60"
"294","FAGR_UCONN_17664","grey60"
"295","FAGR_UCONN_16156","grey60"
"296","FAGR_UCONN_05149","grey60"
"297","FAGR_UCONN_15757","grey60"
"298","FAGR_UCONN_00351","grey60"
"299","FAGR_UCONN_11424","grey60"
"300","FAGR_UCONN_27323","grey60"
"301","FAGR_UCONN_24074","grey60"
"302","FAGR_UCONN_21772","grey60"
"303","FAGR_UCONN_15775","grey60"
"304","FAGR_UCONN_02518","grey60"
"305","FAGR_UCONN_14718","grey60"
"306","FAGR_UCONN_12412","grey60"
"307","FAGR_UCONN_08468","grey60"
"308","FAGR_UCONN_20812","grey60"
"309","FAGR_UCONN_26272","grey60"
"310","FAGR_UCONN_15865","grey60"
"311","FAGR_UCONN_12361","grey60"
"312","FAGR_UCONN_02831","grey60"
"313","FAGR_UCONN_17624","grey60"
