"","gene","color"
"1","FAGR_UCONN_31595","greenyellow"
"2","FAGR_UCONN_18431","greenyellow"
"3","FAGR_UCONN_02813","greenyellow"
"4","FAGR_UCONN_09226","greenyellow"
"5","FAGR_UCONN_28369","greenyellow"
"6","FAGR_UCONN_18587","greenyellow"
"7","FAGR_UCONN_14722","greenyellow"
"8","FAGR_UCONN_18854","greenyellow"
"9","FAGR_UCONN_09866","greenyellow"
"10","FAGR_UCONN_09708","greenyellow"
"11","FAGR_UCONN_07992","greenyellow"
"12","FAGR_UCONN_17924","greenyellow"
"13","FAGR_UCONN_26301","greenyellow"
"14","FAGR_UCONN_03639","greenyellow"
"15","FAGR_UCONN_24230","greenyellow"
"16","FAGR_UCONN_21487","greenyellow"
"17","FAGR_UCONN_13823","greenyellow"
"18","FAGR_UCONN_04295","greenyellow"
"19","FAGR_UCONN_24115","greenyellow"
"20","FAGR_UCONN_23189","greenyellow"
"21","FAGR_UCONN_06288","greenyellow"
"22","FAGR_UCONN_05151","greenyellow"
"23","FAGR_UCONN_26567","greenyellow"
"24","FAGR_UCONN_16062","greenyellow"
"25","FAGR_UCONN_16114","greenyellow"
"26","FAGR_UCONN_23381","greenyellow"
"27","FAGR_UCONN_20066","greenyellow"
"28","FAGR_UCONN_31425","greenyellow"
"29","FAGR_UCONN_13750","greenyellow"
"30","FAGR_UCONN_04014","greenyellow"
"31","FAGR_UCONN_21081","greenyellow"
"32","FAGR_UCONN_20386","greenyellow"
"33","FAGR_UCONN_11157","greenyellow"
"34","FAGR_UCONN_17505","greenyellow"
"35","FAGR_UCONN_09799","greenyellow"
"36","FAGR_UCONN_08864","greenyellow"
"37","FAGR_UCONN_05971","greenyellow"
"38","FAGR_UCONN_24984","greenyellow"
"39","FAGR_UCONN_11151","greenyellow"
"40","FAGR_UCONN_04391","greenyellow"
"41","FAGR_UCONN_12378","greenyellow"
"42","FAGR_UCONN_18374","greenyellow"
"43","FAGR_UCONN_32538","greenyellow"
"44","FAGR_UCONN_15231","greenyellow"
"45","FAGR_UCONN_27320","greenyellow"
"46","FAGR_UCONN_23039","greenyellow"
"47","FAGR_UCONN_31572","greenyellow"
"48","FAGR_UCONN_25557","greenyellow"
"49","FAGR_UCONN_12929","greenyellow"
"50","FAGR_UCONN_29352","greenyellow"
"51","FAGR_UCONN_17495","greenyellow"
"52","FAGR_UCONN_17832","greenyellow"
"53","FAGR_UCONN_08470","greenyellow"
"54","FAGR_UCONN_29024","greenyellow"
"55","FAGR_UCONN_31659","greenyellow"
"56","FAGR_UCONN_09767","greenyellow"
"57","FAGR_UCONN_29338","greenyellow"
"58","FAGR_UCONN_21546","greenyellow"
"59","FAGR_UCONN_14582","greenyellow"
"60","FAGR_UCONN_07254","greenyellow"
"61","FAGR_UCONN_13416","greenyellow"
"62","FAGR_UCONN_02898","greenyellow"
"63","FAGR_UCONN_29915","greenyellow"
"64","FAGR_UCONN_10508","greenyellow"
"65","FAGR_UCONN_05906","greenyellow"
"66","FAGR_UCONN_32961","greenyellow"
"67","FAGR_UCONN_04797","greenyellow"
"68","FAGR_UCONN_12271","greenyellow"
"69","FAGR_UCONN_17769","greenyellow"
"70","FAGR_UCONN_03990","greenyellow"
"71","FAGR_UCONN_29105","greenyellow"
"72","FAGR_UCONN_16150","greenyellow"
"73","FAGR_UCONN_32707","greenyellow"
"74","FAGR_UCONN_09782","greenyellow"
"75","FAGR_UCONN_26492","greenyellow"
"76","FAGR_UCONN_30620","greenyellow"
"77","FAGR_UCONN_10589","greenyellow"
"78","FAGR_UCONN_18147","greenyellow"
"79","FAGR_UCONN_28924","greenyellow"
"80","FAGR_UCONN_18339","greenyellow"
"81","FAGR_UCONN_01390","greenyellow"
"82","FAGR_UCONN_28881","greenyellow"
"83","FAGR_UCONN_09244","greenyellow"
"84","FAGR_UCONN_08083","greenyellow"
"85","FAGR_UCONN_13368","greenyellow"
"86","FAGR_UCONN_15894","greenyellow"
