"","gene","color"
"1","FAGR_UCONN_10436","green"
"2","FAGR_UCONN_03746","green"
"3","FAGR_UCONN_25104","green"
"4","FAGR_UCONN_17505","green"
"5","FAGR_UCONN_32239","green"
"6","FAGR_UCONN_31285","green"
"7","FAGR_UCONN_14779","green"
"8","FAGR_UCONN_29864","green"
"9","FAGR_UCONN_11848","green"
"10","FAGR_UCONN_11017","green"
"11","FAGR_UCONN_09694","green"
"12","FAGR_UCONN_17564","green"
"13","FAGR_UCONN_24177","green"
"14","FAGR_UCONN_16651","green"
"15","FAGR_UCONN_12028","green"
"16","FAGR_UCONN_13309","green"
"17","FAGR_UCONN_24284","green"
"18","FAGR_UCONN_00567","green"
"19","FAGR_UCONN_05990","green"
"20","FAGR_UCONN_24289","green"
"21","FAGR_UCONN_12461","green"
"22","FAGR_UCONN_26310","green"
"23","FAGR_UCONN_01562","green"
"24","FAGR_UCONN_17542","green"
"25","FAGR_UCONN_06662","green"
"26","FAGR_UCONN_02808","green"
"27","FAGR_UCONN_28786","green"
"28","FAGR_UCONN_04194","green"
"29","FAGR_UCONN_12385","green"
"30","FAGR_UCONN_00140","green"
"31","FAGR_UCONN_18442","green"
"32","FAGR_UCONN_33018","green"
"33","FAGR_UCONN_25557","green"
"34","FAGR_UCONN_21088","green"
"35","FAGR_UCONN_24663","green"
"36","FAGR_UCONN_24775","green"
"37","FAGR_UCONN_30037","green"
"38","FAGR_UCONN_05187","green"
"39","FAGR_UCONN_10342","green"
"40","FAGR_UCONN_17031","green"
"41","FAGR_UCONN_26572","green"
"42","FAGR_UCONN_31944","green"
"43","FAGR_UCONN_08931","green"
"44","FAGR_UCONN_22413","green"
"45","FAGR_UCONN_19289","green"
"46","FAGR_UCONN_00051","green"
"47","FAGR_UCONN_28777","green"
"48","FAGR_UCONN_14479","green"
"49","FAGR_UCONN_28932","green"
"50","FAGR_UCONN_12009","green"
"51","FAGR_UCONN_11001","green"
"52","FAGR_UCONN_26036","green"
"53","FAGR_UCONN_03252","green"
"54","FAGR_UCONN_24263","green"
"55","FAGR_UCONN_24070","green"
"56","FAGR_UCONN_16584","green"
"57","FAGR_UCONN_22250","green"
"58","FAGR_UCONN_09529","green"
"59","FAGR_UCONN_11969","green"
"60","FAGR_UCONN_06100","green"
"61","FAGR_UCONN_32445","green"
"62","FAGR_UCONN_09550","green"
"63","FAGR_UCONN_32007","green"
"64","FAGR_UCONN_24393","green"
"65","FAGR_UCONN_01155","green"
"66","FAGR_UCONN_07153","green"
"67","FAGR_UCONN_20439","green"
"68","FAGR_UCONN_31952","green"
"69","FAGR_UCONN_32115","green"
"70","FAGR_UCONN_05265","green"
"71","FAGR_UCONN_04690","green"
"72","FAGR_UCONN_06264","green"
"73","FAGR_UCONN_30228","green"
"74","FAGR_UCONN_11087","green"
"75","FAGR_UCONN_01852","green"
"76","FAGR_UCONN_07150","green"
"77","FAGR_UCONN_10825","green"
"78","FAGR_UCONN_22832","green"
"79","FAGR_UCONN_23762","green"
"80","FAGR_UCONN_18113","green"
"81","FAGR_UCONN_19618","green"
"82","FAGR_UCONN_18693","green"
"83","FAGR_UCONN_29952","green"
"84","FAGR_UCONN_13538","green"
"85","FAGR_UCONN_23820","green"
"86","FAGR_UCONN_14123","green"
"87","FAGR_UCONN_14141","green"
"88","FAGR_UCONN_19995","green"
"89","FAGR_UCONN_22244","green"
"90","FAGR_UCONN_19828","green"
"91","FAGR_UCONN_24347","green"
"92","FAGR_UCONN_03039","green"
"93","FAGR_UCONN_15567","green"
"94","FAGR_UCONN_12729","green"
"95","FAGR_UCONN_29468","green"
"96","FAGR_UCONN_08773","green"
"97","FAGR_UCONN_25086","green"
"98","FAGR_UCONN_28445","green"
"99","FAGR_UCONN_06267","green"
"100","FAGR_UCONN_13771","green"
"101","FAGR_UCONN_17879","green"
"102","FAGR_UCONN_32042","green"
"103","FAGR_UCONN_28186","green"
"104","FAGR_UCONN_09710","green"
"105","FAGR_UCONN_04987","green"
"106","FAGR_UCONN_31824","green"
"107","FAGR_UCONN_22714","green"
"108","FAGR_UCONN_28762","green"
"109","FAGR_UCONN_19274","green"
"110","FAGR_UCONN_29406","green"
"111","FAGR_UCONN_22639","green"
"112","FAGR_UCONN_00186","green"
"113","FAGR_UCONN_02137","green"
"114","FAGR_UCONN_26286","green"
"115","FAGR_UCONN_15942","green"
"116","FAGR_UCONN_25093","green"
"117","FAGR_UCONN_01696","green"
"118","FAGR_UCONN_04297","green"
"119","FAGR_UCONN_18649","green"
"120","FAGR_UCONN_29999","green"
"121","FAGR_UCONN_19444","green"
"122","FAGR_UCONN_32811","green"
"123","FAGR_UCONN_31400","green"
"124","FAGR_UCONN_23936","green"
"125","FAGR_UCONN_26864","green"
"126","FAGR_UCONN_23498","green"
"127","FAGR_UCONN_31542","green"
"128","FAGR_UCONN_11737","green"
"129","FAGR_UCONN_03578","green"
"130","FAGR_UCONN_28738","green"
"131","FAGR_UCONN_06378","green"
"132","FAGR_UCONN_07172","green"
"133","FAGR_UCONN_30864","green"
"134","FAGR_UCONN_19801","green"
"135","FAGR_UCONN_27056","green"
"136","FAGR_UCONN_03894","green"
"137","FAGR_UCONN_31918","green"
"138","FAGR_UCONN_00412","green"
"139","FAGR_UCONN_22905","green"
"140","FAGR_UCONN_14850","green"
"141","FAGR_UCONN_32854","green"
"142","FAGR_UCONN_31713","green"
"143","FAGR_UCONN_14208","green"
"144","FAGR_UCONN_30318","green"
"145","FAGR_UCONN_04206","green"
"146","FAGR_UCONN_25699","green"
"147","FAGR_UCONN_10734","green"
"148","FAGR_UCONN_27912","green"
"149","FAGR_UCONN_02346","green"
"150","FAGR_UCONN_14502","green"
"151","FAGR_UCONN_10997","green"
"152","FAGR_UCONN_32030","green"
"153","FAGR_UCONN_22553","green"
"154","FAGR_UCONN_17618","green"
"155","FAGR_UCONN_32692","skyblue"
"156","FAGR_UCONN_06814","skyblue"
"157","FAGR_UCONN_30776","skyblue"
"158","FAGR_UCONN_24463","skyblue"
"159","FAGR_UCONN_13527","skyblue"
"160","FAGR_UCONN_28207","skyblue"
"161","FAGR_UCONN_31763","skyblue"
"162","FAGR_UCONN_26244","skyblue"
"163","FAGR_UCONN_32145","skyblue"
"164","FAGR_UCONN_30397","skyblue"
"165","FAGR_UCONN_27647","skyblue"
"166","FAGR_UCONN_03019","skyblue"
"167","FAGR_UCONN_30391","skyblue"
"168","FAGR_UCONN_16468","skyblue"
"169","FAGR_UCONN_25084","skyblue"
"170","FAGR_UCONN_07675","skyblue"
"171","FAGR_UCONN_26531","skyblue"
"172","FAGR_UCONN_32861","skyblue"
"173","FAGR_UCONN_14189","skyblue"
"174","FAGR_UCONN_32106","skyblue"
"175","FAGR_UCONN_06894","skyblue"
"176","FAGR_UCONN_08728","skyblue"
"177","FAGR_UCONN_15185","skyblue"
"178","FAGR_UCONN_23154","skyblue"
"179","FAGR_UCONN_32674","skyblue"
"180","FAGR_UCONN_31100","skyblue"
"181","FAGR_UCONN_16855","skyblue"
"182","FAGR_UCONN_16111","skyblue"
"183","FAGR_UCONN_10670","skyblue"
"184","FAGR_UCONN_17949","skyblue"
"185","FAGR_UCONN_18411","skyblue"
"186","FAGR_UCONN_29382","skyblue"
"187","FAGR_UCONN_23449","skyblue"
"188","FAGR_UCONN_12797","skyblue"
"189","FAGR_UCONN_17715","skyblue"
"190","FAGR_UCONN_12373","skyblue"
"191","FAGR_UCONN_00454","skyblue"
"192","FAGR_UCONN_12515","skyblue"
"193","FAGR_UCONN_04303","skyblue"
"194","FAGR_UCONN_19877","skyblue"
"195","FAGR_UCONN_19539","skyblue"
"196","FAGR_UCONN_12623","skyblue"
"197","FAGR_UCONN_24386","skyblue"
"198","FAGR_UCONN_31659","skyblue"
"199","FAGR_UCONN_15774","skyblue"
"200","FAGR_UCONN_15373","skyblue"
"201","FAGR_UCONN_28796","skyblue"
"202","FAGR_UCONN_25020","skyblue"
"203","FAGR_UCONN_20260","skyblue"
"204","FAGR_UCONN_22456","skyblue"
"205","FAGR_UCONN_25748","skyblue"
"206","FAGR_UCONN_10204","skyblue"
"207","FAGR_UCONN_29470","skyblue"
"208","FAGR_UCONN_20798","skyblue"
"209","FAGR_UCONN_09147","skyblue"
"210","FAGR_UCONN_24486","skyblue"
"211","FAGR_UCONN_17892","skyblue"
"212","FAGR_UCONN_00049","skyblue"
"213","FAGR_UCONN_20151","skyblue"
"214","FAGR_UCONN_18446","skyblue"
"215","FAGR_UCONN_31408","skyblue"
"216","FAGR_UCONN_26056","skyblue"
"217","FAGR_UCONN_10610","skyblue"
"218","FAGR_UCONN_27269","skyblue"
"219","FAGR_UCONN_13327","skyblue"
"220","FAGR_UCONN_15724","skyblue"
"221","FAGR_UCONN_04527","skyblue"
"222","FAGR_UCONN_00496","skyblue"
"223","FAGR_UCONN_15654","skyblue"
"224","FAGR_UCONN_24253","skyblue"
"225","FAGR_UCONN_30970","skyblue"
"226","FAGR_UCONN_27851","skyblue"
"227","FAGR_UCONN_22666","skyblue"
"228","FAGR_UCONN_10230","skyblue"
"229","FAGR_UCONN_03086","skyblue"
"230","FAGR_UCONN_23516","skyblue"
"231","FAGR_UCONN_10906","skyblue"
"232","FAGR_UCONN_17292","skyblue"
"233","FAGR_UCONN_11711","skyblue"
"234","FAGR_UCONN_25574","skyblue"
