"","gene","color"
"1","FAGR_UCONN_29675","midnightblue"
"2","FAGR_UCONN_29795","midnightblue"
"3","FAGR_UCONN_26072","midnightblue"
"4","FAGR_UCONN_01744","midnightblue"
"5","FAGR_UCONN_27229","midnightblue"
"6","FAGR_UCONN_31938","midnightblue"
"7","FAGR_UCONN_12517","midnightblue"
"8","FAGR_UCONN_15953","midnightblue"
"9","FAGR_UCONN_09390","midnightblue"
"10","FAGR_UCONN_27334","midnightblue"
"11","FAGR_UCONN_18369","midnightblue"
"12","FAGR_UCONN_21219","midnightblue"
"13","FAGR_UCONN_18141","midnightblue"
"14","FAGR_UCONN_00067","midnightblue"
"15","FAGR_UCONN_11098","midnightblue"
"16","FAGR_UCONN_19980","midnightblue"
"17","FAGR_UCONN_15850","midnightblue"
"18","FAGR_UCONN_31810","midnightblue"
"19","FAGR_UCONN_00070","midnightblue"
"20","FAGR_UCONN_14223","midnightblue"
"21","FAGR_UCONN_11810","midnightblue"
"22","FAGR_UCONN_14414","midnightblue"
"23","FAGR_UCONN_28042","midnightblue"
"24","FAGR_UCONN_21042","midnightblue"
"25","FAGR_UCONN_14162","midnightblue"
"26","FAGR_UCONN_25595","midnightblue"
"27","FAGR_UCONN_31476","midnightblue"
"28","FAGR_UCONN_09228","midnightblue"
"29","FAGR_UCONN_26309","midnightblue"
"30","FAGR_UCONN_29185","midnightblue"
"31","FAGR_UCONN_15093","midnightblue"
"32","FAGR_UCONN_23774","midnightblue"
"33","FAGR_UCONN_27323","midnightblue"
"34","FAGR_UCONN_11053","midnightblue"
"35","FAGR_UCONN_32377","midnightblue"
"36","FAGR_UCONN_04294","midnightblue"
"37","FAGR_UCONN_16440","midnightblue"
"38","FAGR_UCONN_08635","midnightblue"
"39","FAGR_UCONN_27037","midnightblue"
"40","FAGR_UCONN_24717","midnightblue"
"41","FAGR_UCONN_32328","midnightblue"
"42","FAGR_UCONN_09203","midnightblue"
"43","FAGR_UCONN_18010","midnightblue"
"44","FAGR_UCONN_32921","midnightblue"
"45","FAGR_UCONN_32435","midnightblue"
"46","FAGR_UCONN_24498","midnightblue"
"47","FAGR_UCONN_07889","midnightblue"
"48","FAGR_UCONN_03384","midnightblue"
"49","FAGR_UCONN_10204","midnightblue"
"50","FAGR_UCONN_04357","midnightblue"
"51","FAGR_UCONN_31860","midnightblue"
"52","FAGR_UCONN_15439","midnightblue"
"53","FAGR_UCONN_02530","midnightblue"
"54","FAGR_UCONN_23068","midnightblue"
"55","FAGR_UCONN_15806","midnightblue"
"56","FAGR_UCONN_18146","midnightblue"
"57","FAGR_UCONN_30920","midnightblue"
"58","FAGR_UCONN_14774","midnightblue"
"59","FAGR_UCONN_17831","midnightblue"
"60","FAGR_UCONN_23811","midnightblue"
