"","gene","color"
"1","FAGR_UCONN_09020","green"
"2","FAGR_UCONN_10574","green"
"3","FAGR_UCONN_11050","green"
"4","FAGR_UCONN_15828","green"
"5","FAGR_UCONN_22748","green"
"6","FAGR_UCONN_08675","green"
"7","FAGR_UCONN_03594","green"
"8","FAGR_UCONN_25837","green"
"9","FAGR_UCONN_18347","green"
"10","FAGR_UCONN_14441","green"
"11","FAGR_UCONN_18681","green"
"12","FAGR_UCONN_32039","green"
"13","FAGR_UCONN_12678","green"
"14","FAGR_UCONN_17697","green"
"15","FAGR_UCONN_04342","green"
"16","FAGR_UCONN_15219","green"
"17","FAGR_UCONN_17767","green"
"18","FAGR_UCONN_05104","green"
"19","FAGR_UCONN_21168","green"
"20","FAGR_UCONN_11956","green"
"21","FAGR_UCONN_12141","green"
"22","FAGR_UCONN_22899","green"
"23","FAGR_UCONN_28700","green"
"24","FAGR_UCONN_16343","green"
"25","FAGR_UCONN_06556","green"
"26","FAGR_UCONN_10744","green"
"27","FAGR_UCONN_14756","green"
"28","FAGR_UCONN_18141","green"
"29","FAGR_UCONN_25385","green"
"30","FAGR_UCONN_31581","green"
"31","FAGR_UCONN_24987","green"
"32","FAGR_UCONN_28382","green"
"33","FAGR_UCONN_25945","green"
"34","FAGR_UCONN_22981","green"
"35","FAGR_UCONN_01469","green"
"36","FAGR_UCONN_19632","green"
"37","FAGR_UCONN_09580","green"
"38","FAGR_UCONN_18964","green"
"39","FAGR_UCONN_32963","green"
"40","FAGR_UCONN_27847","green"
"41","FAGR_UCONN_15262","green"
"42","FAGR_UCONN_12671","green"
"43","FAGR_UCONN_08011","green"
"44","FAGR_UCONN_28067","green"
"45","FAGR_UCONN_29591","green"
"46","FAGR_UCONN_21237","green"
"47","FAGR_UCONN_31344","green"
"48","FAGR_UCONN_00232","green"
"49","FAGR_UCONN_27935","green"
"50","FAGR_UCONN_12989","green"
"51","FAGR_UCONN_16940","green"
"52","FAGR_UCONN_14822","green"
"53","FAGR_UCONN_23380","green"
"54","FAGR_UCONN_15427","green"
"55","FAGR_UCONN_08969","green"
"56","FAGR_UCONN_18884","green"
"57","FAGR_UCONN_12373","green"
"58","FAGR_UCONN_26867","green"
"59","FAGR_UCONN_14915","green"
"60","FAGR_UCONN_20657","green"
"61","FAGR_UCONN_31216","green"
"62","FAGR_UCONN_14581","green"
"63","FAGR_UCONN_31676","green"
"64","FAGR_UCONN_29198","green"
"65","FAGR_UCONN_20572","green"
"66","FAGR_UCONN_09610","green"
"67","FAGR_UCONN_08499","green"
"68","FAGR_UCONN_28596","green"
"69","FAGR_UCONN_12116","green"
"70","FAGR_UCONN_11998","green"
"71","FAGR_UCONN_05098","green"
"72","FAGR_UCONN_16416","green"
"73","FAGR_UCONN_20400","green"
"74","FAGR_UCONN_17492","green"
"75","FAGR_UCONN_12392","green"
"76","FAGR_UCONN_12553","green"
"77","FAGR_UCONN_29121","green"
"78","FAGR_UCONN_30155","green"
"79","FAGR_UCONN_06644","green"
