sample,ME_lightgreen,ME_black,ME_lightcyan,ME_blue,ME_midnightblue,ME_grey60,ME_tan,ME_purple,ME_red,ME_salmon,ME_cyan,ME_pink,ME_green,ME_greenyellow,ME_magenta,ME_yellow,ME_grey,SITE,YEAR,TREE_ID,RGR,growth,Site,Year,Season
H172Fg01,0.044071712654117634,0.007016783745272491,0.12221470232044576,0.1818190197984929,0.1874650564017889,-0.06892703544550019,-0.02815026778343516,-0.09814022814339499,-0.11934404301590266,0.044791449701666014,0.02126051791512321,0.11136955849786795,0.139792724067569,0.05195702438825475,-0.08507018746583672,0.034718454487776294,-0.10848418526239183,HF,2017,30156,0.01246118,0.1304071,HF,2017,Summer
H172Fg02,-0.1426348066129445,-0.011497043254529191,-0.05825058643182824,0.2840378474638135,-0.2990146725730252,-0.10217444538719452,0.23664382468617712,-0.12750093173625698,-0.17055054724240448,0.15104401217706193,-0.35804776761598317,-0.016093631943630518,0.11285497519077702,-0.5589223678615999,-0.15045415510606128,-0.04072702232405619,0.1866325637282845,HF,2017,10481,0.009235177,0.177208877,HF,2017,Summer
H172Fg07,-0.19338335361593556,-0.018042362983252708,-0.01790560274973565,0.18591714664065181,0.08150480703633006,-0.10979147895270855,0.11513627121148061,0.06549942719201957,-0.05986096228855446,0.08245537538341471,-0.09031968512520175,-0.05261480912976201,0.10906331322298843,-0.10408945214551445,-0.1493569857716344,-0.04423191126276088,-0.005156272876345711,HF,2017,81099,0.021030121,0.144519244,HF,2017,Summer
H172Fg09,-0.048605775549515486,0.03708385845993711,0.13456089317362963,0.2523538609369278,0.1932502936576472,-0.06922915968809831,0.14200043966738285,0.054679983181634854,0.008862519366190457,0.16025428978598427,-0.016536211064048234,0.027298069023887525,0.17895269787516999,-0.023043817075347046,-0.13781133797918454,-0.02068498410099056,-0.08672047261946637,HF,2017,60850,0.019897924,0.116563789,HF,2017,Summer
H172Fg14,0.22923317068566937,-0.0319005566089575,-0.002313274881986494,0.18008129939346773,0.09546197424326945,-0.12310584676081172,0.14062680881287537,0.1978751223716226,-0.0816730480536225,0.1201407704538575,-0.09016538147606597,-0.08668012793561103,0.05480009482450699,-0.0991726750085298,-0.19402165815645703,-0.11621774106133627,-0.15186970819272286,HF,2017,150496,0.009089832,0.185359054,HF,2017,Summer
H172Fg24,0.29353774343187383,0.9313137765069559,0.14506305354452514,0.16208158672632658,0.355818927578592,-0.15523015113606697,-0.2030918512188446,-0.10724026114548445,-0.013428510200929219,0.06294136728988498,-0.1759540240568196,-0.029280410815428846,0.09250922543163134,-0.0881417481654692,-0.11082520066612753,-0.16330627680224144,-0.12813933942127154,HF,2017,141939,0.001212585,0.046712676,HF,2017,Summer
H172Fg25,0.14032831621898637,0.06515665241858708,0.20771623725664312,0.2674701506578857,0.2157922168275967,-0.11432047381456471,0.15333891712623454,0.05221862028149198,-0.0270347284121069,0.1648615534794966,-0.02587636894820136,0.040185113586318336,0.1949376203117664,0.02727797296617122,-0.15296351844699613,-0.02559004198146136,-0.045252919230950775,HF,2017,121716,9.98443e-4,0.048144357,HF,2017,Summer
H172Fg28,-0.18959354910124662,0.06344236291530633,0.0394421675555381,0.15110581104800538,0.1746767136726025,-0.034273464737609886,0.12756755698634828,-0.03340064473426684,-0.10673398197288496,0.08028336566605848,0.02920463583281901,0.07079054836948785,0.08226716693969055,-0.0031556021661495377,-0.09588398416830243,0.017039705730269625,-0.06647358581993047,HF,2017,260845,0.005818461,0.042599623,HF,2017,Summer
H172Fg29,0.18891182819680744,0.01563921537339654,0.09353691498341206,0.1452035197368933,0.26355482683948683,-0.033534846189416365,-0.15324892712812302,-0.13073605805461055,-0.16267360314178808,0.04090265208139629,-0.09874394199060875,-0.030217386628739892,0.021765262414348677,-0.052406793338800696,-0.24915523265226389,-0.15333006920592993,-0.11539422882832266,HF,2017,271124,3.12437e-4,0.007780705,HF,2017,Summer
H172Fg30,-0.026821698435494788,-0.018945208603450586,0.11199736046763954,0.13986443648454852,0.16313193741916834,-0.08359530017733025,0.11768242244186274,-0.1418964419354571,-0.12283855241964947,0.037915915029976224,-0.008723429019410306,0.02632718005266007,0.05540479136022207,-0.009361590472410537,-0.18829573971262456,-0.0646586895842646,-0.04324922610638931,HF,2017,281050,0.002839708,0.114597912,HF,2017,Summer
H172Fg32,0.05078478181726483,-0.005227528088880384,0.13585818209515088,0.08717773594512294,0.15680973240847598,-0.11124074431692592,0.028584170846915547,-0.13724180163414254,-0.16315463148032383,-0.01837110227577449,-0.06312761307333989,-0.04159885416666156,-0.031339699704218585,-0.05007115594065147,-0.19247853638538076,-0.08731828323818226,-0.031713073271663075,HF,2017,281525,2.77036e-4,0.010498748,HF,2017,Summer
H172Fg36,0.1853332276146411,-0.011904233446259582,0.010073708626746388,0.11978279346504113,0.13792757751188672,-0.09051934157510644,0.11805560477000639,0.006588707160408174,-0.1246450598841508,0.03795601136456669,-0.00884173336013224,0.0401306364405417,0.1024242575407738,0.008774746917765358,-0.13888303166283447,-0.029056522151804702,-0.039311720051145256,HF,2017,241504,0.004337798,0.078684675,HF,2017,Summer
H172Fg37,0.17647393480230014,-0.0050234538386810966,-0.18818287004207754,0.0668017129810551,0.08121327954051381,-0.1617105634790647,-0.2677954514289325,-0.19079098610054937,-0.20381954162787982,0.023795868827205614,-0.0899361309635424,0.1194242573829015,0.05555200296550791,-0.023862643606942287,-0.16423620541036305,0.09187426442708987,0.24495736370204904,HF,2017,220932,3.31343e-4,0.009875665,HF,2017,Summer
H172Fg42,-0.0010574537000331487,-0.12606943308808657,0.6447710743961254,0.0033806119587285865,-0.281493337844709,-0.06151445043034417,-0.03716810652959219,-0.31977909335975674,-0.2984982969319361,-0.6027239128417635,-0.4476303379487348,-0.463807235001862,-0.6054170773081557,-0.6455780733050798,-0.31031314696581785,-0.5597402631203152,0.6832832371074884,HF,2017,331632,7.81569e-4,0.048633394,HF,2017,Summer
H172Fg43,0.1554775001882287,-0.02737771712664316,0.23584667558468522,0.09171879617598758,0.11200463168390318,-0.1164751921480191,-0.13994253819865926,-0.15571004056175888,-0.175023082228289,-0.0038585972383913814,-0.07814169597760744,-0.051781961353910284,-0.022181025446049284,-0.0728767158595311,-0.179483543288362,-0.08492300889548912,-0.1020530135055045,HF,2017,321651,0.010753296,0.157859156,HF,2017,Summer
H172Fg45,-0.09383276718618377,-0.012560740057692879,0.07625798103512321,0.12329473970658665,0.08944271443835203,-0.037874207631966895,0.15642318671965164,0.2412867152014451,-0.01634760042398317,0.06048979319295713,-0.023722384264885897,0.021072964025995136,0.06809228814913214,0.006859104412843878,-0.11033718944816855,-0.03641173953989054,-0.06677199533768946,HF,2017,351005,0.008636464,0.102353942,HF,2017,Summer
