sample,MEdarkred,MEcyan,MElightcyan,MEtan,MEturquoise,MEskyblue,MEwhite,MEgreenyellow,MElightgreen,MEorange,MEred,MEsaddlebrown,MEmagenta,MEpurple,MEsteelblue,MEroyalblue,MEpink,MEsalmon,MEdarkgreen,MEblack,MEgreen,MEdarkgrey,MEdarkorange,MEdarkturquoise,MEmidnightblue,MEgrey60,MEyellow,MEblue,MEbrown,MElightyellow,MEgrey,RGR.change,growth.change
S201Fg02,0.068015296,0.125924296,-0.142675137,-0.001530813,-0.085334815,0.049827492,0.161750013,0.196270968,0.061871005,-0.099611161,-0.068378298,-0.07477586,-0.022086268,0.005298272,-0.117056602,0.036171783,-0.914226667,-0.445532261,-0.124643766,0.041160964,-0.199114292,-0.131156463,0.128405438,0.090438571,-0.121515114,0.900687227,0.53691633,0.072293887,0.285448395,0.251824079,0.02282557,-2.108E-06,-4.489E-05
S201Fg04,0.050746271,0.081355805,-0.168075955,-0.288639707,-0.085821027,-0.076151761,0.118387486,0.165117927,-0.92455967,-0.255048539,-0.216745206,-0.096651951,-0.0225823,-0.264421351,0.001451575,0.105231054,0.154810986,0.215989663,0.942103143,0.23191866,0.52899587,-0.115247353,0.144131075,0.06038142,-0.207353744,-0.105702032,0.004311112,0.041337129,-0.082616027,0.169588144,0.066133209,-0.003139634,-0.02928194
S201Fg06,0.116996247,0.144590309,0.13850549,0.677423552,0.954634422,0.046572091,0.125447883,0.099933583,0.132462398,0.032775142,-0.040514008,-0.074284859,-0.75192544,-0.4975608,-0.09792771,0.071191404,0.115354399,0.592969356,-0.026236102,-0.012826746,-0.048288749,0.057154337,0.030219605,0.104118249,0.058312093,-0.304971178,-0.26148381,0.077672464,0.306632621,0.563091665,-0.837110669,-0.002208823,-0.05764674
S201Fg07,0.142998143,0.091845875,-0.085043607,0.028434007,-0.083568565,-0.023357239,0.03593466,0.061674726,0.133366479,0.914389274,0.023085139,-0.043996601,0.103353812,0.144951467,-0.12417215,0.097236658,0.128293924,0.11423458,-0.011844707,-0.010073865,0.252375505,-0.13514359,-0.947046001,0.077532895,-0.054216974,-0.101300789,-0.229026902,0.067480787,-0.219760231,-0.110205252,-6.91E-04,-0.003528302,-0.07273562
S201Fg08,0.118979981,-0.923179297,-0.023676635,-0.200574458,-0.105665023,-0.135742148,0.099995688,0.194699681,0.100947833,-0.117388162,0.069423031,-0.033765002,-0.245646238,-0.15870265,0.011004982,0.054020723,0.184861883,0.006506865,-0.064884816,0.249056347,0.293367616,0.048777696,0.131072594,0.136923382,0.896797345,0.002762943,0.474381718,0.166181773,0.349558058,0.22535108,0.358870315,0.000597913,0.003838473
S201Fg10,0.098737201,0.209881877,0.914969194,0.473484319,-0.047085686,-0.220368885,0.100423237,0.037578562,0.05410657,0.019511971,-0.082663862,-0.176270201,0.112473981,0.295573344,-0.165975684,0.057297915,0.047965189,-0.158438039,-0.040743592,-0.904872458,-0.491420019,-0.133810217,0.006709873,0.091461891,0.022794517,-0.120072795,-0.042430897,0.064000518,0.194502643,0.105091609,-0.041884681,-0.000341542,-0.02976091
S201Fg20,-0.949660162,-0.067565975,-0.101882925,-0.356197054,-0.093841478,-0.182911374,0.051120835,-0.007934942,0.138680584,-0.180641305,-0.134036699,-0.082832671,-0.04803366,-0.257351723,0.919887997,0.057766634,0.051986918,-0.06331426,-0.156794297,0.147246584,-0.082754343,-0.117793556,0.064244027,0.087234882,-0.088736161,-0.118540105,0.218627693,0.022650883,0.259242265,-0.074984512,0.269567103,-0.000232188,-0.01745099
S201Fg23,0.041345037,-0.06423259,-0.160276017,-0.193560197,-0.12859387,-0.15629948,-0.949636282,0.008855632,0.086776794,-0.189373224,-0.089986668,-0.302823392,0.016116732,-0.072112382,-0.148522486,0.060415117,-0.038512081,-0.24918678,-0.163646869,0.106817409,-0.197892659,-0.157360766,0.090315541,0.052409918,-0.034453888,0.046072693,0.072375297,0.016154564,-0.008292432,-0.204346543,0.148155389,-0.000962446,-0.03544922
S201Fg25,0.120848719,0.138249603,-0.005993105,-0.065946155,-0.092630228,-0.161629334,0.075222139,0.098117668,0.072257881,-0.046184207,0.9152215,0.07410726,0.534582536,0.105388332,0.001948382,0.11685933,0.245076798,0.151710785,-0.067746832,0.101018214,-0.088798209,-0.066775021,0.074613499,0.168329089,0.098917361,-0.112106114,-0.26775899,-0.940996727,-0.401734638,-0.640596448,0.132854687,0.00040313,0.01924965
S201Fg27,0.010538084,0.072967038,-0.167687278,0.017883876,-0.062747716,-0.009834187,0.043489678,-0.931375302,-0.083600586,-0.050669547,-0.219127919,-0.081754948,-0.020777657,-0.190774328,0.057414557,0.18359878,0.008261751,0.304639178,-0.042887371,0.129963945,0.156606999,0.931488332,0.138843474,0.094688515,-0.148135625,-0.134513436,0.093251017,0.103747963,0.158780018,0.039265903,-0.007124105,-0.00183246,-0.05607914
S201Fg29,0.100115428,0.11328515,-0.057906049,-0.143941251,-0.111697991,-0.04440104,0.04409851,0.059808874,0.232201173,-0.006599677,-0.005349028,0.91337269,0.202346639,0.575623367,-0.119402358,-0.949006621,0.077113668,-0.42566401,-0.159857867,-0.032975778,-0.378507906,-0.108908335,0.047051524,-0.016803427,-0.187449433,0.10105016,-0.139718848,0.208892213,-0.396427072,-0.211940146,0.094641385,1.8894E-05,0.00165922
