"","logFC","logCPM","LR","PValue","FDR"
"FAGR_UCONN_05743",-3.63592966463329,5.05148301661948,219.816915784018,9.91560004700615e-50,2.14593416217307e-45
"FAGR_UCONN_21767",-3.56181225097881,4.90254201071025,209.629286026031,1.65479964512338e-47,1.790658695988e-43
"FAGR_UCONN_07014",-3.89108101178175,5.0668524936814,186.25850959924,2.08477580533694e-42,1.50395726597007e-38
"FAGR_UCONN_08028",-4.08529949057698,6.76542794342381,181.15116747101,2.71692772299502e-41,1.46999374452646e-37
"FAGR_UCONN_03128",-4.07610886337315,7.69820029181944,178.512437836168,1.02381805033652e-40,4.43149404907657e-37
"FAGR_UCONN_07246",-4.39723626756005,6.61229644517702,178.081029367358,1.27180819087237e-40,4.58741214447664e-37
"FAGR_UCONN_04760",-4.07361980889026,6.94644938982302,176.525717403128,2.7799517010267e-40,8.59481638765997e-37
"FAGR_UCONN_04499",-4.08972236317802,4.54981186965539,159.533109257623,1.43106461584477e-36,3.87138755201406e-33
"FAGR_UCONN_17187",-1.69658617187413,6.27074780335854,155.657090312256,1.00600767103084e-35,2.41911311293882e-32
"FAGR_UCONN_32003",-3.32444873238245,6.4630685593731,154.554307134554,1.75223446979236e-35,3.79218583952462e-32
"FAGR_UCONN_12484",-4.60054403286503,6.08409688597342,149.653697948893,2.06373382986485e-34,4.06030250417591e-31
"FAGR_UCONN_26535",-1.92396113635624,6.79269186577274,145.18897282583,1.95275150118316e-33,3.52178733238383e-30
"FAGR_UCONN_01505",-3.22590567796057,8.71920191287195,131.693617214614,1.7458811741644e-30,2.84959665114796e-27
"FAGR_UCONN_31394",-1.88395375300721,7.02212411551637,131.585745623249,1.84337644931482e-30,2.84959665114796e-27
"FAGR_UCONN_17663",-2.50840444773692,6.66813664577403,126.477306667896,2.41750378560045e-29,3.48797446186433e-26
"FAGR_UCONN_07521",-3.51409715524203,3.5568518808541,124.003799150765,8.40824572852674e-29,1.13732033785485e-25
"FAGR_UCONN_01079",-3.36198060555039,6.84143839629748,119.079106798694,1.00635045178661e-27,1.21983779914164e-24
"FAGR_UCONN_31199",-1.69640743730545,7.82250527411314,119.062993118856,1.01455874616716e-27,1.21983779914164e-24
"FAGR_UCONN_28457",-1.92596333746521,5.38842759240803,118.067223332681,1.67610045004865e-27,1.90916662841857e-24
"FAGR_UCONN_02333",-3.23054825839158,3.46628290783703,113.310415221357,1.84505544576324e-26,1.9965344978604e-23
"FAGR_UCONN_04851",-3.71160447258043,4.641611779712,112.597298549716,2.64367707267132e-26,2.72449805746441e-23
"FAGR_UCONN_26930",-2.10885692616838,4.49907625219704,112.50140649303,2.77468035425103e-26,2.72952873757731e-23
"FAGR_UCONN_08210",-3.67265422878742,5.16661055235263,108.95558474389,1.6596338784318e-25,1.56164332160961e-22
"FAGR_UCONN_14166",-3.37383328576297,3.78229954727627,108.424907686914,2.16914657726479e-25,1.95602792604853e-22
"FAGR_UCONN_23783",-3.73785822107422,12.2550308890173,107.918988474519,2.79991917187549e-25,2.42383402870917e-22
"FAGR_UCONN_07733",-3.11205308480909,7.11498017493047,105.139957111923,1.13806699510509e-24,9.47309458002475e-22
"FAGR_UCONN_22451",-2.67785385973282,5.43310461240056,103.402035865991,2.73593435189692e-24,2.19300337939826e-21
"FAGR_UCONN_19800",-1.98799820389318,5.86993912521484,101.630368043922,6.69115923354312e-24,5.17178814758358e-21
"FAGR_UCONN_07741",-1.98853223826882,8.87516848582567,100.631146042201,1.1081147390768e-23,8.26959282175862e-21
"FAGR_UCONN_20805",1.48457673987134,7.04796960044924,100.521222210819,1.17135144261886e-23,8.45012930705243e-21
"FAGR_UCONN_15418",-1.424127462019,7.54448069100895,98.2618495193523,3.66560355311833e-23,2.55906426118022e-20
"FAGR_UCONN_05563",-3.18708953909864,5.78303945087614,96.168422371502,1.05514473870709e-22,7.08655277094914e-20
"FAGR_UCONN_31750",-2.18641679540035,8.87324780165434,96.1212875960659,1.08056668256779e-22,7.08655277094914e-20
"FAGR_UCONN_09109",-2.29084063550721,5.00882159515147,94.6605291282794,2.26000938993174e-22,1.43856244755596e-19
"FAGR_UCONN_07416",-2.08665694406189,4.63420064633088,94.3714749840027,2.61534076897381e-22,1.61717728348946e-19
"FAGR_UCONN_25212",-1.55566577581686,6.41209460634295,94.167814189018,2.89876045115055e-22,1.71794016534367e-19
"FAGR_UCONN_32637",-1.73882762371662,7.3781428581294,94.1070299565003,2.98915775021167e-22,1.71794016534367e-19
"FAGR_UCONN_04376",-1.8392455906424,6.83997206941682,94.0890479446508,3.01643684886145e-22,1.71794016534367e-19
"FAGR_UCONN_00626",-2.62912487217503,4.13031843182988,93.8051476983041,3.48165163480994e-22,1.93204883796299e-19
"FAGR_UCONN_28691",-2.81126535784693,7.17489228340196,93.601962622892,3.8580486444484e-22,2.08739721907881e-19
"FAGR_UCONN_15561",-2.00971433267545,5.65792476858857,93.2057277662104,4.71315189999661e-22,2.48785447365187e-19
"FAGR_UCONN_22010",-1.82715359205922,8.10901557896865,92.9394575249788,5.39187524672038e-22,2.77835628784577e-19
"FAGR_UCONN_03718",-2.97163028306948,4.75421390587736,91.8389664850996,9.40246697663153e-22,4.73228349554092e-19
"FAGR_UCONN_32087",-1.97998417448796,9.87682759983909,91.3967633778391,1.1756860486953e-21,5.78277215133265e-19
"FAGR_UCONN_12181",-1.33401528968031,6.36123498209997,90.8272673623633,1.56777905431957e-21,7.53997206524093e-19
"FAGR_UCONN_07108",-3.07350695203635,4.64514537564659,90.5611957890742,1.79343352865733e-21,8.43771487547869e-19
"FAGR_UCONN_14354",-3.48235461923559,8.29112066503573,90.3888147879679,1.95669166072436e-21,9.00994062157376e-19
"FAGR_UCONN_27941",-1.82735838294769,7.20994549805106,90.1550027716182,2.20213853569968e-21,9.92889212283595e-19
"FAGR_UCONN_07559",-3.41534815475063,3.78699494662125,87.5836148968939,8.07911577100373e-21,3.54223722361118e-18
"FAGR_UCONN_01477",-1.23296626210098,6.2567432986889,87.5581727166138,8.1837104325182e-21,3.54223722361118e-18
"FAGR_UCONN_02708",-1.6094462652564,7.80113940307464,87.4837766916137,8.49739356245228e-21,3.60589395056063e-18
"FAGR_UCONN_00280",-3.59626652013805,2.50963102729536,86.2868532341686,1.55639777860589e-20,6.47760783165165e-18
"FAGR_UCONN_19582",-1.20790870815475,7.1981159574623,85.7257823762113,2.06700250385597e-20,8.44039022423603e-18
"FAGR_UCONN_02526",-1.8969876156568,6.87223489842648,84.6462962330443,3.56811692178216e-20,1.43002197076314e-17
"FAGR_UCONN_18308",-1.3458184696249,7.23669328750942,84.4211891820663,3.9983956281646e-20,1.5733323306316e-17
"FAGR_UCONN_15420",1.28821658471456,8.01359571027769,82.652196821675,9.78390140966748e-20,3.78112846978614e-17
"FAGR_UCONN_25957",-2.06767597999525,5.38878498641748,82.412803364852,1.10436120068207e-19,4.19308510616865e-17
"FAGR_UCONN_21404",-1.58852385113816,6.37321218860254,81.6587268541121,1.61736066964305e-19,6.03498614007155e-17
"FAGR_UCONN_09200",-1.47721619382931,7.06261534367006,80.681321240198,2.65217286142704e-19,9.72852967237355e-17
"FAGR_UCONN_01099",-4.08674974509411,1.58036335574466,80.0290356300642,3.68948023152464e-19,1.33079551951094e-16
"FAGR_UCONN_07083",1.38515637112067,6.12845942139647,79.6658265249152,4.43403871676345e-19,1.57313878538024e-16
"FAGR_UCONN_24006",-2.98741659600057,9.43805684799899,79.2023524784436,5.60632827279884e-19,1.95697026580504e-16
"FAGR_UCONN_11213",2.973427896383,6.21195826982141,78.6125628534799,7.55673210405844e-19,2.59591739993703e-16
"FAGR_UCONN_31601",1.47749356794583,6.51339296469727,78.3489806114402,8.63539054738409e-19,2.92011128478885e-16
"FAGR_UCONN_12907",1.15756152655876,6.85226748910358,78.2004818373464,9.30958096213793e-19,3.09966078742445e-16
"FAGR_UCONN_09026",-1.6960994575599,5.75020092963254,77.961819552279,1.0505161093207e-18,3.43805652734698e-16
"FAGR_UCONN_32571",-1.70016434238855,7.21785716130158,77.9359505525772,1.06436460277353e-18,3.43805652734698e-16
"FAGR_UCONN_26356",1.57468793888392,5.12812576278978,77.598603091763,1.26259382175198e-18,4.0183905132877e-16
"FAGR_UCONN_22546",-1.73539706476775,6.07300473058453,77.3317991369932,1.44520391002086e-18,4.49869164326979e-16
"FAGR_UCONN_19659",1.66710812715211,7.58005118628548,77.313053718985,1.45898560161767e-18,4.49869164326979e-16
"FAGR_UCONN_11355",-1.79673230668396,5.73437628229366,77.2903322550799,1.47586686383955e-18,4.49869164326979e-16
"FAGR_UCONN_24536",-1.17454386357658,8.64085628488358,75.6659643626759,3.35948781254054e-18,1.00980604498614e-15
"FAGR_UCONN_26458",1.71596140351009,9.08512750007269,75.30668473324,4.02992945648456e-18,1.19473607256492e-15
"FAGR_UCONN_21313",-2.05185712921989,8.80540310041999,75.1142212584065,4.44254827763392e-18,1.29926526789937e-15
"FAGR_UCONN_00851",-3.43292329846495,2.6174539150917,74.8656997082858,5.03848001051347e-18,1.45390379183377e-15
"FAGR_UCONN_21632",1.50092720915867,5.17586992936634,74.2294850217368,6.95437883305846e-18,1.98035087769804e-15
"FAGR_UCONN_17653",-1.28131376873197,6.67841715636108,73.3053147834205,1.11068433917673e-17,3.12174421668349e-15
"FAGR_UCONN_07755",-1.44672025899648,7.07723184405916,73.2365660312453,1.15005279936456e-17,3.1909541902369e-15
"FAGR_UCONN_29170",-1.80426813595576,12.2620093707299,73.1648049576553,1.19263601699842e-17,3.26721882023794e-15
"FAGR_UCONN_30487",-1.68970958812008,6.61364012816444,72.7606503944346,1.46366226904477e-17,3.95957235333335e-15
"FAGR_UCONN_17737",-1.99345142434397,10.7839234007559,72.24319432279,1.9024566988256e-17,5.08308245382515e-15
"FAGR_UCONN_08869",1.19753823555731,7.77400062108902,71.9627691345417,2.19296108252185e-17,5.78781265218756e-15
"FAGR_UCONN_21083",-1.38445694662716,6.58552937933748,71.3762204384165,2.95208640902886e-17,7.69747639327741e-15
