Gene_ID,S191Fg02,S191Fg04,S191Fg06,S191Fg07,S191Fg08,S191Fg10,S191Fg20,S191Fg23,S191Fg25,S191Fg27,S191Fg29,S191Fg42,S201Fg02,S201Fg04,S201Fg06,S201Fg07,S201Fg08,S201Fg10,S201Fg20,S201Fg23,S201Fg25,S201Fg27,S201Fg29,S201Fg42
FAGR_UCONN_00009,2.023209279,2.758399649,1.624110579,2.384173869,2.684035361,2.29629925,2.517028927,2.401307051,1.951905028,2.261412822,2.8267005,2.095594774,-0.982919135,1.268283617,0.229693525,-0.327014155,-0.821100068,0.132335144,-0.200262809,-0.663564227,0.301835516,-0.759785548,-0.065382985,-0.266540001
FAGR_UCONN_00014,4.665508215,4.725851921,4.824891654,5.295838559,4.975833012,4.598665034,4.926045315,4.979667097,4.525533126,5.094508183,4.845403054,5.423675571,6.499392571,6.849575944,6.852606735,6.877413458,6.624034551,6.688637624,6.813692008,6.52143088,5.606332324,6.681798472,6.482954703,7.06638526
FAGR_UCONN_00019,6.230908861,6.632288376,6.548393512,7.463112325,6.643916625,7.096426036,6.190314269,6.247878822,6.598235446,6.170143883,6.359300954,6.783639856,7.411071358,7.964039713,8.761661198,8.566311116,7.779860826,8.625381657,7.708075916,7.585727924,7.9429025,8.485537489,7.676409093,8.544246079
FAGR_UCONN_00035,1.117939037,1.861187123,-0.032789949,1.505750097,2.223169877,0.068391273,2.005326371,2.593900569,2.552119885,2.496174023,-1.857971539,0.261249231,-0.687333665,-1.31714749,-1.307690605,-0.764502457,-0.224053553,-1.347267881,0.223615372,-0.963440649,-1.857971539,-1.857971539,-1.857971539,-1.005658719
FAGR_UCONN_00037,2.10490124,2.607629121,2.720462722,2.384173869,1.541938444,2.178115459,2.54370558,2.304474155,2.093584303,2.173826652,2.934961729,2.129790825,0.91571321,0.040747412,1.504837272,1.767141414,1.012026359,1.323155452,1.042257858,0.860890793,-0.406812954,1.30970329,0.806385025,1.186166524
FAGR_UCONN_00064,3.856451677,3.704122501,3.689949853,3.51689303,3.375803469,3.164874257,2.741026898,3.211158888,2.974723517,3.219300479,2.917472997,3.49123396,4.25007379,4.094912598,4.4375665,4.169986741,3.516834241,4.52401287,4.270586021,3.937661321,3.316717613,4.283462396,3.950345472,4.325514299
FAGR_UCONN_00065,-0.019897817,-0.078100505,-1.857971539,-1.123444452,0.672524338,-1.857971539,-1.030568862,-1.275644369,0.103404145,0.167522835,0.366749733,-1.857971539,-1.857971539,-1.857971539,-1.857971539,-1.857971539,-1.857971539,-1.857971539,-1.857971539,-1.857971539,-1.857971539,-1.857971539,-0.992881698,-1.857971539
FAGR_UCONN_00068,-0.019897817,0.227885798,0.747767443,1.306528949,0.672524338,0.86491293,-0.304011684,0.457623657,0.905155916,0.755290433,-0.271032802,1.084859044,2.56391355,2.438260676,1.798441378,2.152647506,1.529661402,1.782199701,0.690240196,1.118766465,1.809507272,1.042138987,2.122616435,1.610274321
FAGR_UCONN_00078,0.290560591,0.881709775,0.747767443,-0.27707551,1.541938444,-1.857971539,0.426672624,0.993184048,0.103404145,0.755290433,-1.857971539,-0.009433924,-1.355093751,-1.31714749,-1.857971539,-0.529238257,-0.821100068,-0.97084415,-1.236177454,-0.203759078,-1.857971539,-1.857971539,-0.992881698,-1.857971539
FAGR_UCONN_00083,2.575160631,2.178975421,2.16538109,2.81798679,2.779436514,3.068504814,2.517028927,2.92881003,1.951905028,1.980882016,2.952240994,2.815981094,3.544160463,3.516285107,3.167819874,3.433833254,2.79685294,3.305087724,3.436793205,3.017178199,3.449006208,3.341572788,3.658333426,3.280728156
