sample,ME_lightcyan,ME_green,ME_royalblue,ME_blue,ME_red,ME_purple,ME_grey60,ME_lightyellow,ME_cyan,ME_tan,ME_brown,ME_magenta,ME_lightgreen,ME_midnightblue,ME_greenyellow,ME_turquoise,ME_grey,SITE,YEAR,TREE_ID,RGR,growth,Site,Year,Season
S172Fg02,-0.1879244156209134,0.2623410412314646,0.016962847179318907,-0.10859199320614843,0.16648057539007038,-0.14166983453120283,-0.17504751509367814,-0.09336658601349795,0.7812728463027582,-0.22462494991291942,0.25097361872420726,-0.018472452784540773,0.1180240578425576,0.051172279125316675,0.13652435583185873,0.05172840104086913,-0.38473303448443597,SERC,2017,130632,9.92e-5,0.00218306,SERC,2017,Summer
S172Fg03,-0.07382648970339913,0.22343638689698936,0.12916403784018093,0.021229503887561483,0.18322410275717144,-0.025250992041025693,0.07842591405694718,-0.0589958858656463,0.3454292090601758,-0.04174914747032047,0.15906660707038087,0.015526381052924223,0.15231760244263204,0.13514213370762881,0.20594863914273262,0.1372388820485586,0.11783116710058752,SERC,2017,140981,0.053608108,0.511960595,SERC,2017,Summer
S172Fg04,-0.04168866059811068,0.09770810053882165,0.08342388934933671,0.03507639978315477,0.06941369158995399,-0.08806988902620332,0.02829969484757609,0.14038234334501512,0.19535463703921183,-0.060392016435187386,0.031125435146073605,0.2786129110429666,0.0922393667755514,0.014032154850337684,0.08205912102451614,0.12398306092497471,0.2144263762747274,SERC,2017,142546,0.023178461,0.25218234,SERC,2017,Summer
S172Fg05,-0.06258035351335717,-0.005758834696905937,0.015558343641900629,-0.01782237214830757,0.09179237291683658,-0.02794294986679251,0.05081296141106633,0.8670641446840003,-0.0034728548315838457,-0.05266372139885705,0.002089639017916778,0.02052307398392999,0.06945144704198469,0.03656464373992959,0.08231329826122687,0.07764447379349623,0.10716663201705591,SERC,2017,150147,0.012073554,0.33007164,SERC,2017,Summer
S172Fg06,-0.18857858152768103,-0.5360980815042609,0.05037423517336644,-0.12076599301913174,0.12596354329122803,-0.1353663989607375,-0.17872408937309267,-0.03232868702185372,-0.020917987540726206,-0.17764008783555313,-0.39486721860930307,-0.3284197406599371,0.09835367030591854,-0.057521881548079454,0.24387106210490947,0.07756449008501304,-0.04674918741284989,SERC,2017,160234,0.031730028,0.228079299,SERC,2017,Summer
S172Fg07,-0.3172931289706448,0.3300214285414155,0.30962520354289935,0.92162071152986,0.48830418250441704,-0.2762968718858183,-0.27357428412661106,-0.272225644101784,-0.2513195768712155,-0.25673846000024514,-0.43446817519928993,-0.2504859168437904,-0.7603155534652694,-0.9221400091741153,-0.48082428768570135,-0.6720162868067571,-0.41917340108507883,SERC,2017,43245,0.021575559,0.46197039,SERC,2017,Summer
S172Fg08,-0.041413986627306845,-0.021997490050627375,0.03654723532025092,0.08281988150356628,9.816937059434617e-5,-0.07723411855151108,0.028141277226452308,-0.037039140102742694,0.03063944234663745,-0.06218570833901834,-0.14781406358392224,-0.17541570911696433,0.026602809073201398,0.025697783052932462,-0.008698965398495672,0.053750066781333934,0.17885115043594557,SERC,2017,43247,-0.197717799,-1.2630024,SERC,2017,Summer
S172Fg10,0.04788605183979427,-0.14550245386211047,-0.0575065484993438,-0.10794053390895834,-0.014206396867029686,-0.09017471904511429,0.014385853023395385,-0.044022981845536886,-0.05183966778913559,-0.11050850918580293,0.047817197731615996,-0.09373734638829438,0.007028800517803389,0.04042050468201206,-0.01799861980133051,-0.0021219545932373587,0.1011913948042408,SERC,2017,43420,0.001760353,0.15364582,SERC,2017,Summer
S172Fg18,-0.28723080094236547,0.07428530731273399,0.2061088765221405,-0.17165184767114386,-0.5298353950786674,0.8624688496011977,-0.17198375169061267,-0.15613850822963052,-0.19731918124104003,-0.1481772602513319,-0.11216698101396234,-0.06269937323454179,-0.5208701111913683,0.18174642201847788,-0.4586956814845319,0.23099051891053207,-0.3859469178135143,SERC,2017,80469,0.007559258,0.04228561,SERC,2017,Summer
S172Fg20,0.032764431960553626,0.10782883574809729,0.12828046953954528,0.053062222039825385,0.12282611172748631,0.10790885731161184,0.1657287428516765,-0.023860037213553866,0.010839159729876303,0.37495340857429754,0.21847304673087406,0.0975982578404529,0.14193516175803644,0.1401726766812774,0.1814052517826949,0.1621427208162779,0.16804569641777345,SERC,2017,40756,0.00108798,0.08246182,SERC,2017,Summer
