,HA,XP,YP,STEMTAG,Sample.ID,Location,SP,LX,LY,Easting,Northing,Lat,Long,DBH,Final.DBH.1,Final.DBH.2,years,log.DBH.1,log.DBH.2,RGR,SPAD.1,SPAD.2,SPAD.3,HT,LA.1,LA.2,LA.3,FWT.1,FWT.2,FWT.3,DWT.1,DWT.2,DWT.3,SLA.1,SLA.2,SLA.3,Average.SLA,Average.SPAD,Average.LA
,302,,,30156,H71Fg01,HF,FAGR,12.6,8.2,731623.7,4713220.81,42.53666977,-72.17948283,10.4,10.4,11.6,7,2.341805806,2.451005098,0.015599899,35.1,33.8,33.9,NA,31.549,67.3,64.878,0.23,0.49,0.48,0.08,0.21,0.2,394.3625,320.4761905,324.39,346.41,34.27,54.57566667
,106,,,10481,H71Fg02,HF,FAGR,12.6,13.9,731583.68,4713306.53,42.53745261,-72.17993463,19.1,19.1,20.9,7,2.949688335,3.039749159,0.012865832,32.5,31.9,35.2,15,48.821,40.178,16.841,0.4,0.31,0.14,0.16,0.12,0.05,305.13125,334.8166667,336.82,325.59,33.2,35.28
,814,,,81099,H71Fg07,HF,FAGR,7.5,16.8,731718.68,4713469.45,42.53887769,-72.17822734,6.8,6.8,7.2,7,1.916922612,1.974081026,0.008165488,34.6,30.2,33.5,6.7,56.301,46.608,40.191,0.39,0.35,0.32,0.15,0.15,0.13,375.34,310.72,309.1615385,331.74,32.77,47.7
,814,,,81091,H71Fg08,HF,FAGR,1.4,12.3,731712.5,4713464.91,42.53883881,-72.17830384,30.3,30.3,34.2,7,3.411147713,3.532225644,0.017296847,35.5,40.5,32,18.6,36.725,43.815,22.947,0.66,0.67,0.15,0.31,0.32,0.05,118.4677419,136.921875,458.94,238.11,36,34.49566667
,608,,,60850,H71Fg09,HF,FAGR,18,12.9,731689.1,4713345.51,42.53777183,-72.17863685,5.8,5.8,6.4,7,1.757857918,1.85629799,0.014062868,37.1,35.5,31.9,8.6,29.569,67.872,71.183,0.21,0.52,0.55,0.09,0.23,0.26,328.5444444,295.0956522,273.7807692,299.14,34.83,56.208
,1505,,,150496,H71Fg14,HF,FAGR,9.6,5.2,731860.72,4713277.74,42.53711143,-72.17657713,20.3,20.3,22.5,7,3.010620886,3.113515309,0.014699203,39.2,38.3,37.3,NA,51.215,43.938,23.785,0.39,0.33,0.18,0.16,0.13,0.07,320.09375,337.9846154,339.7857143,332.62,38.27,39.646
,1423,,,141939,H71Fg24,HF,FAGR,14.5,11.2,731845.64,4713643.78,42.54040808,-72.17661236,38.5,38.5,40.3,7,3.650658241,3.696351469,0.006527604,35,37.5,32.8,18.7,46.002,33.969,24.003,0.57,0.45,0.24,0.29,0.23,0.18,158.6275862,147.6913043,133.35,146.56,35.1,34.658
,1225,,,121716,H71Fg25,HF,FAGR,2.1,17,731793.22,4713689.61,42.54083576,-72.17723116,48.2,48.2,48.9,7,3.875359021,3.889777396,0.002059768,40.6,41.6,41.2,17.1,27.63,49.552,56.172,0.24,0.49,0.56,0.11,0.21,0.24,251.1818182,235.9619048,234.05,240.4,41.13,44.45133333
,2610,,,260845,H71Fg28,HF,FAGR,6.9,5.3,732077.97,4713377.93,42.53794661,-72.17389352,7.3,7.3,8.2,6,1.987874348,2.104134154,0.019376634,37.4,38.2,34.4,7,60.884,62.953,43.49,0.41,0.43,0.29,0.16,0.17,0.11,380.525,370.3117647,395.3636364,382.07,36.67,55.77566667
,2712,,,271124,H71Fg29,HF,FAGR,1,1.2,732092.15,4713413.76,42.5382653,-72.17370744,24.9,24.9,25.7,6,3.214867803,3.246490992,0.005270531,37.1,NA,NA,16.2,31.105,NA,NA,0.33,NA,NA,0.32,NA,NA,97.203125,NA,NA,97.2,37.1,31.105
