SeqName	Length	Description	GO IDs
FAGR_UCONN_00001	304	KAH0459417.1hypothetical protein IEQ34_012231	GO:0006508;GO:0008233;GO:0008234
FAGR_UCONN_00002	167	XP_023872341.1uncharacterized protein LOC111984956	
FAGR_UCONN_00003	399	XP_030937644.1uncharacterized protein LOC115962902 isoform X2	GO:0006952;GO:0051707;GO:0098542;GO:0016887;GO:0043531;GO:0016020
FAGR_UCONN_00004	146	KAB1227145.1hypothetical protein CJ030_MR1G027736	GO:0008270;GO:0046872;GO:0016020
FAGR_UCONN_00005	229	POE99604.1hypothetical protein CFP56_66265	
FAGR_UCONN_00006	148	CAA67152.1GRPF1	
FAGR_UCONN_00007	166	-	
FAGR_UCONN_00008	135	POE99920.1hypothetical protein CFP56_57073	
FAGR_UCONN_00009	66	KAB2603308.1hypothetical protein D8674_004313	GO:0010038;GO:0005886
FAGR_UCONN_00010	145	CAA67152.1GRPF1	
FAGR_UCONN_00011	135	XP_018729032.2uncharacterized protein LOC108959618	GO:0003676;GO:0008270
FAGR_UCONN_00012	337	KAF3948340.1hypothetical protein CMV_025648	GO:0016020
FAGR_UCONN_00013	182	POE52629.1putative ubiquitin-like-specific protease 1b	GO:0003677;GO:0005634;GO:0016020
FAGR_UCONN_00014	73	KAF3950358.1hypothetical protein CMV_023878	GO:0000724;GO:0006406;GO:0043248;GO:0005634;GO:0008541
FAGR_UCONN_00015	132	MBA0875190.1hypothetical protein	GO:0003676;GO:0004523
FAGR_UCONN_00016	173	"CBY89194.1dehydrin, partial"	GO:0009409;GO:0009414;GO:0009737;GO:0046872
FAGR_UCONN_00017	168	XP_050273136.1uncharacterized protein LOC126716149	
FAGR_UCONN_00018	369	-	
FAGR_UCONN_00019	93	XP_030944464.1cysteine-rich and transmembrane domain-containing protein WIH2-like	GO:0005886
FAGR_UCONN_00020	180	KAG7978003.1hypothetical protein I3843_05G061800	GO:0009409;GO:0009414;GO:0009415;GO:0009631;GO:0009737;GO:0046872
FAGR_UCONN_00021	145	XP_030928210.1cold and drought-regulated protein CORA-like	
FAGR_UCONN_00022	312	KAF7138886.1hypothetical protein RHSIM_Rhsim07G0240200	
FAGR_UCONN_00023	101	-	
FAGR_UCONN_00024	99	KAF3949648.1hypothetical protein CMV_024510	GO:0016102;GO:0000287;GO:0010333;GO:0016829;GO:0046872
FAGR_UCONN_00025	90	-	
FAGR_UCONN_00026	76	"XP_042983258.1uncharacterized protein LOC122312662, partial"	
FAGR_UCONN_00027	146	-	
FAGR_UCONN_00028	198	POE52271.1hypothetical protein CFP56_67209	
FAGR_UCONN_00029	100	-	
FAGR_UCONN_00030	183	TKY54326.1Late embryogenesis abundant protein D-29	
FAGR_UCONN_00031	106	-	
FAGR_UCONN_00032	231	KAF3962987.1hypothetical protein CMV_012567	GO:0003676;GO:0008270;GO:0016020
FAGR_UCONN_00033	166	KAE8076184.1hypothetical protein FH972_014848	GO:0007166;GO:0004672;GO:0005524;GO:0016020
FAGR_UCONN_00034	101	-	
FAGR_UCONN_00035	203	-	
FAGR_UCONN_00036	154	XP_050247881.1cold and drought-regulated protein CORA-like	
FAGR_UCONN_00037	293	PPS14614.1hypothetical protein GOBAR_AA05993	GO:0003676;GO:0004523;GO:0016020
FAGR_UCONN_00038	151	KAH9687490.1hypothetical protein KPL70_014792	
FAGR_UCONN_00039	340	KAF3950220.1hypothetical protein CMV_023994	GO:0005886;GO:0016020
FAGR_UCONN_00040	222	KAF3948217.1hypothetical protein CMV_025761	GO:0016020
FAGR_UCONN_00041	153	KAI8522409.1hypothetical protein RHMOL_RhmolMtG0006000	GO:0017004;GO:0003676;GO:0005739;GO:0016020
FAGR_UCONN_00042	256	KAI9160776.1hypothetical protein LWI28_011465	GO:0005488
FAGR_UCONN_00043	189	KAF3955591.1hypothetical protein CMV_019203	GO:0046872
FAGR_UCONN_00044	160	KAG6692853.1hypothetical protein I3842_10G135100	GO:0016740;GO:0016747
FAGR_UCONN_00045	144	POE54669.1hypothetical protein CFP56_25029	GO:0060320;GO:0005576;GO:0016020
FAGR_UCONN_00046	93	XP_050273139.1uncharacterized protein LOC126716152	
FAGR_UCONN_00047	369	-	
FAGR_UCONN_00048	119	KAB1209320.1hypothetical protein CJ030_MR6G009337	GO:0045087
FAGR_UCONN_00049	350	XP_050243383.1late embryogenesis abundant protein ECP63-like	
FAGR_UCONN_00050	194	XP_035546212.1probable LRR receptor-like serine/threonine-protein kinase At1g06840 isoform X3	GO:0016310;GO:0004674;GO:0005524;GO:0016020
FAGR_UCONN_00051	347	XP_042958873.1protein yippee-like At3g08990 isoform X1	GO:0046872
FAGR_UCONN_00052	113	GAV82368.1zf-CCHC domain-containing protein	GO:0005488
FAGR_UCONN_00053	97	KAF3960096.1hypothetical protein CMV_015160	
FAGR_UCONN_00054	157	-	
FAGR_UCONN_00055	91	XP_050240842.1uncharacterized protein LOC126689676	GO:0045087;GO:0003676;GO:0008270
FAGR_UCONN_00056	116	POE84526.1hypothetical protein CFP56_67098	GO:0060320;GO:0005576
FAGR_UCONN_00057	173	KAF3950841.1hypothetical protein CMV_023458	GO:0009409;GO:0009414;GO:0009737;GO:0046872
FAGR_UCONN_00058	108	XP_050267691.1uncharacterized protein LOC126712410	GO:0015074;GO:0003676;GO:0008270
FAGR_UCONN_00059	277	XP_050271537.1MDIS1-interacting receptor like kinase 2-like isoform X3	
FAGR_UCONN_00060	152	KAB1215904.1hypothetical protein CJ030_MR4G028678	GO:0009793
FAGR_UCONN_00061	127	MBA0667483.1hypothetical protein	
FAGR_UCONN_00062	142	XP_039016806.1uncharacterized protein LOC120147524	GO:0003779;GO:0110165
FAGR_UCONN_00063	100	XP_050242305.1zinc finger protein ZAT4-like	GO:0006355;GO:0003700
FAGR_UCONN_00064	88	-	
FAGR_UCONN_00065	154	KAF3973785.1hypothetical protein CMV_002810	GO:0009987;GO:0008270;GO:0016491;GO:0050660;GO:0016020
FAGR_UCONN_00066	193	XP_030936248.1uncharacterized protein LOC115961400	
FAGR_UCONN_00067	103	-	
FAGR_UCONN_00068	193	XP_030931038.1ankyrin repeat-containing protein BDA1-like	GO:0016020
FAGR_UCONN_00069	120	XP_030958406.1uncharacterized protein LOC115980277	GO:0015074;GO:0003676
FAGR_UCONN_00070	123	XP_030975069.1probable boron transporter 2 isoform X2	GO:0006820;GO:0015698;GO:0005452;GO:0016020
FAGR_UCONN_00071	135	XP_028059514.1uncharacterized protein LOC114263208	
FAGR_UCONN_00072	146	KAF5472624.1hypothetical protein F2P56_009326	GO:0006278;GO:0006952;GO:0015074;GO:0051707;GO:0003676;GO:0003964;GO:0016740;GO:0016779;GO:0043531;GO:0016020
FAGR_UCONN_00073	402	KAH7840909.1hypothetical protein Vadar_023167	GO:0003676;GO:0008270
FAGR_UCONN_00074	114	XP_023907653.1uncharacterized protein LOC112019359	
FAGR_UCONN_00075	206	XP_023904506.1NAC domain-containing protein 83-like	GO:0006355;GO:0003677
FAGR_UCONN_00076	127	MBA0667483.1hypothetical protein	
FAGR_UCONN_00077	135	PON39933.1Cation/H(+) exchanger CHX21/CHX	GO:0006812;GO:0006885;GO:0055085;GO:1902600;GO:0004177;GO:0015297;GO:0016787;GO:0012505;GO:0016020
FAGR_UCONN_00078	120	RWR97877.1RNA-dependent RNA polymerase	GO:0001172;GO:0003968
FAGR_UCONN_00079	145	CAA67152.1GRPF1	
FAGR_UCONN_00080	92	KAI8526338.1hypothetical protein RHMOL_Rhmol13G0300200	GO:0003676;GO:0004523
FAGR_UCONN_00081	194	POF00726.1receptor protein kinase clavata1	
FAGR_UCONN_00082	153	CAA67152.1GRPF1	
FAGR_UCONN_00083	76	XP_042986220.1uncharacterized protein LOC122314725	
FAGR_UCONN_00084	100	POE79189.1hypothetical protein CFP56_39913	
FAGR_UCONN_00085	391	XP_018822520.1uncharacterized protein LOC108992418	GO:0003676;GO:0008270
FAGR_UCONN_00086	360	XP_027190985.1protein NYNRIN-like	GO:0071897;GO:0003676;GO:0034061
FAGR_UCONN_00087	589	XP_023899105.1pentatricopeptide repeat-containing protein At5g38730	GO:0003729
